region,channel,ad_spend,discount,sales
South,Retail,28787.0,7.75,64177.0
North,Wholesale,22993.0,9.24,52103.0
West,Online,19530.0,19.83,41712.0
South,Online,23012.0,19.41,52948.0
West,Retail,21999.0,18.85,46823.0
West,Retail,19480.0,15.68,41144.0
South,Retail,29437.0,7.1,63697.0
South,Online,27198.0,8.24,62346.0
South,Wholesale,19753.0,10.99,45207.0
South,Online,21102.0,16.61,47267.0
South,Wholesale,2496.0,1.37,24531.0
West,Online,20428.0,8.49,50295.0
South,Wholesale,2281.0,1.65,10005.0
North,Online,18060.0,10.29,50272.0
East,Retail,29981.0,17.98,61757.0
South,Online,17118.0,15.65,46323.0
South,Wholesale,14723.0,4.56,39086.0
West,Online,10073.0,19.52,24870.0
South,Online,4495.0,13.35,20557.0
South,Online,22200.0,0.21,60837.0
South,Retail,6585.0,5.11,18804.0
West,Online,4343.0,5.21,28228.0
South,Retail,13231.0,1.39,36627.0
East,Retail,24065.0,19.2,54968.0
West,Online,22607.0,9.57,56085.0
East,Online,2592.0,17.92,18594.0
West,Online,14199.0,6.44,44786.0
South,Wholesale,16151.0,2.5,43541.0
East,Online,19692.0,9.49,53719.0
West,Retail,19855.0,2.28,49106.0
North,Online,11576.0,9.72,40093.0
South,Wholesale,17260.0,18.41,34101.0
West,Online,14951.0,10.42,39672.0
North,Wholesale,26665.0,12.33,64726.0
West,Wholesale,16378.0,3.13,38491.0
North,Online,13790.0,0.87,47850.0
South,Retail,12730.0,2.22,38144.0
East,Wholesale,17600.0,11.97,39763.0
North,Online,24315.0,1.9,67360.0
West,Online,16614.0,7.52,46914.0
South,Retail,20188.0,11.0,44061.0
North,Wholesale,22398.0,7.77,53735.0
West,Wholesale,16085.0,3.27,37071.0
West,Online,13378.0,5.48,42706.0
West,Online,26423.0,18.57,57806.0
North,Retail,13108.0,13.52,36081.0
North,Retail,14396.0,9.92,41930.0
North,Wholesale,29720.0,0.25,69544.0
East,Wholesale,1007.0,19.85,9630.0
North,Online,6379.0,13.43,24922.0
North,Wholesale,12135.0,6.34,39909.0
North,Retail,28045.0,17.59,59033.0
East,Retail,3031.0,5.17,14782.0
North,Online,1275.0,10.88,18869.0
West,Retail,2528.0,12.72,11864.0
North,Retail,3568.0,4.42,22204.0
West,Retail,2090.0,19.57,9672.0
West,Retail,14914.0,14.96,37659.0
West,Online,17842.0,11.16,44960.0
East,Online,8879.0,3.61,33102.0
East,Wholesale,12550.0,1.08,33670.0
East,Retail,3659.0,6.4,18982.0
North,Wholesale,10755.0,15.06,23166.0
West,Online,16153.0,5.39,43205.0
East,Online,22236.0,10.79,59362.0
East,Online,1097.0,14.56,13225.0
North,Online,14552.0,2.16,50000.0
East,Online,9613.0,13.71,27769.0
North,Online,25732.0,1.84,73711.0
South,Online,21751.0,19.3,55015.0
East,Retail,18084.0,9.77,46439.0
South,Wholesale,9041.0,3.01,34743.0
North,Online,27400.0,6.85,69962.0
West,Retail,2308.0,8.27,17325.0
East,Retail,4175.0,15.16,20721.0
North,Wholesale,12357.0,14.87,32347.0
West,Online,4609.0,12.24,16519.0
West,Wholesale,28736.0,2.12,66032.0
South,Online,24142.0,3.03,60525.0
North,Retail,8510.0,1.88,32185.0
West,Retail,18068.0,11.54,42646.0
East,Retail,29488.0,17.54,63007.0
East,Retail,26642.0,8.68,61066.0
South,Wholesale,18423.0,3.22,47459.0
West,Online,27208.0,11.16,60274.0
North,Online,29686.0,16.24,68187.0
East,Wholesale,22557.0,14.83,50735.0
West,Online,2885.0,17.63,20696.0
West,Retail,12646.0,5.56,41362.0
South,Online,25297.0,3.88,64894.0
East,Retail,7687.0,17.6,24557.0
East,Wholesale,25089.0,13.15,59530.0
North,Online,4490.0,6.22,25959.0
East,Wholesale,2361.0,14.85,13714.0
North,Online,12139.0,16.3,39005.0
East,Retail,2065.0,12.3,18911.0
South,Wholesale,28761.0,13.76,55478.0
East,Online,24960.0,7.51,59355.0
North,Retail,24222.0,10.77,57279.0
North,Wholesale,19264.0,10.48,47568.0
South,Wholesale,7273.0,16.96,21980.0
East,Online,16030.0,16.8,43007.0
East,Online,18321.0,16.65,45199.0
South,Online,16226.0,0.22,50346.0
East,Retail,8547.0,14.99,25793.0
East,Online,15942.0,15.17,47346.0
North,Wholesale,15244.0,13.57,38151.0
East,Wholesale,29894.0,15.13,60095.0
East,Online,27026.0,16.84,62576.0
South,Online,14438.0,9.41,41879.0
South,Wholesale,19065.0,10.04,38584.0
West,Retail,22688.0,2.49,54546.0
North,Online,2011.0,7.71,22463.0
East,Online,26953.0,12.87,61449.0
East,Wholesale,25944.0,15.61,57001.0
West,Online,14266.0,4.34,40152.0
East,Retail,12344.0,2.76,39206.0
North,Wholesale,8916.0,13.26,25975.0
West,Online,14824.0,0.04,45986.0
North,Wholesale,2287.0,3.57,20567.0
West,Online,25714.0,0.58,61072.0
West,Online,2027.0,3.34,21554.0
South,Online,10542.0,3.63,44027.0
North,Retail,28016.0,7.75,60884.0
East,Retail,22321.0,8.05,52980.0
East,Wholesale,9160.0,17.49,26113.0
North,Online,8327.0,10.2,33793.0
East,Online,1147.0,14.47,17894.0
East,Retail,21176.0,2.08,46950.0
North,Online,2415.0,4.51,26887.0
West,Retail,16445.0,14.06,35286.0
North,Online,28902.0,1.06,75423.0
West,Wholesale,4175.0,9.73,15562.0
East,Online,26940.0,11.99,70332.0
East,Online,29753.0,12.04,70175.0
East,Retail,2784.0,0.46,21443.0
South,Online,26604.0,6.44,60138.0
West,Online,15966.0,12.73,41737.0
South,Retail,27289.0,2.98,66100.0
South,Wholesale,17568.0,13.91,38426.0
North,Wholesale,20201.0,14.92,44385.0
South,Retail,16770.0,19.64,34648.0
North,Retail,26070.0,4.2,65431.0
North,Retail,22283.0,16.5,53138.0
South,Retail,16117.0,10.41,43889.0
West,Retail,26177.0,7.47,55399.0
West,Wholesale,8113.0,2.45,27956.0
West,Wholesale,5563.0,14.71,15293.0
West,Retail,5652.0,4.72,22537.0
West,Online,10686.0,7.43,35725.0
South,Retail,7922.0,1.25,30858.0
South,Online,27973.0,16.03,63923.0
East,Retail,4069.0,15.33,13487.0
West,Retail,21271.0,14.67,43703.0
South,Wholesale,6487.0,5.99,27139.0
East,Online,26567.0,3.47,66424.0
West,Online,28878.0,12.75,65523.0
North,Wholesale,14499.0,9.92,41302.0
East,Wholesale,26493.0,3.57,62293.0
South,Wholesale,1149.0,13.72,10848.0
North,Wholesale,24778.0,19.82,54374.0
North,Online,7630.0,14.94,22914.0
North,Online,27352.0,14.8,63364.0
East,Retail,1032.0,19.01,10758.0
South,Retail,17129.0,4.06,48965.0
North,Wholesale,22942.0,11.31,52839.0
West,Wholesale,8502.0,19.59,15974.0
North,Wholesale,6601.0,3.31,24773.0
North,Retail,3439.0,14.01,20837.0
East,Retail,10467.0,11.72,29327.0
East,Retail,17235.0,11.73,42136.0
South,Retail,4359.0,13.95,18716.0
West,Retail,11924.0,18.59,18464.0
East,Retail,1263.0,15.65,17450.0
North,Retail,24742.0,1.12,60782.0
South,Wholesale,4725.0,17.05,14706.0
North,Wholesale,9217.0,4.51,26222.0
North,Wholesale,1534.0,7.54,14724.0
East,Wholesale,13535.0,9.23,38482.0
South,Retail,25364.0,9.62,51097.0
West,Online,12372.0,8.7,40298.0
West,Retail,6205.0,18.75,15973.0
East,Online,22857.0,14.12,56544.0
East,Wholesale,23875.0,12.62,53638.0
South,Retail,6039.0,1.0,27694.0
West,Wholesale,23355.0,18.08,43404.0
West,Retail,28472.0,18.19,56061.0
West,Wholesale,5825.0,15.6,11300.0
North,Online,23359.0,0.14,66452.0
West,Online,21549.0,1.15,62319.0
North,Online,14734.0,4.5,41798.0
South,Retail,2680.0,2.63,17224.0
North,Online,3166.0,7.98,24163.0
South,Retail,25720.0,18.45,53591.0
West,Online,29714.0,9.44,70403.0
West,Online,20606.0,0.27,55499.0
South,Retail,13933.0,5.65,37307.0
East,Retail,19780.0,0.89,55468.0
South,Online,18237.0,0.73,54448.0
East,Retail,12125.0,5.51,37687.0
North,Online,2903.0,5.51,25808.0
North,Retail,24824.0,15.74,58763.0
North,Wholesale,11783.0,19.5,26490.0
West,Wholesale,24745.0,7.42,51453.0
North,Wholesale,8323.0,8.58,29930.0
East,Wholesale,1030.0,16.9,3529.0
North,Wholesale,5609.0,5.36,24693.0
South,Online,14588.0,3.13,43744.0
South,Wholesale,28385.0,17.06,52346.0
West,Wholesale,3964.0,0.93,16876.0
South,Wholesale,25772.0,12.39,53868.0
East,Wholesale,16284.0,11.24,41793.0
North,Retail,24952.0,6.92,58495.0
West,Online,9653.0,6.3,36866.0
North,Wholesale,25358.0,15.44,55114.0
North,Wholesale,23412.0,1.73,62208.0
East,Wholesale,7672.0,4.74,24626.0
South,Online,4809.0,14.65,21185.0
South,Retail,26174.0,10.97,58734.0
North,Online,28934.0,2.56,73263.0
West,Retail,1908.0,17.64,12473.0
South,Wholesale,22207.0,7.87,43415.0
West,Wholesale,27376.0,16.56,61264.0
South,Online,25863.0,15.75,61252.0
West,Online,28971.0,12.49,64382.0
East,Retail,23043.0,9.89,51875.0
West,Retail,13827.0,19.59,27494.0
East,Online,10047.0,2.9,39571.0
East,Retail,10302.0,14.5,31279.0
West,Online,22008.0,3.82,56217.0
East,Retail,22629.0,6.77,57668.0
North,Online,6810.0,6.17,29451.0
East,Online,26176.0,18.94,55395.0
South,Online,21733.0,19.35,54884.0
West,Retail,17320.0,3.66,46119.0
North,Retail,14674.0,0.44,49384.0
West,Retail,16754.0,14.4,35395.0
South,Online,5618.0,8.36,23162.0
South,Retail,6907.0,1.78,26467.0
South,Retail,3644.0,13.68,13247.0
East,Online,5456.0,10.9,27487.0
East,Wholesale,14157.0,19.61,28424.0
West,Online,16380.0,4.55,42694.0
West,Retail,1518.0,8.08,14118.0
North,Online,24107.0,10.85,57098.0
North,Wholesale,9531.0,15.83,20842.0
West,Online,27443.0,10.98,63307.0
East,Retail,29058.0,12.26,57927.0
South,Wholesale,6378.0,4.52,25546.0
West,Retail,14401.0,16.94,28266.0
North,Wholesale,1036.0,8.57,7858.0
East,Wholesale,18351.0,2.82,45740.0
West,Online,18612.0,13.28,46295.0
West,Online,8179.0,4.32,33037.0
East,Retail,17194.0,1.95,47490.0
West,Online,7541.0,17.24,20776.0
East,Online,5664.0,9.2,28734.0
South,Wholesale,19894.0,14.99,45195.0
East,Online,10452.0,5.81,33291.0
East,Wholesale,18118.0,15.74,39199.0
East,Wholesale,13564.0,2.24,37472.0
West,Wholesale,29546.0,7.12,63284.0
West,Retail,5338.0,19.56,14214.0
East,Retail,14473.0,15.88,34908.0
West,Retail,20733.0,9.95,49270.0
North,Wholesale,12471.0,6.8,32706.0
North,Retail,29266.0,17.44,65171.0
West,Retail,21935.0,10.9,52456.0
West,Online,20053.0,15.17,52413.0
East,Retail,22955.0,15.08,44349.0
South,Retail,28627.0,0.36,66800.0
West,Wholesale,27327.0,2.53,55028.0
North,Wholesale,22004.0,13.19,42707.0
East,Wholesale,22726.0,3.23,54724.0
West,Wholesale,5232.0,5.11,18665.0
North,Wholesale,3981.0,18.93,15600.0
North,Wholesale,17556.0,11.2,44459.0
South,Retail,1533.0,15.01,14998.0
East,Wholesale,14988.0,11.16,36560.0
East,Wholesale,7100.0,11.05,31025.0
South,Online,11034.0,1.88,39840.0
South,Retail,23498.0,6.87,60389.0
East,Retail,28296.0,5.65,58109.0
East,Retail,3100.0,7.81,22724.0
West,Wholesale,16493.0,15.97,34160.0
West,Wholesale,26593.0,7.44,51302.0
South,Wholesale,3393.0,9.03,16854.0
West,Online,24911.0,7.95,58956.0
North,Wholesale,11376.0,1.87,38282.0
West,Online,10341.0,8.82,36237.0
West,Retail,29347.0,3.91,61402.0
North,Wholesale,6825.0,3.73,30465.0
South,Online,21103.0,1.88,57065.0
North,Online,24822.0,7.13,68173.0
West,Wholesale,2194.0,15.15,8759.0
South,Retail,20441.0,5.53,48618.0
West,Retail,28595.0,6.25,63427.0
North,Retail,4602.0,12.85,21164.0
North,Online,26990.0,3.92,67634.0
West,Online,18249.0,17.94,41389.0
East,Online,18882.0,10.4,46107.0
East,Online,18775.0,8.95,49016.0
North,Retail,9666.0,11.16,32848.0
North,Wholesale,28121.0,3.32,65546.0
East,Online,28473.0,12.27,69144.0
East,Online,19134.0,7.26,51255.0
West,Retail,23719.0,17.94,44430.0
West,Wholesale,18755.0,3.38,46861.0
East,Wholesale,15048.0,10.14,34996.0
West,Retail,20164.0,11.96,44615.0
West,Retail,17037.0,0.67,49044.0
South,Wholesale,18327.0,7.27,39871.0
West,Online,23731.0,14.65,54885.0
North,Wholesale,14946.0,16.41,35576.0
West,Retail,2182.0,6.26,17900.0
West,Online,5756.0,15.97,23941.0
East,Online,13720.0,19.36,36808.0
North,Retail,22020.0,17.14,48985.0
West,Retail,18205.0,2.35,48014.0
West,Retail,19859.0,14.79,47358.0
South,Wholesale,14899.0,6.39,37541.0
West,Wholesale,18857.0,19.77,36256.0
West,Online,10542.0,9.71,34285.0
South,Retail,14635.0,2.45,41234.0
East,Online,22584.0,14.5,50388.0
West,Online,26283.0,6.46,63797.0
South,Online,13576.0,19.94,30427.0
North,Online,2266.0,19.6,18402.0
East,Retail,5689.0,13.12,18289.0
North,Online,1605.0,2.6,24700.0
North,Retail,19945.0,13.74,49203.0
South,Retail,10637.0,1.86,41578.0
West,Wholesale,16732.0,0.59,45051.0
South,Retail,15305.0,16.46,39413.0
South,Wholesale,3364.0,4.2,23570.0
South,Retail,12695.0,7.58,36529.0
South,Retail,7396.0,19.47,20435.0
East,Retail,13134.0,6.74,34071.0
West,Wholesale,6904.0,5.93,22112.0
North,Wholesale,25373.0,18.36,51322.0
North,Online,6052.0,2.21,31585.0
West,Wholesale,28863.0,15.19,62970.0
North,Wholesale,13061.0,19.76,30974.0
West,Wholesale,25541.0,18.03,47331.0
North,Wholesale,19234.0,13.03,49230.0
South,Online,22325.0,6.28,59911.0
North,Wholesale,23264.0,5.09,59353.0
West,Retail,15641.0,16.39,28940.0
West,Retail,16756.0,17.6,42207.0
West,Wholesale,15906.0,10.51,34700.0
West,Wholesale,18054.0,4.89,45386.0
West,Retail,1852.0,2.26,24775.0
East,Retail,12470.0,1.74,45042.0
East,Online,18579.0,14.38,44320.0
North,Retail,18334.0,8.4,43468.0
West,Retail,23996.0,18.11,53429.0
North,Wholesale,19995.0,14.79,46022.0
West,Retail,29772.0,3.83,65172.0
West,Online,9232.0,12.28,31341.0
East,Retail,11415.0,8.71,32703.0
East,Wholesale,12132.0,11.54,33172.0
South,Wholesale,14509.0,14.76,32937.0
East,Retail,25244.0,16.12,56546.0
South,Wholesale,7838.0,16.87,16990.0
South,Online,23504.0,5.08,64041.0
South,Online,12754.0,0.62,44740.0
South,Retail,18454.0,14.79,43761.0
South,Retail,19344.0,2.13,46401.0
North,Retail,11813.0,6.3,42212.0
East,Wholesale,15866.0,0.08,43478.0
South,Online,12978.0,13.63,38730.0
West,Online,3005.0,3.34,21771.0
East,Wholesale,13678.0,13.11,33848.0
East,Online,3824.0,19.83,18860.0
South,Retail,12746.0,1.45,29758.0
North,Retail,18195.0,1.54,52728.0
South,Retail,17803.0,6.81,50536.0
North,Online,20216.0,17.33,52343.0
West,Retail,3763.0,4.31,16745.0
East,Wholesale,19912.0,7.21,49186.0
West,Wholesale,10052.0,1.37,33587.0
North,Online,12572.0,15.26,39537.0
North,Wholesale,25882.0,8.17,59280.0
West,Wholesale,1262.0,15.18,6955.0
North,Online,18064.0,18.07,45741.0
West,Retail,18363.0,4.66,47817.0
East,Retail,12503.0,16.15,27209.0
West,Retail,7874.0,1.18,27468.0
East,Online,7806.0,17.98,30848.0
West,Wholesale,26628.0,13.02,59323.0
North,Retail,13819.0,17.48,30700.0
West,Retail,10596.0,0.0,30679.0
North,Online,14015.0,3.38,45725.0
West,Retail,20412.0,7.8,50519.0
West,Online,5227.0,7.59,19131.0
South,Wholesale,14034.0,4.53,36832.0
North,Online,18049.0,7.63,50251.0
South,Online,28509.0,2.58,74004.0
North,Online,8323.0,8.26,28821.0
South,Online,11418.0,16.05,32805.0
East,Wholesale,12001.0,9.58,30631.0
West,Wholesale,18561.0,0.36,50639.0
North,Retail,11345.0,8.43,36999.0
North,Wholesale,16472.0,0.54,44622.0
West,Wholesale,23672.0,19.32,48510.0
North,Retail,21456.0,2.55,55179.0
North,Wholesale,13945.0,14.15,38024.0
South,Online,26062.0,19.46,56470.0
North,Online,17186.0,16.52,48839.0
East,Retail,16657.0,13.99,41296.0
East,Retail,1991.0,16.79,21970.0
West,Retail,29614.0,19.64,58327.0
North,Online,4566.0,12.43,26152.0
West,Wholesale,7703.0,11.18,19837.0
East,Online,2499.0,12.56,19226.0
North,Retail,19560.0,10.65,40777.0
North,Wholesale,7516.0,12.7,25576.0
West,Wholesale,6220.0,9.0,23725.0
East,Online,3568.0,4.37,26427.0
North,Retail,3996.0,2.4,21051.0
West,Online,17955.0,1.37,48229.0
East,Wholesale,20958.0,5.27,42799.0
West,Online,12524.0,0.92,44020.0
South,Online,14917.0,11.34,38161.0
North,Retail,20893.0,5.68,53681.0
South,Retail,1504.0,16.49,10001.0
East,Wholesale,10371.0,1.48,37391.0
South,Online,29220.0,4.53,70587.0
South,Online,17823.0,14.6,47208.0
East,Online,8373.0,11.98,31721.0
West,Wholesale,16130.0,1.29,45467.0
South,Wholesale,10937.0,17.54,24199.0
West,Retail,16435.0,17.55,41417.0
South,Retail,4647.0,6.61,15103.0
West,Retail,4849.0,6.81,22896.0
East,Online,5163.0,19.78,17804.0
South,Online,28255.0,12.52,63121.0
East,Retail,22254.0,10.63,53450.0
South,Online,5709.0,16.76,23580.0
East,Retail,6462.0,5.71,27596.0
East,Wholesale,22194.0,8.58,46501.0
South,Retail,5529.0,5.36,27619.0
South,Wholesale,7802.0,15.78,17452.0
South,Online,28937.0,11.47,64050.0
North,Retail,8404.0,13.18,29451.0
West,Online,20187.0,5.05,51951.0
North,Wholesale,29380.0,4.4,68609.0
North,Wholesale,11855.0,9.77,26984.0
East,Wholesale,1508.0,14.75,11192.0
South,Online,8080.0,10.5,29947.0
West,Online,25095.0,0.65,62316.0
East,Online,26074.0,17.37,53026.0
North,Online,23287.0,1.29,63633.0
South,Wholesale,4280.0,19.12,12032.0
East,Wholesale,24070.0,0.5,56974.0
South,Retail,27642.0,13.89,53302.0
East,Retail,18418.0,1.64,54117.0
South,Online,28285.0,18.21,59891.0
North,Wholesale,24978.0,9.29,56649.0
West,Wholesale,20342.0,2.75,41012.0
North,Wholesale,17738.0,6.82,50303.0
West,Retail,11109.0,3.3,31947.0
South,Retail,5619.0,3.41,24705.0
East,Wholesale,18544.0,18.96,42261.0
North,Wholesale,10225.0,8.9,28926.0
West,Wholesale,26127.0,15.78,55028.0
North,Retail,29807.0,12.79,60074.0
West,Wholesale,22820.0,13.53,48964.0
North,Wholesale,3624.0,2.63,26925.0
West,Online,9372.0,4.68,31788.0
West,Online,4164.0,15.74,21982.0
South,Retail,19865.0,19.42,47549.0
West,Wholesale,23191.0,5.25,51354.0
South,Wholesale,27845.0,5.43,60393.0
West,Online,13707.0,9.46,36248.0
East,Retail,27140.0,19.68,54483.0
East,Online,26459.0,5.38,63490.0
East,Online,10199.0,8.14,32591.0
West,Online,26198.0,17.83,60838.0
South,Online,11894.0,0.06,39009.0
South,Wholesale,9609.0,0.8,31672.0
West,Wholesale,19823.0,12.08,42756.0
East,Online,10523.0,18.15,35361.0
East,Retail,19276.0,4.78,47797.0
South,Retail,18685.0,9.39,46081.0
East,Retail,17340.0,9.01,46080.0
North,Retail,12032.0,9.46,40397.0
South,Online,16906.0,12.45,42653.0
East,Wholesale,18298.0,9.39,41388.0
South,Retail,16825.0,8.95,38625.0
North,Online,13888.0,9.49,49962.0
South,Retail,1425.0,11.82,16808.0
South,Retail,18025.0,10.74,42948.0
South,Online,5885.0,17.08,27847.0
South,Wholesale,19635.0,0.99,48542.0
North,Wholesale,23021.0,16.67,52276.0
West,Online,15513.0,16.88,38514.0
South,Wholesale,16729.0,5.7,42456.0
South,Online,28593.0,9.26,67713.0
East,Online,25568.0,8.77,61362.0
South,Online,27513.0,4.37,70616.0
East,Wholesale,24599.0,7.94,57456.0
West,Online,4159.0,0.89,29124.0
North,Retail,5321.0,5.56,26758.0
North,Wholesale,16272.0,16.33,35405.0
West,Wholesale,8136.0,5.69,29928.0
North,Wholesale,14824.0,16.36,34716.0
West,Wholesale,12437.0,10.63,31164.0
West,Retail,16933.0,17.6,38586.0
West,Wholesale,22659.0,11.5,49108.0
North,Wholesale,21749.0,0.59,58599.0
East,Online,16116.0,13.51,46474.0
West,Wholesale,24849.0,0.9,56604.0
South,Retail,13495.0,9.01,40662.0
North,Retail,27005.0,18.59,57513.0
West,Retail,3067.0,3.3,19881.0
West,Retail,28685.0,7.8,61570.0
South,Wholesale,19986.0,14.6,40654.0
East,Wholesale,12022.0,17.65,30947.0
East,Retail,6717.0,13.42,31746.0
East,Retail,14896.0,5.16,40148.0
West,Wholesale,6642.0,13.49,21857.0
West,Retail,5824.0,5.93,21540.0
West,Online,18903.0,14.37,45809.0
North,Retail,16169.0,19.08,43837.0
South,Retail,20433.0,14.43,42344.0
West,Online,27959.0,17.26,56682.0
South,Online,16436.0,0.04,49303.0
South,Wholesale,17847.0,14.35,40941.0
East,Wholesale,3599.0,16.59,14574.0
North,Online,21811.0,0.81,62937.0
West,Online,12597.0,17.43,33062.0
East,Wholesale,29325.0,5.13,67580.0
East,Retail,24872.0,13.31,46374.0
West,Online,16152.0,16.01,37816.0
South,Wholesale,4573.0,13.25,15326.0
East,Retail,25923.0,1.85,64850.0
South,Online,24194.0,11.93,62053.0
North,Retail,6353.0,10.99,22285.0
South,Wholesale,9563.0,18.01,26580.0
North,Online,24009.0,8.08,60819.0
South,Retail,6372.0,6.42,23870.0
East,Online,27615.0,15.0,64951.0
East,Retail,13311.0,8.25,36225.0
North,Wholesale,3524.0,12.92,20214.0
West,Wholesale,24657.0,12.93,49704.0
North,Online,11832.0,17.76,34249.0
North,Retail,16268.0,11.97,45453.0
South,Online,4257.0,10.04,20353.0
South,Online,1075.0,2.78,21292.0
North,Retail,19502.0,2.31,47967.0
East,Retail,15940.0,3.09,49606.0
South,Retail,18213.0,3.44,50683.0
West,Wholesale,24019.0,12.76,58105.0
South,Online,19752.0,14.82,52159.0
South,Online,6068.0,10.6,22233.0
West,Wholesale,11462.0,16.58,27348.0
North,Retail,27271.0,19.83,55419.0
West,Wholesale,23328.0,16.4,51525.0
North,Wholesale,17142.0,13.9,37602.0
North,Wholesale,8414.0,10.65,23373.0
North,Online,9760.0,8.98,31249.0
West,Wholesale,22227.0,1.69,50698.0
North,Online,25684.0,7.99,63168.0
East,Online,20471.0,18.2,44963.0
West,Online,24476.0,16.16,60946.0
East,Retail,23233.0,4.32,58249.0
North,Online,5341.0,9.33,29186.0
South,Online,13294.0,16.33,40532.0
North,Retail,5437.0,1.35,28880.0
East,Online,7822.0,7.75,28959.0
East,Wholesale,26209.0,17.04,48556.0
West,Wholesale,14714.0,8.08,33030.0
South,Online,16525.0,1.55,53486.0
West,Retail,6175.0,10.85,16924.0
East,Wholesale,10056.0,17.23,25545.0
North,Retail,7677.0,11.81,30015.0
South,Retail,6979.0,4.53,27153.0
North,Wholesale,19501.0,7.68,49459.0
North,Retail,8450.0,9.0,31677.0
South,Wholesale,19328.0,11.59,44133.0
West,Retail,2695.0,15.19,17083.0
North,Wholesale,5111.0,1.98,22089.0
East,Online,8962.0,17.79,28958.0
North,Wholesale,18314.0,0.25,44385.0
South,Wholesale,20599.0,7.4,41157.0
South,Wholesale,13839.0,0.55,38390.0
South,Wholesale,13928.0,7.86,36771.0
West,Retail,22011.0,10.52,54252.0
North,Online,1459.0,10.23,27771.0
West,Wholesale,10892.0,3.31,34910.0
West,Retail,24743.0,12.91,55264.0
South,Online,18493.0,0.9,53317.0
South,Online,10780.0,15.24,27190.0
West,Online,27260.0,18.93,58165.0
North,Online,23406.0,6.8,65602.0
East,Wholesale,8682.0,10.34,28152.0
West,Wholesale,19713.0,7.58,40834.0
North,Retail,18277.0,0.13,53676.0
South,Retail,12634.0,7.72,36466.0
South,Retail,11642.0,15.83,30090.0
North,Online,10963.0,11.92,36690.0
