customer_id,total_spend,txn_count,recency_days
C00960,262.51,6,166
C00169,5109.39,53,9
C00918,635.92,4,73
C00529,1686.64,15,50
C00824,629.3,3,104
C00986,578.66,4,117
C00817,543.82,2,81
C00087,5825.42,42,8
C00433,818.53,19,11
C00185,3889.42,54,1
C00979,484.19,4,65
C00535,1053.19,11,57
C00295,3443.42,52,2
C00893,444.67,2,147
C00426,2257.97,14,129
C00714,607.76,2,86
C00261,3748.46,57,35
C00238,4201.7,50,3
C00560,2408.94,16,16
C00584,2294.28,14,37
C00446,2706.11,16,10
C00868,523.92,2,30
C00801,813.56,3,160
C00600,2460.83,14,16
C00850,222.8,2,89
C00266,6800.94,51,16
C00996,382.02,5,255
C00530,2431.2,13,53
C00056,5385.32,50,14
C00121,6628.62,50,7
C00216,5207.69,47,36
C00026,4498.24,57,3
C00073,5443.82,50,7
C00045,5293.07,51,11
C00248,5046.44,51,2
C00722,407.44,4,44
C00282,7142.27,52,12
C00894,590.18,5,52
C00915,96.3,6,43
C00811,155.91,3,100
C00245,4832.88,47,2
C00823,546.29,2,108
C00322,4719.32,47,8
C00644,2170.29,19,10
C00159,3521.41,43,10
C00978,505.76,1,33
C00430,1594.87,19,46
C00942,736.35,5,134
C00463,1532.28,21,71
C00310,6050.65,53,11
C00698,625.13,3,48
C00061,4514.64,49,4
C00885,321.76,6,31
C00596,1523.03,15,36
C00768,877.54,5,57
C00650,2690.73,11,72
C00651,1608.12,14,11
C00866,619.28,3,41
C00669,219.87,8,97
C00299,4928.4,50,1
C00690,582.93,4,162
C00315,3903.72,48,5
C00311,5302.64,57,9
C00362,2745.36,12,11
C00480,2380.03,8,22
C00111,6179.44,51,36
C00990,823.96,4,38
C00487,1758.47,14,37
C00364,2001.52,18,26
C00255,4444.8,49,2
C00260,3929.92,48,3
C00803,695.06,4,110
C00678,342.11,4,31
C00495,1935.73,18,13
C00671,695.16,3,31
C00378,2092.34,20,20
C00527,2296.78,19,45
C00846,391.54,3,33
C00138,3617.2,45,2
C00356,2408.88,17,14
C00366,1887.62,17,19
C00943,470.01,3,159
C00750,527.57,6,143
C00949,700.68,4,178
C00830,50.0,4,90
C00657,2151.91,20,39
C00200,4021.63,56,1
C00214,5610.59,57,7
C00409,1429.16,15,12
C00333,4814.71,52,3
C00209,4965.01,53,3
C00614,2261.26,9,37
C00079,6586.02,49,29
C00030,4765.41,47,13
C00536,2106.65,19,12
C00696,489.43,3,95
C00558,2726.23,22,43
C00837,569.02,5,102
C00597,2988.22,17,19
C00166,4077.83,51,5
C00919,253.3,3,32
C00496,1059.08,18,49
C00825,240.5,1,76
C00066,4348.4,47,4
C00142,4949.76,46,12
C00926,396.57,3,42
C00828,182.24,2,292
C00656,2018.97,17,23
C00332,5278.99,44,20
C00665,2285.31,12,21
C00250,6577.45,60,28
C00908,542.32,6,61
C00709,722.59,3,90
C00306,3960.09,41,6
C00735,393.54,2,141
C00976,575.42,3,43
C00050,4184.19,50,7
C00897,879.55,4,43
C00003,6579.21,56,3
C00545,1652.64,18,51
C00351,2040.91,16,70
C00905,669.11,3,33
C00537,1196.22,14,58
C00345,1453.84,17,32
C00995,619.1,2,59
C00482,2670.23,16,38
C00576,1492.45,15,76
C00034,7463.24,45,7
C00032,4925.55,47,1
C00232,4469.0,47,35
C00964,333.14,5,213
C00193,3443.37,52,9
C00334,1935.09,16,30
C00004,5767.43,44,8
C00205,4076.77,54,9
C00515,3037.04,17,162
C00800,642.86,4,32
C00307,4809.32,53,29
C00110,5491.92,49,21
C00431,1586.2,16,15
C00078,5462.1,51,9
C00085,4979.1,48,5
C00287,6476.54,54,13
C00083,5899.6,54,4
C00992,360.36,4,76
C00790,568.87,3,151
C00895,230.08,9,38
C00399,2598.32,17,52
C00324,3429.5,42,12
C00520,2233.85,20,57
C00917,595.76,2,34
C00923,555.47,5,320
C00006,4437.71,48,16
C00732,248.98,3,80
C00466,1825.34,15,11
C00098,4786.55,59,7
C00267,4553.82,48,10
C00358,1906.51,16,31
C00869,730.72,4,54
C00799,621.69,2,48
C00381,2498.02,18,16
C00632,2617.91,18,40
C00382,1621.6,12,54
C00491,2084.33,19,37
C00119,6058.42,48,24
C00901,581.61,5,71
C00251,4553.57,47,1
C00524,1673.12,17,70
C00010,4708.31,50,25
C00197,5307.8,52,2
C00604,2202.15,19,72
C00082,4377.3,46,12
C00784,583.92,2,85
C00588,2236.2,14,17
C00798,344.99,4,80
C00240,5223.79,51,5
C00291,4637.56,66,11
C00212,4752.48,49,8
C00718,514.96,4,196
C00360,1927.96,19,11
C00450,1940.97,21,15
C00228,5234.21,62,1
C00951,623.62,2,47
C00947,498.59,2,186
C00797,635.47,2,65
C00502,2563.35,13,22
C00465,1888.27,15,20
C00363,2080.29,21,20
C00469,2035.03,18,12
C00936,351.55,4,41
C00429,1632.7,21,32
C00008,3575.25,44,30
C00156,4673.98,48,4
C00542,2091.92,19,47
C00441,1776.34,23,15
C00483,1840.47,17,30
C00423,1989.32,22,32
C00779,570.71,8,63
C00950,524.36,4,212
C00335,1598.16,16,45
C00577,1840.08,13,39
C00935,455.87,2,49
C00568,2295.91,15,31
C00595,2007.14,14,11
C00531,2594.46,21,12
C00582,2766.72,14,65
C00708,677.05,5,71
C00449,2658.56,17,30
C00454,2760.66,12,21
C00229,5984.32,61,10
C00353,1912.52,13,22
C00729,50.0,5,66
C00213,5380.2,55,12
C00080,3762.18,48,24
C00149,5529.8,49,5
C00303,5916.33,49,7
C00629,1238.82,20,12
C00778,430.08,4,71
C00507,1955.82,13,52
C00343,2084.68,12,52
C00486,1207.93,15,103
C00712,568.47,8,40
C00134,3577.75,58,12
C00704,786.27,4,138
C00312,4245.72,48,12
C00723,424.12,3,35
C00630,2556.34,20,27
C00001,5496.71,54,2
C00317,6642.02,52,5
C00707,625.1,2,66
C00548,2077.6,20,13
C00873,463.37,6,45
C00533,1662.41,15,59
C00478,1981.48,15,16
C00405,2771.05,18,43
C00173,4841.99,55,5
C00126,4207.13,49,5
C00395,2376.67,18,15
C00421,1561.01,22,19
C00553,2482.7,15,55
C00904,562.48,6,103
C00091,6158.11,55,1
C00940,672.36,3,84
C00182,4453.14,49,6
C00275,5059.63,53,13
C00896,416.96,5,52
C00070,5404.98,54,10
C00292,3880.33,47,2
C00132,4750.96,49,3
C00301,5078.64,36,44
C00425,2033.5,24,26
C00327,5125.22,62,18
C00145,3372.46,42,4
C00424,1626.39,16,79
C00581,894.07,9,27
C00136,6479.94,54,2
C00451,2420.31,12,14
C00165,5756.99,54,12
C00029,5005.11,49,2
C00774,437.52,4,34
C00194,5606.01,49,30
C00389,1916.44,20,65
C00853,1026.71,6,272
C00170,5725.77,52,14
C00706,904.01,5,75
C00141,5270.46,42,35
C00174,4573.12,48,26
C00007,5067.53,51,10
C00746,439.7,3,41
C00479,1247.64,14,10
C00074,5774.63,50,6
C00911,584.81,3,74
C00814,302.43,5,30
C00239,4482.39,57,7
C00146,5048.08,51,7
C00793,482.15,5,104
C00235,6547.51,46,22
C00221,6031.84,58,3
C00924,495.54,4,30
C00501,2516.27,16,26
C00133,4243.65,45,2
C00991,626.73,3,32
C00775,642.92,6,36
C00186,6752.27,45,12
C00042,6307.14,52,5
C00697,610.46,3,102
C00109,4101.59,62,10
C00589,2441.17,19,26
C00057,6083.05,48,17
C00406,3003.05,20,62
C00443,1832.61,19,27
C00758,276.52,3,55
C00998,401.37,6,33
C00025,4191.51,60,11
C00468,2855.31,14,11
C00540,998.07,18,41
C00532,2354.15,17,25
C00619,2419.47,13,22
C00695,519.66,4,101
C00927,145.79,6,36
C00339,2116.89,22,32
C00052,4142.84,48,27
C00508,1814.99,16,79
C00517,1385.23,16,29
C00921,478.7,5,148
C00782,276.56,3,49
C00265,4323.61,45,1
C00818,515.43,3,35
C00711,432.97,1,120
C00683,669.69,3,34
C00833,1010.94,2,33
C00519,2126.87,17,14
C00448,3294.78,17,21
C00019,5812.53,58,2
C00716,624.54,2,166
C00484,1601.99,12,25
C00569,1380.45,21,78
C00434,1495.13,17,28
C00368,2195.9,17,33
C00084,5307.3,44,17
C00062,5081.87,51,1
C00639,1639.13,15,37
C00273,6797.69,55,2
C00286,6047.1,49,9
C00361,1893.28,13,20
C00355,1987.49,18,15
C00457,1499.83,20,19
C00279,4348.58,57,38
C00013,4884.35,48,18
C00183,6246.09,43,20
C00369,2598.29,12,14
C00882,375.18,3,48
C00616,1500.97,17,91
C00224,6409.35,49,14
C00573,1812.4,18,35
C00971,347.94,5,71
C00654,2119.7,18,50
C00546,1795.36,15,31
C00583,1785.38,26,100
C00634,1336.98,14,127
C00177,2303.11,59,9
C00666,2484.09,14,33
C00674,438.3,3,87
C00586,1669.01,19,40
C00874,428.67,4,126
C00394,2010.64,17,34
C00164,4489.98,48,2
C00249,5249.38,64,11
C00635,2016.4,12,50
C00886,487.63,9,41
C00670,502.87,3,37
C00376,1623.29,19,12
C00413,2942.29,13,22
C00075,6632.41,52,5
C00114,5046.98,52,12
C00599,1905.44,20,30
C00962,345.49,4,63
C00391,2090.51,9,14
C00105,7153.18,51,1
C00115,3465.89,42,8
C00418,563.87,17,49
C00526,2142.78,16,77
C00458,1661.13,22,34
C00410,1903.17,14,49
C00093,5975.12,47,2
C00931,617.23,3,73
C00090,4869.86,49,4
C00337,1810.44,13,17
C00989,467.35,3,53
C00922,409.24,2,120
C00934,179.95,5,77
C00606,2159.83,20,26
C00594,2395.31,14,85
C00612,1874.23,19,33
C00095,5244.97,53,1
C00012,3779.16,58,26
C00397,1895.49,20,34
C00534,1927.74,24,103
C00044,5296.98,58,1
C00043,5521.94,52,2
C00330,6749.58,46,6
C00168,6496.04,51,10
C00498,2213.6,14,56
C00877,531.45,3,38
C00598,1217.88,15,97
C00757,627.09,6,100
C00101,4891.24,46,3
C00427,2397.13,13,28
C00179,4731.11,50,1
C00445,2012.11,18,74
C00417,1415.04,12,49
C00871,806.04,3,36
C00883,861.9,3,71
C00681,566.75,3,59
C00178,4945.71,52,11
C00396,2190.58,17,18
C00912,507.89,5,273
C00794,492.49,5,63
C00961,430.11,6,152
C00685,249.14,2,67
C00384,3082.5,18,51
C00957,200.2,8,47
C00752,691.06,5,34
C00258,4435.92,43,29
C00539,1867.74,14,125
C00336,2819.56,12,35
C00016,4614.92,56,14
C00325,5105.38,53,9
C00759,744.62,3,50
C00223,4482.71,50,21
C00180,3893.47,54,23
C00984,362.22,3,30
C00023,5091.76,59,6
C00357,1695.24,26,111
C00667,229.79,7,72
C00862,417.28,5,72
C00341,2836.29,17,34
C00432,2043.07,24,43
C00552,1948.39,19,15
C00834,371.56,3,45
C00204,5026.09,52,5
C00631,1441.74,10,96
C00094,4852.94,54,2
C00559,1223.12,20,41
C00069,6765.45,53,31
C00623,1241.06,19,33
C00285,5224.45,49,7
C00845,988.92,4,59
C00435,1677.02,13,52
C00154,4588.12,56,8
C00076,3569.86,52,20
C00731,552.39,4,78
C00447,2593.69,11,16
C00189,4639.03,53,4
C00272,2958.27,40,2
C00237,4823.05,48,13
C00488,2073.4,19,24
C00118,6755.34,52,3
C00944,213.37,3,100
C00513,1606.11,10,19
C00826,348.43,5,77
C00592,1909.39,25,23
C00127,6964.73,52,21
C00117,7060.75,57,2
C00474,2371.06,16,41
C00694,362.52,6,100
C00058,6053.8,59,7
C00864,879.46,1,42
C00913,463.71,6,132
C00370,1920.74,15,29
C00269,4033.02,43,10
C00047,6158.6,52,11
C00350,2254.0,21,90
C00196,5399.14,55,1
C01000,122.0,4,95
C00835,720.78,1,71
C00737,427.87,2,152
C00264,6329.15,52,7
C00444,1798.18,18,74
C00676,782.57,5,85
C00305,6108.18,45,36
C00342,2209.51,25,45
C00967,903.06,3,240
C00150,6441.57,60,34
C00125,4469.74,44,2
C00787,434.44,4,59
C00051,5625.67,46,11
C00354,1622.13,21,69
C00928,594.31,3,51
C00143,5099.33,51,15
C00471,1672.96,20,76
C00400,1695.11,16,14
C00626,2210.49,21,21
C00321,4246.04,50,4
C00020,6356.24,54,9
C00810,355.15,7,98
C00791,472.12,2,81
C00809,632.69,3,38
C00408,1998.31,19,31
C00538,1618.64,23,80
C00621,1997.2,16,56
C00039,4080.58,61,5
C00176,3704.92,49,2
C00246,5146.71,50,4
C00829,783.71,6,60
C00668,235.51,4,78
C00755,280.92,5,95
C00859,242.34,2,116
C00155,5871.12,48,6
C00288,6380.09,59,3
C00603,2218.37,15,54
C00570,1266.24,16,20
C00744,278.0,4,31
C00018,4690.79,39,4
C00128,5035.26,59,4
C00323,5918.32,54,6
C00256,6881.16,55,3
C00658,2360.78,14,26
C00965,566.65,3,107
C00191,5326.13,49,18
C00116,6277.68,55,20
C00617,2267.25,19,86
C00607,1662.15,28,20
C00181,4426.34,51,15
C00302,3001.8,65,31
C00760,448.23,4,40
C00713,169.05,5,31
C00724,566.41,5,82
C00686,205.82,4,44
C00980,384.18,4,36
C00518,2248.35,17,109
C00985,479.13,2,98
C00046,4285.65,45,3
C00910,537.46,4,30
C00158,6676.44,52,29
C00852,613.95,4,61
C00172,4874.21,50,6
C00017,4160.78,57,5
C00512,2071.47,21,20
C00049,4110.49,58,16
C00972,886.49,3,68
C00941,411.38,2,46
C00516,1540.31,22,35
C00953,487.18,7,64
C00481,2159.59,17,90
C00284,3331.42,49,5
C00719,458.83,2,45
C00878,501.24,6,56
C00226,4718.22,45,1
C00027,5097.08,47,3
C00955,833.81,5,113
C00438,1218.4,17,42
C00952,801.89,5,55
C00365,1316.56,16,62
C00230,4786.01,52,8
C00038,4433.7,45,2
C00966,533.97,2,75
C00375,2016.0,13,31
C00470,2580.94,18,26
C00968,758.13,6,88
C00851,598.29,3,154
C00705,714.28,8,59
C00842,567.65,4,56
C00195,4455.08,57,23
C00855,898.31,2,84
C00865,920.73,1,205
C00504,2697.84,15,37
C00970,1000.33,2,64
C00831,543.32,8,31
C00580,2092.37,14,28
C00969,450.13,4,128
C00163,6037.54,42,2
C00909,514.54,3,200
C00153,5337.6,45,2
C00802,328.1,4,46
C00994,652.06,5,189
C00756,559.68,7,30
C00112,4530.82,49,4
C00227,4965.32,48,3
C00689,779.32,4,96
C00104,5012.59,50,12
C00422,1586.56,20,54
C00420,2234.39,10,19
C00751,322.15,3,105
C00587,1521.78,18,30
C00781,106.59,5,52
C00673,456.6,4,59
C00120,3241.26,47,16
C00054,4927.17,47,9
C00152,4396.01,54,19
C00404,2631.29,17,12
C00946,469.74,2,175
C00208,5700.31,52,15
C00659,2996.26,24,62
C00844,452.12,3,92
C00763,475.46,3,266
C00009,4399.36,53,2
C00808,608.57,1,162
C00037,4009.46,53,8
C00453,2608.58,15,29
C00652,1654.73,16,37
C00254,5377.21,47,15
C00304,5346.49,53,1
C00747,744.25,3,118
C00572,1178.41,11,17
C00624,1821.49,27,31
C00733,382.23,2,134
C00892,620.82,9,157
C00263,5642.72,43,26
C00611,2391.7,20,36
C00298,7076.75,57,2
C00415,2161.58,14,71
C00151,5371.15,61,1
C00789,273.47,2,138
C00641,2405.7,19,21
C00890,241.3,1,92
C00551,2195.23,17,40
C00887,333.61,3,83
C00489,924.09,12,51
C00148,5047.4,56,12
C00147,4348.16,47,1
C00721,159.56,4,38
C00932,417.52,7,50
C00740,318.06,2,173
C00660,1616.67,15,10
C00349,1081.9,16,37
C00464,2542.99,12,33
C00326,3665.97,50,8
C00187,4475.48,52,2
C00124,4060.12,50,2
C00854,606.35,3,38
C00609,2339.69,16,21
C00144,5751.39,44,6
C00959,650.54,5,108
C00198,3289.83,50,4
C00610,1425.6,19,16
C00280,4516.11,47,16
C00294,5477.04,50,18
C00401,2361.19,16,75
C00123,5366.6,44,23
C00184,2926.61,62,4
C00203,4375.18,44,1
C00439,1786.82,14,20
C00247,5191.1,52,11
C00416,1926.2,21,58
C00933,222.29,4,52
C00766,916.15,7,55
C00907,231.07,8,139
C00836,595.03,4,166
C00888,372.34,3,35
C00130,5757.51,50,5
C00638,1674.99,15,113
C00403,1237.17,20,36
C00785,756.47,3,88
C00771,417.71,4,192
C00736,739.03,4,44
C00914,478.73,4,113
C00220,4521.25,47,16
C00642,1425.87,14,70
C00916,529.01,3,177
C00753,172.1,5,188
C00807,685.61,3,132
C00920,202.07,3,42
C00625,2349.41,17,14
C00875,744.16,6,100
C00761,524.57,8,167
C00387,3028.1,24,13
C00973,619.37,1,78
C00510,1833.09,16,22
C00268,3110.46,46,20
C00820,711.75,8,30
C00442,2640.51,19,21
C00497,2484.73,19,43
C00113,5005.24,57,6
C00692,543.6,3,52
C00233,6420.5,53,17
C00870,777.27,2,218
C00608,2017.08,15,10
C00672,683.69,3,56
C00374,1756.04,22,38
C00982,448.04,4,185
C00843,314.44,5,92
C00234,4429.25,45,8
C00786,717.55,3,62
C00677,432.85,3,59
C00318,6009.82,57,7
C00649,2874.79,18,47
C00411,1487.91,18,13
C00899,198.36,2,36
C00710,715.53,4,96
C00359,1530.33,18,38
C00259,6846.64,48,42
C00745,189.37,1,107
C00628,1803.99,15,23
C00633,1820.12,20,19
C00283,4742.62,57,14
C00377,1817.34,11,104
C00385,2269.15,12,88
C00225,4579.81,48,4
C00954,607.26,9,33
C00815,462.88,1,89
C00473,2819.98,14,13
C00348,1923.77,15,23
C00506,1703.77,26,11
C00640,2088.41,18,19
C00988,452.6,5,42
C00929,315.88,4,34
C00906,730.24,5,138
C00620,1691.37,19,34
C00856,333.59,4,32
C00804,603.13,4,324
C00646,2257.13,12,27
C00847,933.01,6,80
C00557,1773.38,14,29
C00958,481.63,3,30
C00578,2075.88,16,105
C00796,594.01,2,54
C00086,5117.33,60,6
C00243,5820.48,53,10
C00699,569.93,1,95
C00160,6143.75,50,16
C00525,1972.55,13,67
C00036,5751.93,52,8
C00541,490.24,18,12
C00171,4010.4,43,21
C00655,1618.36,16,36
C00891,713.68,2,40
C00858,583.64,6,88
C00848,738.11,4,39
C00945,426.9,4,39
C00734,332.55,5,58
C00096,4493.06,48,30
C00564,1502.83,18,28
C00241,5681.89,46,16
C00743,380.13,6,32
C00575,2790.27,14,84
C00691,571.2,7,68
C00461,2165.99,15,20
C00554,2618.07,18,23
C00889,514.25,3,130
C00207,4141.64,51,7
C00393,2619.14,20,36
C00795,586.45,3,189
C00398,1574.74,20,16
C00767,417.28,3,81
C00849,894.51,4,135
C00218,5681.5,52,2
C00005,3275.08,52,4
C00769,383.28,2,67
C00643,2275.74,14,46
C00930,401.5,5,216
C00613,1584.78,20,101
C00739,493.79,2,50
C00547,1836.05,21,18
C00726,503.61,3,62
C00684,50.62,6,44
C00099,4981.49,39,2
C00805,678.59,5,63
C00728,435.75,5,111
C00574,1841.14,13,40
C00407,1590.9,10,56
C00503,2655.15,15,25
C00048,4179.32,51,5
C00033,5060.23,38,24
C00780,448.81,5,141
C00840,746.0,2,82
C00201,5256.03,52,2
C00135,4992.03,41,9
C00028,5968.64,49,20
C00881,740.93,5,109
C00231,4362.26,45,16
C00490,1640.42,11,23
C00773,270.54,5,62
C00379,2600.21,19,15
C00289,4974.45,46,6
C00419,1698.89,18,51
C00675,81.58,5,71
C00392,1351.58,19,17
C00593,1657.69,18,42
C00499,2696.23,23,21
C00139,4349.36,44,2
C00063,4528.07,43,15
C00472,1084.68,16,39
C00648,1815.24,16,10
C00129,5614.17,44,5
C00977,815.08,2,37
C00521,2310.79,24,28
C00839,294.73,5,193
C00963,603.06,4,32
C00065,5045.57,51,13
C00813,556.75,2,109
C00015,5324.08,55,1
C00157,5018.42,48,24
C00041,5227.46,50,1
C00493,1693.78,22,32
C00380,1671.55,12,53
C00188,5489.37,45,20
C00764,518.67,2,84
C00217,4960.44,47,1
C00792,647.93,2,82
C00053,5473.24,46,20
C00879,460.41,5,68
C00338,1898.21,15,31
C00749,806.77,3,225
C00720,350.68,3,40
C00725,266.87,4,66
C00296,4571.88,44,14
C00702,622.49,2,56
C00252,5194.09,51,10
C00727,847.77,6,139
C00462,2095.25,20,108
C00456,2100.58,18,31
C00997,742.43,5,53
C00816,435.66,3,51
C00863,839.14,4,36
C00270,4952.29,53,1
C00202,5982.69,59,5
C00162,4150.16,51,21
C00556,2300.6,16,11
C00730,206.22,3,211
C00402,1813.58,18,25
C00703,566.77,3,30
C00477,1694.12,13,116
C00822,357.56,4,38
C00772,730.78,3,68
C00106,4232.65,58,10
C00566,2273.56,20,121
C00390,2141.29,19,42
C00002,4861.74,43,21
C00938,473.17,5,39
C00983,495.54,5,144
C00562,2301.59,17,64
C00081,5280.99,40,19
C00206,3648.32,50,28
C00035,6142.82,45,5
C00776,90.01,5,60
C00509,2348.48,18,134
C00428,1372.86,15,14
C00455,1767.69,14,19
C00367,1726.88,17,10
C00092,5791.66,50,8
C00340,1222.05,15,43
C00898,310.42,7,217
C00565,2011.23,19,54
C00346,1841.8,18,52
C00777,424.59,2,62
C00242,6846.71,53,21
C00014,4698.9,48,8
C00316,3559.95,49,5
C00601,2443.44,14,12
C00388,1448.4,18,60
C00274,5640.84,42,13
C00167,3221.28,49,2
C00841,482.39,2,72
C00993,458.78,6,57
C00647,2112.65,23,18
C00819,166.28,4,50
C00485,1098.43,22,38
C00981,343.77,8,66
C00505,1382.83,19,29
C00832,294.85,5,38
C00244,5507.27,54,22
C00567,2336.43,12,10
C00876,324.65,3,60
C00563,1885.7,17,32
C00687,458.21,1,127
C00190,6159.33,58,1
C00783,481.11,7,48
C00700,187.04,9,81
C00476,2275.74,11,23
C00682,440.48,4,155
C00511,1403.04,17,53
C00059,5570.89,53,23
C00475,2061.6,20,40
C00561,1835.69,16,13
C00857,585.17,6,122
C00748,402.57,5,34
C00253,4441.08,54,1
C00022,6564.64,42,11
C00314,5701.17,42,1
C00460,1512.74,12,11
C00161,4540.64,46,1
C00277,6317.39,49,8
C00956,311.49,3,112
C00192,3748.89,47,5
C00386,2536.25,14,26
C00806,865.92,4,193
C00414,2771.62,21,31
C00492,2220.97,23,72
C00344,1293.14,15,57
C00770,707.68,4,129
C00309,5201.1,53,3
C00662,1040.16,12,25
C00131,6644.97,50,2
C00664,2406.6,13,74
C00872,632.99,5,183
C00100,4711.34,52,9
C00373,2338.96,17,42
C00088,5813.51,56,23
C00459,1933.68,17,33
C00331,4326.51,52,9
C00215,5429.62,44,25
C00467,2475.15,22,12
C00122,3619.9,47,3
C00615,2525.97,20,31
C00021,4964.17,50,1
C00701,651.36,4,61
C00072,4515.77,42,1
C00107,4160.28,49,9
C00271,5208.38,41,1
C00861,422.46,3,60
C00436,1600.4,17,73
C00103,5224.09,40,35
