age,annual_spend,visit_frequency,avg_transaction,segment
29,1693.13,10,169.31,1
23,436.08,6,72.68,0
43,5976.1,40,149.4,3
31,552.08,2,276.04,0
19,1482.63,7,211.8,0
28,1569.06,10,156.91,1
19,661.01,3,220.34,0
20,525.32,7,75.05,0
40,10446.54,38,274.91,3
41,3453.79,17,203.16,2
53,9663.14,31,311.71,3
26,336.41,3,112.14,0
52,3594.59,25,143.78,2
22,672.01,6,112.0,0
41,3049.58,10,304.96,1
45,7590.96,34,223.26,3
43,8971.23,42,213.6,3
32,1151.89,6,191.98,0
44,5745.6,37,155.29,3
39,4450.49,19,234.24,2
37,2918.28,8,364.79,1
29,2278.95,10,227.89,1
26,718.26,3,239.42,0
40,2157.96,13,166.0,1
62,11376.74,29,392.3,3
38,4318.69,20,215.93,2
37,3105.9,11,282.35,1
54,6072.92,34,178.62,3
26,1495.71,6,249.28,0
30,974.33,7,139.19,0
43,1637.3,11,148.85,1
24,271.19,3,90.4,0
39,4263.9,17,250.82,2
20,352.78,6,58.8,0
52,3469.84,14,247.85,2
46,3559.77,16,222.49,2
44,9854.7,26,379.03,3
55,9122.14,39,233.9,3
49,6747.18,25,269.89,3
64,5661.31,41,138.08,3
40,2826.3,7,403.76,1
43,4455.8,23,193.73,2
21,957.95,5,191.59,0
62,11838.07,31,381.87,3
41,3946.6,14,281.9,2
51,6793.04,36,188.7,3
34,1030.86,6,171.81,0
25,582.81,5,116.56,0
37,5028.59,21,239.46,2
27,970.82,3,323.61,0
27,1548.32,11,140.76,1
51,8460.53,36,235.01,3
43,7031.18,44,159.8,3
50,10182.17,43,236.79,3
30,2637.21,8,329.65,1
58,8675.93,36,241.0,3
40,2394.59,11,217.69,1
26,501.88,6,83.65,0
36,4788.43,23,208.19,2
37,4745.16,23,206.31,2
31,503.83,6,83.97,0
46,8616.46,33,261.1,3
43,1780.15,14,127.15,1
30,1381.74,2,690.87,0
61,7068.77,26,271.88,3
36,5299.79,25,211.99,2
40,3913.47,18,217.42,2
37,2760.55,11,250.96,1
42,3022.97,11,274.82,1
60,9708.88,44,220.66,3
53,7349.33,41,179.25,3
47,4639.22,17,272.9,2
25,3140.39,17,184.73,1
50,4276.52,21,203.64,2
43,4313.3,18,239.63,2
26,2470.44,13,190.03,1
50,3490.06,14,249.29,2
52,4007.45,30,133.58,2
42,2407.61,8,300.95,1
36,1546.09,15,103.07,1
49,8651.58,33,262.17,3
36,2306.24,13,177.4,1
36,4280.68,20,214.03,2
25,1426.7,4,356.68,0
59,10995.82,40,274.9,3
38,1728.08,5,345.62,1
26,2267.04,14,161.93,1
22,570.33,4,142.58,0
61,11624.21,35,332.12,3
44,3037.04,14,216.93,1
41,7038.12,42,167.57,3
52,9546.74,33,289.3,3
64,6803.67,30,226.79,3
24,756.66,5,151.33,0
34,275.11,4,68.78,0
51,4201.07,28,150.04,2
18,655.76,5,131.15,0
42,5855.11,18,325.28,2
35,4700.58,27,174.1,2
28,1080.83,1,1080.83,0
45,5031.37,22,228.7,2
54,7879.18,40,196.98,3
39,2341.86,12,195.16,1
27,790.69,3,263.56,0
32,367.53,3,122.51,0
40,2961.47,12,246.79,1
28,499.01,2,249.51,0
41,6556.24,42,156.1,3
33,1269.3,7,181.33,0
49,3960.05,20,198.0,2
54,3790.65,13,291.59,2
36,4253.95,14,303.85,2
21,307.1,5,61.42,0
60,10513.08,22,477.87,3
22,1188.38,3,396.13,0
47,8090.11,32,252.82,3
25,3450.22,14,246.44,1
42,5544.61,20,277.23,2
31,2356.05,10,235.61,1
36,3052.49,10,305.25,1
52,3380.41,25,135.22,2
49,4821.97,14,344.43,2
21,258.8,3,86.27,0
53,5929.47,20,296.47,2
30,3036.07,8,379.51,1
32,1333.4,1,1333.4,0
32,1114.76,2,557.38,0
40,10318.51,42,245.68,3
61,11601.68,36,322.27,3
29,1492.38,5,298.48,0
39,3058.95,18,169.94,2
53,5680.97,31,183.26,3
44,5573.57,18,309.64,2
40,6162.01,39,158.0,3
46,5286.56,23,229.85,2
23,873.03,2,436.51,0
54,5554.74,25,222.19,2
38,4512.4,18,250.69,2
50,5423.87,23,235.82,2
49,5931.63,37,160.31,3
45,7577.33,36,210.48,3
50,3431.63,21,163.41,2
33,2776.52,11,252.41,1
47,4952.92,24,206.37,2
45,10994.64,29,379.13,3
28,734.34,5,146.87,0
52,4946.05,26,190.23,2
28,1329.58,2,664.79,0
45,3782.55,20,189.13,2
43,3492.98,10,349.3,1
53,7480.95,30,249.36,3
48,6377.36,32,199.29,3
57,8634.46,49,176.21,3
45,11567.46,33,350.53,3
25,1275.8,3,425.27,0
27,1417.16,11,128.83,1
53,4899.54,23,213.02,2
34,256.11,4,64.03,0
34,252.14,8,31.52,0
35,4347.24,21,207.01,2
41,2256.31,11,205.12,1
33,1016.02,2,508.01,0
63,11404.67,39,292.43,3
43,5608.6,16,350.54,2
47,10011.86,33,303.39,3
38,2898.77,11,263.52,1
51,3627.92,13,279.07,2
25,1626.14,9,180.68,1
56,5749.35,37,155.39,3
54,5342.05,19,281.16,2
44,2736.22,8,342.03,1
43,3103.26,17,182.54,1
20,1189.96,3,396.65,0
43,5760.12,22,261.82,2
27,988.73,6,164.79,0
28,1491.97,11,135.63,1
38,5882.24,20,294.11,2
53,7247.6,35,207.07,3
19,1035.15,1,1035.15,0
23,717.62,5,143.52,0
40,4636.28,15,309.09,2
35,1307.76,7,186.82,1
35,1723.82,15,114.92,1
34,1290.57,5,258.11,0
42,5531.04,16,345.69,2
51,6522.92,31,210.42,3
33,267.56,8,33.45,0
39,1985.03,8,248.13,1
22,1269.4,3,423.13,0
51,9598.83,34,282.32,3
36,2899.39,7,414.2,1
37,3300.56,10,330.06,1
60,6782.08,30,226.07,3
45,5306.24,15,353.75,2
44,3836.08,29,132.28,2
53,3808.89,16,238.06,2
39,1255.08,11,114.1,1
44,1735.28,6,289.21,1
63,5810.58,33,176.08,3
26,2257.04,13,173.62,1
25,2787.11,8,348.39,1
46,5497.17,22,249.87,2
39,4849.87,20,242.49,2
50,4459.45,18,247.75,2
19,1214.99,2,607.5,0
20,913.35,5,182.67,0
32,617.01,2,308.51,0
33,251.15,4,62.79,0
37,3353.45,7,479.06,1
27,857.66,2,428.83,0
41,10182.43,34,299.48,3
54,3065.95,17,180.35,2
21,595.51,4,148.88,0
50,3317.39,20,165.87,2
41,4679.23,25,187.17,2
40,10826.09,33,328.06,3
54,5091.5,20,254.57,2
46,3614.94,23,157.17,2
45,5988.67,20,299.43,2
52,5957.99,31,192.19,3
37,1370.44,12,114.2,1
41,6748.11,42,160.67,3
28,3248.97,9,361.0,1
57,11646.88,34,342.56,3
20,397.47,3,132.49,0
37,5469.01,17,321.71,2
41,1296.4,15,86.43,1
54,9501.09,37,256.79,3
54,4168.17,23,181.22,2
62,6869.59,31,221.6,3
49,3957.68,26,152.22,2
42,9206.22,41,224.54,3
34,637.96,4,159.49,0
58,10156.11,38,267.27,3
41,3260.9,18,181.16,2
51,3464.36,18,192.46,2
41,8997.79,39,230.71,3
19,223.69,3,74.56,0
23,1298.34,1,1298.34,0
37,4612.74,21,219.65,2
18,1047.17,5,209.43,0
31,296.92,4,74.23,0
27,2016.26,9,224.03,1
42,6959.79,35,198.85,3
20,622.08,5,124.42,0
39,2492.77,10,249.28,1
53,3506.25,31,113.1,2
63,7337.34,34,215.8,3
51,3091.06,25,123.64,2
40,11160.18,35,318.86,3
49,3825.3,22,173.88,2
63,8769.97,26,337.31,3
39,2479.87,7,354.27,1
42,1474.58,14,105.33,1
52,8831.75,31,284.9,3
41,2462.49,15,164.17,1
54,4080.18,20,204.01,2
24,290.25,2,145.13,0
44,7055.9,34,207.53,3
34,789.93,2,394.96,0
33,2401.77,8,300.22,1
34,1282.18,2,641.09,0
28,421.68,4,105.42,0
28,2017.38,7,288.2,1
50,7990.57,40,199.76,3
36,1354.69,11,123.15,1
37,3780.14,19,198.95,2
19,956.56,4,239.14,0
59,6982.65,44,158.7,3
22,1380.75,2,690.37,0
43,9119.32,46,198.25,3
26,1987.63,12,165.64,1
38,5617.18,21,267.48,2
36,3361.13,20,168.06,2
35,5891.06,18,327.28,2
25,2958.01,15,197.2,1
41,4639.43,14,331.39,2
33,2387.45,11,217.04,1
52,5760.45,29,198.64,3
25,2306.05,10,230.6,1
23,694.25,6,115.71,0
20,594.26,3,198.09,0
34,1451.18,3,483.73,0
25,1899.08,17,111.71,1
38,1585.4,11,144.13,1
29,1113.23,7,159.03,0
35,1887.07,13,145.16,1
22,1248.06,3,416.02,0
39,5744.53,20,287.23,2
18,1451.44,4,362.86,0
28,3470.87,15,231.39,1
18,1397.1,4,349.28,0
28,575.22,3,191.74,0
46,8334.46,39,213.7,3
45,11733.66,37,317.13,3
45,5823.58,31,187.86,3
33,856.83,5,171.37,0
57,11480.25,31,370.33,3
37,5438.55,21,258.98,2
44,4586.12,13,352.78,2
37,2738.42,11,248.95,1
57,10122.29,34,297.71,3
49,8968.1,30,298.94,3
33,2578.39,7,368.34,1
33,2684.0,14,191.71,1
36,2610.57,10,261.06,1
62,11725.48,26,450.98,3
34,2314.8,12,192.9,1
48,7223.99,31,233.03,3
29,2575.92,16,160.99,1
46,3328.45,31,107.37,2
58,7806.5,37,210.99,3
40,2814.85,12,234.57,1
41,4475.78,21,213.13,2
47,5502.97,21,262.05,2
52,5743.94,36,159.55,3
26,815.51,3,271.84,0
47,5504.92,22,250.22,2
20,1440.27,5,288.05,0
35,5230.06,23,227.39,2
36,5502.49,14,393.04,2
40,1363.32,10,136.33,1
62,11054.35,38,290.9,3
23,542.05,2,271.02,0
37,1919.69,12,159.97,1
57,5942.07,30,198.07,3
25,2939.29,15,195.95,1
44,2117.78,8,264.72,1
54,4834.02,18,268.56,2
34,2785.41,13,214.26,1
25,3101.77,11,281.98,1
51,5799.45,36,161.1,3
32,887.62,7,126.8,0
44,7236.86,35,206.77,3
27,2103.28,15,140.22,1
18,618.7,3,206.23,0
31,1455.3,10,145.53,1
28,1118.81,2,559.41,0
40,4423.3,18,245.74,2
36,5049.34,27,187.01,2
43,1954.03,12,162.84,1
41,3042.26,9,338.03,1
42,5929.37,17,348.79,2
28,1131.0,3,377.0,0
39,2824.37,10,282.44,1
46,4994.22,19,262.85,2
39,2443.61,5,488.72,1
46,3847.65,17,226.33,2
39,1257.96,14,89.85,1
26,1273.01,13,97.92,1
28,1335.78,6,222.63,0
32,1411.75,5,282.35,0
60,7354.09,31,237.23,3
49,5078.76,22,230.85,2
30,1936.92,8,242.12,1
26,214.76,2,107.38,0
53,5822.25,16,363.89,2
53,3775.67,18,209.76,2
53,5464.41,18,303.58,2
30,678.12,4,169.53,0
35,1342.7,10,134.27,1
33,744.4,3,248.13,0
33,1096.38,4,274.1,0
33,2210.63,13,170.05,1
28,1377.03,14,98.36,1
25,1703.86,8,212.98,1
27,2000.27,14,142.88,1
32,1399.58,4,349.9,0
42,9849.5,34,289.69,3
26,1218.75,5,243.75,0
34,2953.63,11,268.51,1
43,10976.6,33,332.62,3
62,6822.82,42,162.45,3
42,4693.78,14,335.27,2
48,6694.78,36,185.97,3
35,4658.44,23,202.54,2
38,4219.0,27,156.26,2
53,5030.46,18,279.47,2
45,5063.31,17,297.84,2
34,701.93,4,175.48,0
51,4246.88,17,249.82,2
49,4876.95,21,232.24,2
42,2868.35,10,286.84,1
58,6129.32,39,157.16,3
60,11047.07,43,256.91,3
26,2847.54,5,569.51,1
21,295.15,5,59.03,0
50,8652.97,36,240.36,3
41,7001.37,35,200.04,3
39,1665.71,14,118.98,1
44,2069.03,10,206.9,1
18,302.15,3,100.72,0
30,2686.86,12,223.9,1
26,667.0,3,222.33,0
35,5040.75,24,210.03,2
25,1688.63,13,129.89,1
44,3399.85,22,154.54,2
40,2636.73,10,263.67,1
62,5763.81,43,134.04,3
43,8869.6,30,295.65,3
49,3084.36,18,171.35,2
62,10452.57,34,307.43,3
50,8549.65,33,259.08,3
29,338.57,3,112.86,0
43,5386.74,15,359.12,2
29,2910.98,17,171.23,1
33,1315.94,4,328.98,0
24,374.22,1,374.22,0
25,1971.35,10,197.14,1
33,378.78,2,189.39,0
47,3163.53,24,131.81,2
33,1739.94,6,289.99,1
28,2797.67,11,254.33,1
37,2907.18,14,207.66,1
33,657.11,2,328.55,0
30,287.56,4,71.89,0
33,1705.16,3,568.39,1
54,4555.1,13,350.39,2
33,1291.57,9,143.51,1
42,3455.7,14,246.84,1
47,3926.75,18,218.15,2
29,294.59,3,98.2,0
27,1460.09,6,243.35,0
44,2444.56,9,271.62,1
32,490.67,2,245.34,0
40,2602.3,16,162.64,1
57,6775.52,38,178.3,3
36,5917.38,20,295.87,2
56,11282.97,34,331.85,3
44,8661.88,37,234.1,3
38,3305.64,26,127.14,2
26,2099.38,13,161.49,1
42,1651.48,13,127.04,1
60,8869.11,34,260.86,3
44,9230.84,37,249.48,3
30,1336.91,10,133.69,1
26,970.13,5,194.03,0
34,1895.56,11,172.32,1
36,3073.08,9,341.45,1
26,970.14,1,970.14,0
34,1221.46,12,101.79,1
52,4381.07,11,398.28,2
25,1494.09,4,373.52,1
57,11161.29,33,338.22,3
62,7746.53,37,209.37,3
62,11631.52,35,332.33,3
26,1097.51,1,1097.51,0
41,1844.77,10,184.48,1
45,4693.25,21,223.49,2
24,1013.62,4,253.4,0
33,919.94,4,229.99,0
53,11544.16,35,329.83,3
20,875.71,4,218.93,0
19,1027.36,2,513.68,0
34,852.85,2,426.43,0
53,11636.27,33,352.61,3
42,2357.09,13,181.31,1
29,1408.19,5,281.64,0
43,4551.82,22,206.9,2
34,728.98,7,104.14,0
56,9028.71,41,220.21,3
26,910.72,8,113.84,0
38,2047.2,6,341.2,1
42,3317.42,21,157.97,2
29,1767.19,13,135.94,1
61,6077.03,41,148.22,3
26,3443.29,9,382.59,1
64,9450.46,34,277.95,3
29,431.45,4,107.86,0
29,3197.34,8,399.67,1
61,10195.43,26,392.13,3
40,2403.82,8,300.48,1
29,586.55,9,65.17,0
48,9443.48,44,214.62,3
47,9307.56,36,258.54,3
35,2969.72,13,228.44,1
52,7823.84,31,252.38,3
23,326.97,3,108.99,0
43,3140.92,9,348.99,1
39,5127.89,23,222.95,2
29,3472.48,8,434.06,1
40,2528.46,16,158.03,1
43,3988.14,22,181.28,2
39,4917.61,17,289.27,2
21,209.83,5,41.97,0
43,4128.57,18,229.37,2
53,4540.55,29,156.57,2
64,9837.78,23,427.73,3
44,8774.18,40,219.35,3
26,1331.16,9,147.91,1
50,4451.63,14,317.97,2
48,4986.7,23,216.81,2
61,9874.55,39,253.19,3
51,6757.41,30,225.25,3
39,2432.01,14,173.72,1
34,2584.16,10,258.42,1
44,10750.9,38,282.92,3
27,1134.96,5,226.99,0
53,11576.34,32,361.76,3
32,1209.58,5,241.92,0
19,1210.29,4,302.57,0
31,789.28,5,157.86,0
27,1885.35,6,314.22,1
53,3469.09,23,150.83,2
38,2033.75,11,184.89,1
32,365.74,3,121.91,0
43,5125.75,23,222.86,2
44,1297.57,11,117.96,1
58,6487.87,28,231.71,3
25,2101.39,12,175.12,1
51,4932.64,14,352.33,2
33,3114.44,12,259.54,1
52,4584.57,20,229.23,2
30,3343.03,10,334.3,1
40,3056.46,6,509.41,1
24,1435.93,4,358.98,0
32,1982.89,12,165.24,1
50,7863.47,30,262.12,3
33,1746.2,8,218.28,1
37,3815.15,24,158.96,2
38,5050.29,21,240.49,2
29,553.79,3,184.6,0
42,1759.81,14,125.7,1
30,946.82,4,236.7,0
40,6941.57,39,177.99,3
33,1464.84,14,104.63,1
34,1294.75,4,323.69,0
41,7900.99,35,225.74,3
18,1331.13,1,1331.13,0
50,11573.67,24,482.24,3
53,5871.14,28,209.68,3
29,1250.2,5,250.04,0
30,1244.53,3,414.84,0
22,1167.13,1,1167.13,0
40,3251.79,12,270.98,1
46,5926.4,38,155.96,3
41,2256.25,8,282.03,1
63,6844.67,33,207.41,3
33,1568.52,9,174.28,1
45,4430.95,19,233.21,2
54,10189.42,35,291.13,3
37,2127.38,16,132.96,1
30,3294.77,12,274.56,1
59,8714.88,42,207.5,3
20,1370.02,5,274.0,0
26,1481.35,4,370.34,0
42,2526.83,9,280.76,1
22,368.37,7,52.62,0
64,9670.27,42,230.24,3
22,973.6,2,486.8,0
59,6351.6,36,176.43,3
33,377.86,4,94.47,0
30,1701.15,11,154.65,1
51,7753.67,39,198.81,3
41,3800.38,20,190.02,2
34,2137.82,10,213.78,1
33,318.67,6,53.11,0
60,11070.69,34,325.61,3
43,3310.59,11,300.96,1
34,435.27,5,87.05,0
20,1091.23,3,363.74,0
50,9153.72,42,217.95,3
27,1191.2,4,297.8,0
41,5971.74,41,145.65,3
41,3375.75,22,153.44,2
42,9134.39,35,260.98,3
18,223.24,5,44.65,0
24,544.76,6,90.79,0
22,1127.35,4,281.84,0
49,4976.71,22,226.21,2
29,3366.73,7,480.96,1
43,4513.91,22,205.18,2
51,8316.13,40,207.9,3
57,10628.76,33,322.08,3
31,2188.9,12,182.41,1
36,2056.0,9,228.44,1
23,1425.78,4,356.45,0
41,5964.37,20,298.22,2
38,4153.55,18,230.75,2
53,3439.84,22,156.36,2
44,8293.9,32,259.18,3
42,2231.13,11,202.83,1
44,3921.26,20,196.06,2
56,10595.82,33,321.09,3
27,2386.48,8,298.31,1
39,2095.23,16,130.95,1
28,1436.82,5,287.36,0
47,3591.55,14,256.54,2
62,6140.55,31,198.08,3
25,3050.34,13,234.64,1
37,3456.71,16,216.04,1
35,4718.31,24,196.6,2
29,1402.82,4,350.71,0
28,608.66,4,152.17,0
54,11231.11,45,249.58,3
51,5373.93,16,335.87,2
40,3364.28,13,258.79,1
28,1025.62,1,1025.62,0
19,1362.45,3,454.15,0
54,6729.0,43,156.49,3
24,398.14,7,56.88,0
40,3730.4,19,196.34,2
41,1877.62,11,170.69,1
46,5603.17,19,294.9,2
47,8053.45,30,268.45,3
42,3763.99,20,188.2,2
36,3337.19,11,303.38,2
50,3397.41,20,169.87,2
42,3110.43,12,259.2,1
38,4012.43,21,191.07,2
36,3821.0,22,173.68,2
37,2578.39,9,286.49,1
30,3056.02,9,339.56,1
54,3862.53,20,193.13,2
48,8363.92,41,204.0,3
50,11340.88,42,270.02,3
39,1930.45,3,643.48,1
41,2471.23,11,224.66,1
22,627.26,5,125.45,0
41,8725.92,36,242.39,3
45,4684.78,16,292.8,2
25,2721.95,9,302.44,1
51,7671.68,35,219.19,3
37,5512.42,17,324.26,2
19,398.72,2,199.36,0
44,1460.6,11,132.78,1
47,3589.46,16,224.34,2
36,5178.25,15,345.22,2
18,689.4,5,137.88,0
49,7927.39,33,240.22,3
37,2716.86,10,271.69,1
53,4662.3,16,291.39,2
42,8933.16,28,319.04,3
47,11750.47,32,367.2,3
32,663.78,3,221.26,0
28,2499.7,6,416.62,1
41,4343.91,17,255.52,2
30,1656.88,10,165.69,1
26,949.98,4,237.49,0
24,575.3,4,143.83,0
40,1433.16,9,159.24,1
41,1984.86,12,165.41,1
28,787.3,5,157.46,0
39,3716.99,17,218.65,2
44,3128.53,13,240.66,1
41,4473.06,18,248.5,2
36,1376.54,8,172.07,1
59,11902.04,46,258.74,3
40,4349.83,22,197.72,2
36,3147.88,19,165.68,2
40,6833.72,35,195.25,3
56,8213.41,39,210.6,3
45,11236.22,35,321.03,3
56,10067.09,47,214.19,3
30,1442.18,1,1442.18,0
38,1360.17,12,113.35,1
23,622.74,5,124.55,0
64,9013.59,34,265.11,3
42,2490.81,10,249.08,1
48,4870.14,21,231.91,2
43,11562.21,33,350.37,3
45,3022.39,19,159.07,2
29,1240.76,2,620.38,0
29,641.84,2,320.92,0
28,512.19,2,256.09,0
35,2073.95,8,259.24,1
21,755.24,3,251.75,0
25,2685.39,10,268.54,1
46,5609.09,26,215.73,2
47,11318.05,34,332.88,3
47,10630.39,35,303.73,3
41,5798.6,27,214.76,2
42,11411.38,30,380.38,3
34,1892.91,13,145.61,1
31,1774.9,16,110.93,1
53,9655.94,32,301.75,3
29,1318.16,2,659.08,0
33,1094.25,2,547.13,0
48,11580.9,43,269.32,3
44,9500.29,34,279.42,3
19,1073.05,7,153.29,0
57,11939.18,31,385.13,3
31,566.41,4,141.6,0
42,3244.42,19,170.76,2
24,425.58,6,70.93,0
39,3401.33,29,117.29,2
33,259.08,6,43.18,0
39,2884.52,6,480.75,1
53,5402.45,19,284.34,2
19,516.12,6,86.02,0
26,274.83,5,54.97,0
42,11535.3,36,320.43,3
32,3214.58,9,357.18,1
34,2847.71,10,284.77,1
41,3182.72,22,144.67,2
34,501.17,5,100.23,0
30,951.9,2,475.95,0
34,535.57,4,133.89,0
36,1881.62,11,171.06,1
64,5646.7,28,201.67,3
27,3175.96,14,226.85,1
34,1325.16,3,441.72,0
35,4337.48,14,309.82,2
41,8927.52,33,270.53,3
38,3706.15,20,185.31,2
44,2749.83,15,183.32,1
41,3552.13,23,154.44,2
43,4812.91,21,229.19,2
50,11555.04,27,427.96,3
37,4231.5,27,156.72,2
20,413.55,6,68.92,0
26,733.52,3,244.51,0
41,1592.63,9,176.96,1
36,4763.4,24,198.47,2
48,6233.46,42,148.42,3
28,745.48,4,186.37,0
43,5859.36,20,292.97,2
37,3280.68,17,192.98,2
60,7101.26,25,284.05,3
51,4673.07,20,233.65,2
56,5921.85,34,174.17,3
53,10967.13,32,342.72,3
31,1016.27,4,254.07,0
54,3627.29,15,241.82,2
41,2611.29,8,326.41,1
19,230.73,4,57.68,0
45,4251.49,25,170.06,2
28,1487.07,4,371.77,0
41,3396.64,6,566.11,1
43,4788.13,14,342.01,2
21,1088.24,3,362.75,0
18,419.62,2,209.81,0
20,579.79,4,144.95,0
43,5531.98,17,325.41,2
43,6566.41,32,205.2,3
26,1200.99,3,400.33,0
27,533.53,5,106.71,0
55,9177.36,31,296.04,3
32,2267.75,9,251.97,1
61,9619.59,31,310.31,3
42,4911.91,13,377.84,2
38,4479.09,13,344.55,2
41,5924.71,19,311.83,2
38,2958.06,7,422.58,1
26,1750.87,11,159.17,1
53,5075.78,15,338.39,2
32,2149.03,8,268.63,1
21,1320.32,5,264.06,0
30,1419.84,2,709.92,0
58,7681.46,39,196.96,3
27,2378.5,8,297.31,1
38,4043.47,21,192.55,2
47,4285.06,26,164.81,2
25,905.44,3,301.81,0
54,5735.46,19,301.87,2
45,3388.14,18,188.23,2
25,2170.68,8,271.33,1
43,8356.52,35,238.76,3
25,491.99,3,164.0,0
40,1602.78,9,178.09,1
52,4370.66,20,218.53,2
32,2102.65,14,150.19,1
56,8235.83,40,205.9,3
61,9105.03,31,293.71,3
26,1849.03,11,168.09,1
30,497.44,2,248.72,0
46,5603.94,21,266.85,2
22,321.03,6,53.51,0
40,5411.08,20,270.55,2
29,2930.68,9,325.63,1
40,5624.3,15,374.95,2
44,8861.27,43,206.08,3
43,3055.4,13,235.03,1
35,5881.1,11,534.65,2
29,2217.93,14,158.42,1
41,3279.05,15,218.6,2
41,5683.24,31,183.33,3
40,3832.57,27,141.95,2
19,1062.55,1,1062.55,0
21,1483.97,2,741.98,0
18,600.31,5,120.06,0
38,5370.25,21,255.73,2
52,7018.56,34,206.43,3
45,8379.76,37,226.48,3
43,5389.17,21,256.63,2
54,6522.03,38,171.63,3
41,1954.81,9,217.2,1
22,1365.24,1,1365.24,0
53,4163.92,24,173.5,2
49,3845.48,16,240.34,2
51,4399.12,18,244.4,2
18,375.72,6,62.62,0
53,3168.67,20,158.43,2
52,6108.77,39,156.64,3
42,3277.35,19,172.49,2
42,4120.06,22,187.28,2
35,3444.29,11,313.12,1
56,7707.79,38,202.84,3
44,3230.91,22,146.86,2
46,3632.29,17,213.66,2
18,340.26,1,340.26,0
31,770.88,4,192.72,0
38,3415.81,12,284.65,1
32,874.81,2,437.4,0
41,10407.06,47,221.43,3
44,9271.49,43,215.62,3
34,1348.92,5,269.78,0
21,570.62,3,190.21,0
58,5554.31,29,191.53,3
52,4050.56,18,225.03,2
42,4851.58,21,231.03,2
23,901.34,6,150.22,0
37,2716.51,12,226.38,1
41,2313.25,8,289.16,1
39,3483.48,11,316.68,1
49,11699.07,37,316.19,3
41,10879.28,34,319.98,3
48,3617.65,18,200.98,2
52,9838.2,34,289.36,3
33,1529.55,13,117.66,1
30,3048.01,14,217.72,1
20,923.84,4,230.96,0
32,3043.33,12,253.61,1
24,967.38,4,241.85,0
60,7317.88,30,243.93,3
30,844.14,5,168.83,0
30,1189.02,5,237.8,0
42,3481.51,9,386.83,1
26,1237.78,6,206.3,0
29,400.06,3,133.35,0
26,1611.77,13,123.98,1
30,1264.06,10,126.41,1
58,7963.21,32,248.85,3
62,8489.62,37,229.45,3
37,4869.41,18,270.52,2
42,7692.83,40,192.32,3
41,3351.61,8,418.95,1
42,8301.39,36,230.59,3
31,694.81,6,115.8,0
43,11659.55,35,333.13,3
46,4477.1,16,279.82,2
60,11787.63,31,380.25,3
33,911.87,6,151.98,0
22,247.95,3,82.65,0
26,1395.21,6,232.53,0
56,9492.1,32,296.63,3
35,2147.5,10,214.75,1
64,6584.39,31,212.4,3
34,3456.27,13,265.87,1
29,293.86,1,293.86,0
20,1368.12,2,684.06,0
54,3164.9,21,150.71,2
41,5873.91,16,367.12,2
56,6721.37,37,181.66,3
27,2983.3,8,372.91,1
41,1857.13,12,154.76,1
47,4050.02,27,150.0,2
45,7535.68,30,251.19,3
52,5899.87,19,310.52,2
26,494.44,4,123.61,0
51,9393.57,26,361.29,3
49,5508.35,28,196.73,3
24,684.5,4,171.12,0
41,6413.24,37,173.33,3
63,7099.0,35,202.83,3
52,9712.66,37,262.5,3
36,2114.67,11,192.24,1
49,6794.52,34,199.84,3
48,10757.58,32,336.17,3
