temperature,pressure,vibration,humidity,speed,quality
83.9,97.83,24.62,41.1,1512.5,0
77.5,99.0,25.8,53.59,1591.43,0
81.08,93.63,25.36,56.4,1531.67,0
80.19,108.64,24.64,48.81,1681.21,0
83.91,114.66,24.84,54.69,1606.66,0
82.8,107.86,18.37,50.8,1553.23,0
82.11,101.75,22.74,52.35,1579.03,0
77.03,104.49,24.89,48.35,1683.54,0
87.87,106.87,29.31,47.21,1601.44,0
67.56,112.37,25.01,55.55,1403.16,0
80.31,106.15,22.32,51.52,1731.58,0
73.2,96.12,21.02,48.41,1521.61,0
79.61,104.17,27.07,46.64,1561.98,0
79.96,105.06,27.02,46.73,1613.33,0
78.56,100.02,30.22,46.24,1608.94,0
97.97,112.9,29.79,45.56,1622.51,1
82.67,117.59,27.87,51.42,1703.76,0
74.64,103.13,22.27,47.43,1505.52,0
79.54,109.29,27.83,47.44,1586.05,0
80.69,103.37,25.13,49.79,1539.25,0
82.9,103.13,28.68,54.05,1537.07,0
75.05,105.83,22.72,47.65,1499.88,0
73.78,100.73,23.82,52.69,1604.97,0
75.8,114.2,22.84,46.46,1637.26,0
81.01,114.3,24.6,46.4,1578.3,0
80.21,107.99,24.77,51.39,1544.59,0
71.62,126.27,24.61,51.92,1608.42,0
76.59,105.85,32.67,54.01,1552.57,0
84.72,125.64,33.85,49.79,1654.95,1
76.51,103.57,25.47,51.07,1576.73,0
80.54,112.81,30.06,53.86,1536.95,0
74.54,114.03,24.69,43.27,1593.38,0
89.71,100.92,24.67,46.59,1550.09,0
82.98,102.85,26.18,46.47,1592.0,0
76.69,111.09,24.82,48.92,1617.47,0
78.81,102.82,23.56,47.21,1588.44,0
80.99,110.64,22.34,45.55,1643.87,0
77.91,111.78,23.62,51.71,1609.47,0
77.78,109.29,25.38,52.39,1568.05,0
77.07,99.95,24.09,53.51,1625.88,0
79.96,107.28,27.17,51.34,1581.7,0
87.2,105.07,31.48,50.04,1580.1,0
80.08,96.0,23.33,49.68,1561.22,0
81.75,112.66,29.76,49.45,1532.32,0
71.63,115.39,27.12,48.04,1614.38,0
78.8,111.51,25.42,48.69,1494.64,0
82.28,95.27,26.88,49.99,1641.77,0
84.87,103.69,25.6,50.75,1648.97,0
70.72,102.21,26.6,49.91,1482.79,0
79.81,90.85,19.18,44.1,1625.13,0
76.56,105.57,23.44,47.3,1613.65,0
84.78,108.96,28.38,47.77,1651.48,0
78.57,95.57,26.52,47.56,1650.04,0
79.55,96.6,20.09,57.05,1662.02,0
78.4,97.6,26.8,49.47,1514.66,0
80.57,110.55,27.04,48.21,1516.98,0
83.61,109.35,20.69,43.83,1496.1,0
75.72,98.2,23.15,53.51,1660.65,0
80.15,121.26,23.29,42.07,1608.24,0
79.56,109.77,21.55,45.61,1487.63,0
82.37,104.88,28.47,42.73,1548.59,0
76.5,76.65,28.24,51.7,1623.45,1
84.47,113.84,28.99,51.51,1647.85,0
76.01,102.53,25.23,54.11,1585.27,0
89.1,106.33,24.26,48.51,1614.47,0
82.0,108.01,26.15,47.34,1539.74,0
76.88,93.91,19.28,51.69,1664.67,0
74.78,105.34,24.28,48.76,1602.62,0
85.52,106.81,26.05,52.73,1627.42,0
82.74,99.87,23.07,45.21,1557.8,0
73.38,98.74,24.86,45.01,1521.61,0
80.04,98.13,26.75,51.9,1575.57,0
78.14,111.58,24.4,55.68,1510.45,0
77.81,108.3,30.21,53.1,1518.3,0
82.8,98.19,28.38,45.87,1604.43,0
78.23,111.84,20.67,52.98,1605.88,0
81.56,101.76,27.22,52.04,1541.25,0
87.01,108.71,23.13,58.3,1535.11,0
79.89,102.73,24.11,45.11,1631.71,0
80.8,105.64,26.16,53.53,1623.15,0
81.74,105.79,27.26,50.18,1543.61,0
85.96,105.37,24.98,45.33,1522.83,0
80.68,92.0,26.42,49.91,1531.22,0
71.74,115.56,18.38,55.98,1602.37,0
81.31,98.1,32.92,37.34,1616.81,1
77.36,106.18,29.42,53.98,1587.53,0
83.29,113.97,24.24,49.12,1623.92,0
78.52,96.47,27.95,48.22,1681.24,0
79.47,106.45,20.61,51.64,1467.65,0
79.37,93.24,32.17,50.69,1581.15,0
78.53,115.47,27.25,50.47,1621.35,0
78.72,109.4,24.79,48.92,1564.63,0
85.18,100.1,28.2,50.58,1641.93,0
76.36,107.96,28.46,50.69,1572.5,0
72.9,110.42,28.0,45.51,1598.87,0
73.75,96.1,22.02,44.48,1560.23,0
75.34,104.38,23.74,49.38,1494.79,0
81.68,105.22,27.54,46.68,1643.42,0
83.42,98.72,20.87,45.58,1603.04,0
80.08,108.76,19.14,38.95,1563.41,0
85.26,114.57,20.9,49.03,1546.18,0
80.89,70.59,23.57,53.21,1681.94,1
80.62,107.0,27.45,51.08,1536.06,0
71.94,96.74,24.28,55.19,1676.16,0
69.47,110.33,20.27,55.28,1668.09,0
82.72,96.56,27.27,51.26,1670.93,0
71.83,105.56,26.73,53.01,1568.69,0
83.31,113.03,30.88,52.55,1554.67,0
76.1,104.06,21.44,43.57,1577.09,0
79.12,116.29,28.14,54.21,1525.8,0
78.85,101.4,24.03,47.46,1566.36,0
80.14,108.9,26.23,55.98,1457.46,0
75.98,81.98,31.15,55.04,1619.21,1
74.04,94.9,20.29,48.52,1571.04,0
74.23,103.28,23.63,44.38,1656.27,0
87.11,104.42,21.74,47.09,1655.76,0
73.91,105.71,23.35,46.93,1491.77,0
76.47,94.29,29.24,51.33,1542.94,0
78.9,99.51,29.92,48.18,1583.21,0
75.56,103.62,27.54,54.61,1664.64,0
78.43,101.62,27.84,47.33,1558.25,0
67.17,103.6,24.56,51.74,1599.4,0
82.27,108.6,28.39,51.78,1495.35,0
75.91,109.23,24.84,49.16,1532.45,0
77.85,85.02,30.2,39.76,1612.47,1
77.59,111.29,25.9,50.48,1675.3,0
78.83,86.25,27.46,56.15,1630.75,0
81.11,87.14,25.27,50.23,1643.69,0
89.47,110.65,26.49,46.19,1531.01,0
76.6,97.33,22.35,53.8,1570.0,0
82.91,103.42,23.72,54.09,1527.87,0
84.8,107.22,28.56,48.04,1503.94,0
82.35,107.68,28.88,47.71,1564.51,0
81.05,89.1,23.1,50.72,1563.65,0
79.61,110.35,24.54,49.65,1579.72,0
71.76,107.64,19.05,55.94,1606.48,0
81.67,104.02,24.64,49.95,1531.86,0
81.04,100.67,23.15,51.11,1503.57,0
81.1,110.14,25.57,53.24,1601.39,0
83.65,99.2,20.78,44.81,1593.18,0
73.9,109.05,27.01,52.33,1451.74,0
85.09,109.89,29.76,51.87,1493.95,0
78.05,100.18,28.96,48.97,1433.42,0
73.75,105.97,25.07,55.1,1477.76,0
79.65,93.02,26.95,44.53,1535.24,0
83.7,101.55,23.63,50.2,1647.66,0
87.04,102.81,20.69,49.98,1554.52,0
75.2,110.79,30.7,48.91,1626.36,0
83.78,102.83,22.3,47.31,1546.33,0
86.87,79.02,27.77,46.4,1536.65,1
85.63,96.73,26.9,59.93,1476.4,0
73.41,113.82,25.54,52.9,1606.6,0
76.35,109.15,19.55,45.54,1603.28,0
71.22,114.54,26.87,53.02,1573.64,0
79.27,108.72,25.28,52.06,1609.08,0
74.02,102.21,24.1,55.45,1535.2,0
75.07,104.11,27.55,46.56,1570.85,0
77.48,101.3,26.81,48.01,1508.37,0
72.34,98.08,24.41,42.93,1504.55,0
78.74,111.74,24.38,58.25,1693.33,0
71.74,99.54,18.22,47.73,1625.39,0
72.0,111.06,27.47,53.37,1671.78,0
83.89,110.61,25.66,51.78,1537.88,0
83.35,100.55,29.35,46.09,1561.37,0
84.95,113.19,23.37,47.17,1613.58,0
71.41,95.04,22.9,48.02,1606.9,0
81.18,108.42,22.6,45.46,1601.94,0
80.53,114.63,24.31,50.99,1605.0,0
77.61,109.97,19.92,52.2,1555.69,0
78.83,103.63,26.42,45.36,1542.21,0
80.88,104.25,29.12,53.72,1596.32,0
80.98,110.53,23.12,53.12,1582.79,0
70.71,108.44,20.14,47.36,1641.22,0
79.22,96.31,26.85,49.88,1593.32,0
81.48,117.37,28.64,46.36,1623.84,0
77.64,105.8,27.66,45.3,1487.91,0
75.58,112.39,23.6,48.1,1528.26,0
80.23,101.06,19.21,51.62,1656.19,0
79.85,94.5,19.45,50.57,1451.32,0
80.44,98.89,24.37,46.49,1571.5,0
83.56,101.12,24.71,53.86,1552.3,0
82.55,113.33,25.72,52.37,1585.65,0
81.28,99.72,27.41,46.6,1654.97,0
79.4,109.0,30.96,54.59,1496.95,0
74.39,108.8,25.52,52.67,1503.88,0
77.54,104.29,28.56,42.64,1493.7,0
78.01,98.99,24.8,46.5,1581.66,0
78.72,119.52,25.45,39.35,1588.64,0
78.79,99.03,18.45,46.49,1599.19,0
65.96,113.55,23.5,45.15,1594.79,0
81.97,91.94,24.63,50.44,1591.76,0
73.26,105.94,24.78,44.04,1610.1,0
82.99,112.32,25.12,55.08,1512.14,0
87.26,105.12,26.72,50.22,1601.3,0
76.69,100.08,22.85,47.32,1459.62,0
76.66,105.77,24.97,51.28,1596.02,0
78.88,114.85,27.45,51.38,1574.06,0
86.96,100.49,23.81,44.4,1632.34,0
83.31,100.45,23.32,46.5,1678.82,0
76.4,109.8,23.02,52.86,1563.89,0
74.52,112.92,24.24,53.51,1509.42,0
76.32,103.44,26.96,44.72,1595.35,0
83.51,102.29,23.13,48.21,1505.6,0
88.13,127.97,31.34,50.51,1501.63,1
81.06,91.61,27.37,54.51,1533.99,0
76.44,112.82,26.7,45.5,1720.61,0
82.07,107.29,22.75,46.77,1511.43,0
85.76,132.78,25.2,49.19,1622.92,1
78.84,97.94,24.59,46.37,1430.6,0
83.52,96.86,25.41,52.38,1596.37,0
84.57,96.12,26.32,46.04,1483.11,0
78.48,111.41,20.23,51.44,1511.69,0
79.12,114.09,28.39,53.37,1551.07,0
84.47,101.96,27.47,48.49,1731.19,0
76.27,108.73,23.7,51.18,1569.72,0
71.15,101.16,26.73,54.75,1650.72,0
72.78,96.13,23.49,44.02,1511.2,0
80.69,119.89,24.48,50.35,1727.93,0
79.5,101.61,23.85,52.39,1606.37,0
78.97,99.26,25.42,48.68,1606.02,0
78.07,108.44,29.04,49.99,1544.96,0
77.01,128.05,32.45,50.23,1628.43,1
79.26,92.42,29.69,48.31,1602.64,0
72.3,120.36,22.0,49.2,1582.54,0
81.11,103.2,26.65,53.38,1553.38,0
83.55,127.05,28.03,39.77,1578.0,1
72.69,106.82,28.77,41.65,1530.52,0
76.29,112.32,25.8,54.83,1614.66,0
80.45,117.6,23.23,47.24,1722.41,0
73.32,108.28,22.87,52.33,1502.5,0
72.81,112.74,26.48,46.46,1502.82,0
80.46,97.65,23.86,47.21,1671.93,0
84.84,109.04,26.12,52.31,1572.78,0
81.92,101.77,26.54,53.47,1554.35,0
85.02,100.57,25.58,46.03,1618.23,0
86.51,108.87,24.03,46.66,1550.57,0
89.58,96.65,23.02,50.73,1706.01,0
80.59,102.72,27.02,49.06,1586.33,0
81.27,109.92,26.56,52.64,1597.21,0
81.53,106.9,25.35,48.83,1691.23,0
85.22,101.52,24.05,53.95,1624.08,0
83.16,97.91,26.64,51.99,1517.73,0
90.12,85.6,25.02,39.51,1656.52,1
83.94,96.29,25.31,48.96,1604.65,0
75.97,100.22,22.16,46.6,1573.79,0
76.33,105.24,28.61,50.17,1597.53,0
82.07,97.02,30.69,51.13,1595.75,0
87.33,98.85,26.23,47.44,1466.13,0
84.46,99.57,33.22,48.89,1510.18,0
73.14,103.26,29.27,54.42,1650.83,0
74.38,105.32,27.81,47.47,1586.66,0
74.51,104.1,23.48,46.26,1634.27,0
86.45,103.52,24.15,50.13,1555.0,0
83.6,116.5,27.74,57.46,1580.81,0
80.51,108.65,26.94,45.13,1623.13,0
87.8,102.48,25.63,51.52,1555.67,0
86.48,99.76,24.31,48.89,1556.36,0
77.98,114.43,25.87,46.58,1599.17,0
81.9,100.62,24.92,48.61,1624.69,0
73.97,100.85,19.72,53.53,1596.1,0
78.94,104.08,22.16,44.19,1572.91,0
79.14,120.24,25.18,48.79,1639.95,0
83.49,107.33,22.16,51.64,1633.56,0
77.95,105.61,24.74,44.8,1525.86,0
83.79,103.63,26.59,48.0,1684.07,0
86.39,103.51,22.4,50.13,1547.87,0
82.31,106.67,29.13,54.73,1559.77,0
70.49,102.71,22.19,51.48,1467.93,0
80.48,97.02,24.2,45.69,1525.38,0
83.26,106.43,25.61,42.05,1583.17,0
77.23,111.84,27.0,42.7,1660.97,0
88.19,111.54,22.11,52.53,1556.25,0
76.85,109.24,20.25,49.36,1578.66,0
83.12,95.84,21.84,56.84,1557.2,0
85.03,102.33,26.47,45.69,1619.06,0
87.37,97.0,26.68,50.07,1521.52,0
84.62,114.37,21.88,43.23,1536.4,0
76.67,101.78,22.84,55.02,1638.84,0
82.26,108.42,29.71,53.45,1496.75,0
83.8,108.06,18.82,50.85,1605.33,0
81.81,101.56,26.04,47.85,1617.44,0
70.23,84.77,26.64,60.48,1532.03,1
83.94,104.48,31.05,54.3,1647.44,0
80.43,112.09,25.98,49.81,1614.34,0
81.61,102.64,26.32,49.6,1585.27,0
80.13,102.24,28.74,53.57,1657.54,0
77.45,95.81,24.45,47.06,1516.31,0
72.65,100.74,21.62,58.1,1565.56,0
87.69,102.89,30.08,55.18,1584.28,0
86.52,97.62,24.85,50.09,1587.43,0
80.14,115.9,22.05,56.84,1523.82,0
87.67,127.65,30.15,49.25,1664.22,1
75.1,109.5,21.78,44.48,1592.23,0
77.36,107.16,23.83,54.68,1470.57,0
77.0,94.56,25.89,44.57,1575.36,0
78.02,116.0,25.64,51.59,1615.3,0
76.97,106.1,23.99,51.66,1434.72,0
81.42,99.75,18.96,47.69,1595.12,0
84.86,102.76,29.76,49.0,1592.75,0
81.89,96.91,28.01,53.74,1521.57,0
75.88,108.01,30.34,58.78,1561.82,0
81.41,100.17,31.08,50.91,1548.09,0
89.7,115.33,22.73,49.21,1525.94,0
78.23,102.8,27.69,45.59,1583.33,0
74.54,96.28,28.59,52.58,1644.07,0
86.98,112.51,22.3,50.65,1724.78,0
79.16,112.57,25.86,52.01,1546.93,0
82.27,108.26,26.82,48.53,1594.7,0
84.18,107.48,18.73,56.94,1627.44,0
89.81,103.46,27.07,57.37,1626.99,0
81.92,105.53,27.11,42.6,1519.57,0
84.76,108.68,26.02,49.54,1581.92,0
77.53,112.13,20.49,47.45,1532.08,0
87.78,88.09,22.74,57.9,1626.03,0
74.66,103.58,24.61,52.72,1629.48,0
82.55,101.94,32.52,44.56,1589.2,0
80.06,131.15,27.68,39.95,1719.32,1
76.73,101.23,23.91,51.5,1537.51,0
80.05,118.41,22.97,44.86,1399.22,0
89.49,109.7,25.56,51.32,1542.31,0
91.62,95.77,24.06,54.23,1570.13,0
78.35,107.3,25.44,54.26,1617.73,0
79.26,98.93,24.69,49.06,1595.86,0
83.95,112.5,24.87,48.74,1547.77,0
97.97,98.26,30.58,55.14,1491.96,1
76.17,102.82,27.51,48.93,1575.9,0
80.17,104.67,23.77,51.59,1625.33,0
85.1,102.7,29.01,47.78,1500.57,0
76.62,114.47,21.93,51.94,1649.79,0
85.72,107.65,27.86,50.26,1646.02,0
79.34,107.17,24.66,52.52,1626.3,0
74.95,103.24,23.15,46.22,1545.9,0
85.23,98.84,22.41,46.2,1553.84,0
80.89,110.39,25.87,45.74,1558.88,0
87.14,111.18,28.01,48.53,1623.51,0
71.46,109.95,25.75,49.95,1642.53,0
76.91,100.77,22.87,50.66,1572.32,0
87.87,104.67,30.66,47.08,1522.39,0
80.29,99.48,25.09,53.49,1529.72,0
74.53,110.23,30.73,50.55,1580.3,0
76.41,113.6,21.07,48.31,1634.49,0
73.13,109.97,24.57,50.73,1568.48,0
75.28,107.39,23.57,45.68,1618.29,0
86.24,114.16,23.81,48.72,1650.26,0
80.73,106.12,17.88,50.64,1576.36,0
94.93,105.53,29.12,44.91,1549.13,0
81.73,97.3,25.66,49.53,1689.63,0
80.46,108.9,29.77,40.8,1581.98,0
73.3,96.08,26.57,50.32,1575.09,0
83.25,106.87,19.35,51.75,1555.09,0
79.59,108.35,26.73,47.51,1598.52,0
79.52,102.41,26.98,53.08,1655.39,0
77.26,111.63,20.96,46.36,1644.86,0
72.87,106.86,27.21,53.17,1642.89,0
74.57,105.56,24.52,53.43,1603.01,0
83.0,104.44,24.45,54.37,1522.63,0
77.36,111.65,26.47,43.14,1519.55,0
68.55,116.95,25.11,46.94,1639.68,0
84.44,104.22,22.46,46.99,1557.06,0
76.46,103.19,23.35,47.49,1591.79,0
80.2,93.48,26.47,44.06,1574.33,0
72.51,111.61,26.45,55.36,1550.25,0
78.74,107.19,33.89,47.36,1557.51,0
71.73,101.42,26.32,57.35,1524.13,0
80.57,113.11,22.54,50.1,1648.75,0
87.2,109.43,27.73,50.2,1520.38,0
82.02,99.39,21.42,53.7,1666.24,0
79.03,90.7,22.25,50.17,1666.16,0
83.29,104.14,26.67,43.75,1613.48,0
80.33,96.17,24.01,55.78,1609.48,0
82.3,117.48,26.32,49.63,1655.47,0
87.23,91.99,23.97,56.65,1658.01,0
77.22,107.38,25.15,48.02,1670.13,0
76.43,77.72,23.51,42.38,1554.7,1
75.97,99.06,20.15,43.74,1600.56,0
81.68,108.19,21.9,55.12,1691.21,0
78.68,106.84,22.01,53.15,1561.2,0
87.69,106.63,27.08,48.31,1636.58,0
80.03,107.68,22.46,51.2,1589.19,0
77.9,103.39,24.47,52.78,1450.67,0
83.76,84.83,29.98,61.53,1594.96,1
84.27,116.31,19.4,52.78,1505.27,0
80.07,105.89,29.37,50.86,1626.93,0
75.26,111.99,23.65,45.17,1479.03,0
79.23,92.2,20.95,52.05,1600.07,0
80.75,108.54,24.76,51.0,1602.13,0
83.66,104.27,28.63,49.4,1544.18,0
85.3,120.08,24.32,45.88,1520.98,0
84.9,108.19,27.54,48.42,1463.59,0
79.6,101.47,25.16,56.09,1651.6,0
79.42,101.84,30.53,45.17,1564.72,0
81.52,110.44,22.62,51.68,1621.08,0
81.86,97.18,21.5,46.89,1525.46,0
80.58,99.52,27.4,50.08,1654.5,0
79.28,103.69,20.74,51.37,1508.77,0
87.32,106.51,26.31,47.78,1595.49,0
78.12,98.17,25.49,50.03,1639.51,0
78.41,133.35,26.5,50.42,1547.82,1
72.86,101.68,28.68,47.15,1582.15,0
79.57,100.14,24.74,48.6,1480.91,0
82.74,105.26,22.83,52.64,1577.31,0
70.34,102.71,24.17,49.6,1557.86,0
77.37,114.22,18.93,50.49,1556.33,0
73.23,104.96,25.12,47.38,1632.93,0
82.02,100.61,28.88,50.22,1612.78,0
82.25,117.39,25.35,53.88,1605.75,0
64.55,107.12,17.9,39.5,1541.76,1
77.65,96.57,21.22,45.17,1636.8,0
76.93,111.14,23.94,47.54,1547.01,0
70.74,108.17,29.25,50.58,1629.73,0
87.94,99.78,26.96,50.99,1388.96,0
77.66,122.91,30.7,49.26,1627.42,0
82.26,101.84,29.91,46.27,1734.66,0
85.45,89.98,29.08,43.89,1605.89,0
85.99,98.89,27.3,44.27,1485.69,0
86.66,97.29,26.58,49.93,1588.38,0
75.86,96.03,26.45,46.8,1578.25,0
87.18,93.4,24.32,53.65,1678.55,0
77.55,101.53,31.94,49.55,1633.01,0
81.84,102.31,25.26,50.37,1634.98,0
85.22,98.96,22.19,46.49,1509.34,0
87.2,109.08,26.06,54.84,1597.89,0
84.61,96.55,33.65,56.57,1589.59,0
80.52,106.99,27.81,51.16,1590.08,0
82.78,100.07,24.55,52.35,1515.41,0
87.17,105.27,25.12,57.62,1657.84,0
81.41,112.34,23.22,51.02,1497.54,0
87.24,83.83,18.2,58.51,1619.92,1
80.11,91.94,24.52,46.59,1499.6,0
83.86,107.49,27.25,51.44,1655.33,0
83.35,98.23,20.05,48.97,1590.4,0
81.4,95.85,25.57,49.33,1535.55,0
83.7,112.78,28.35,47.87,1627.19,0
75.16,107.63,22.4,46.65,1682.88,0
81.58,110.3,27.72,46.07,1594.58,0
84.49,109.4,25.75,48.07,1590.88,0
76.38,106.51,27.96,49.43,1549.82,0
83.42,114.98,26.2,49.28,1562.7,0
82.12,99.83,30.46,48.48,1549.02,0
82.23,106.97,23.25,52.14,1607.63,0
76.59,118.95,24.47,52.69,1545.42,0
82.37,97.85,27.61,47.37,1565.04,0
80.4,91.1,24.22,47.18,1519.88,0
89.3,124.52,21.92,49.44,1584.5,0
80.45,90.14,22.56,57.25,1642.47,0
81.35,95.68,23.17,49.59,1601.1,0
79.76,93.33,22.91,53.39,1610.85,0
82.74,109.75,23.33,48.59,1609.03,0
72.26,105.06,29.17,52.49,1591.96,0
74.25,108.61,27.31,54.49,1638.46,0
76.76,105.37,24.62,49.48,1649.32,0
79.45,96.69,27.36,48.82,1545.24,0
79.55,103.87,26.44,46.33,1597.81,0
84.83,108.02,28.91,43.13,1688.28,0
80.82,88.67,18.84,44.78,1524.6,0
75.69,122.21,26.08,49.44,1571.98,0
77.35,100.47,20.52,54.88,1536.08,0
77.43,112.05,27.33,44.51,1622.65,0
93.54,108.51,32.41,57.94,1640.66,1
80.91,107.07,25.98,52.46,1547.89,0
74.12,94.08,18.82,55.38,1532.49,0
85.94,111.48,27.69,51.51,1689.29,0
74.31,103.16,26.5,49.29,1534.21,0
84.46,108.35,19.3,46.96,1514.45,0
83.85,113.32,29.37,46.55,1523.42,0
82.91,97.05,18.14,47.05,1504.02,0
75.69,116.38,24.45,43.83,1540.29,0
80.93,106.97,25.78,50.61,1488.55,0
76.27,103.31,29.48,55.58,1521.69,0
81.47,114.63,23.22,48.88,1486.9,0
76.05,94.52,23.86,48.71,1585.37,0
77.94,102.91,26.64,49.15,1645.82,0
77.34,103.74,23.83,50.01,1649.52,0
76.7,97.13,24.3,46.11,1634.8,0
81.01,102.28,24.85,49.14,1576.3,0
75.08,102.94,24.16,48.17,1620.62,0
88.9,101.82,23.0,46.21,1582.58,0
75.9,102.56,25.7,48.95,1579.27,0
87.29,85.35,26.23,52.92,1577.32,0
79.38,133.03,24.86,53.29,1593.38,1
78.99,113.71,21.17,50.81,1544.85,0
88.06,104.12,22.67,46.66,1475.09,0
80.53,114.16,23.17,51.75,1613.64,0
79.0,114.0,25.02,49.0,1552.73,0
85.01,108.91,23.14,54.44,1574.61,0
78.25,110.41,24.39,48.33,1559.02,0
83.99,103.46,25.77,51.86,1662.36,0
85.13,111.49,23.09,53.48,1566.37,0
81.72,106.0,25.59,45.68,1579.92,0
83.25,126.87,33.03,51.29,1667.43,1
80.09,101.59,26.07,49.22,1506.26,0
85.4,99.91,24.24,54.06,1544.09,0
78.22,107.93,24.21,45.41,1545.45,0
86.32,109.34,15.51,48.95,1507.89,0
84.05,101.89,24.92,49.85,1459.0,0
81.36,81.41,21.51,59.6,1648.35,1
80.51,113.28,25.5,50.06,1576.14,0
86.49,105.62,26.48,50.15,1647.15,0
76.47,97.8,19.99,49.39,1606.12,0
81.67,113.29,25.89,52.25,1549.28,0
82.53,104.31,27.43,50.2,1654.01,0
83.21,83.77,21.27,53.96,1520.23,0
83.47,99.65,27.22,47.69,1513.55,0
75.46,102.66,26.39,53.13,1512.46,0
95.67,88.99,30.88,49.43,1508.23,1
75.78,103.68,22.75,47.27,1593.17,0
82.24,102.65,22.35,51.7,1648.73,0
77.3,107.52,19.27,53.58,1678.18,0
81.93,103.64,24.51,46.81,1627.64,0
89.35,94.89,24.63,53.95,1594.21,0
73.67,108.33,22.55,48.59,1599.53,0
82.1,112.52,25.93,45.3,1489.69,0
72.13,106.82,21.45,56.93,1594.39,0
81.35,100.25,23.76,56.93,1515.25,0
79.36,100.97,21.29,50.89,1655.88,0
80.53,98.52,21.35,59.56,1447.03,0
82.26,117.76,21.66,39.92,1499.03,0
85.58,111.08,31.52,49.8,1639.09,0
81.59,95.02,21.5,56.09,1541.74,0
77.08,100.96,22.55,49.94,1601.73,0
78.69,100.09,24.24,52.66,1565.0,0
79.09,110.97,29.52,52.61,1551.55,0
81.29,82.47,32.55,49.66,1517.61,1
94.44,100.7,25.55,46.0,1531.04,0
83.17,103.37,26.8,46.11,1636.07,0
77.49,90.5,25.19,53.2,1496.6,0
82.55,105.99,24.1,49.74,1549.48,0
79.09,101.03,27.01,48.02,1524.69,0
83.37,113.91,25.81,42.99,1550.29,0
75.34,103.21,22.25,48.93,1582.16,0
81.32,114.28,24.33,48.16,1530.47,0
79.35,102.96,25.87,49.58,1565.58,0
76.67,110.03,23.78,51.85,1649.86,0
81.65,106.7,19.61,44.36,1541.47,0
80.23,93.83,30.46,53.45,1550.79,0
82.29,109.91,29.2,48.39,1585.32,0
65.0,93.23,33.77,47.92,1577.68,1
81.83,98.48,25.97,50.65,1600.66,0
77.33,110.93,21.77,47.64,1541.2,0
81.88,105.23,22.86,55.48,1625.23,0
82.58,113.56,24.5,57.91,1540.2,0
80.74,96.83,22.41,51.11,1592.42,0
82.7,93.15,28.2,49.21,1551.63,0
72.76,110.66,29.55,50.24,1474.82,0
78.43,107.48,31.4,46.32,1457.9,0
77.96,102.39,25.12,50.65,1628.6,0
76.81,103.47,22.24,54.4,1566.02,0
69.6,104.13,20.18,50.69,1668.62,0
74.52,120.48,26.72,47.51,1556.68,0
83.04,104.47,23.57,53.8,1635.07,0
82.27,106.76,27.39,56.52,1588.55,0
84.9,100.98,24.41,50.98,1634.28,0
72.09,112.9,29.25,50.45,1490.23,0
74.88,102.37,22.33,50.13,1575.68,0
82.62,96.46,25.21,50.21,1601.01,0
