recency_days,txn_count,avg_basket_value,total_spend,returns_count,repeat_purchase
33,2,63.7,127.3,3,0
78,4,69.99,290.88,2,0
132,4,70.65,284.98,6,0
4,23,144.55,3014.85,1,1
54,24,124.02,3191.88,1,1
1,18,88.73,1668.85,0,1
54,6,85.56,464.52,1,0
12,20,188.97,4061.79,2,1
21,14,109.11,1483.19,0,1
31,1,21.33,22.09,3,0
32,24,83.78,2056.28,0,1
4,24,128.68,2921.85,0,1
29,3,109.11,358.03,4,0
18,13,98.84,1294.47,1,1
114,2,45.93,99.0,5,0
7,14,94.77,1252.57,1,1
11,17,119.75,2167.97,0,1
13,20,144.61,3006.52,2,1
115,2,70.15,149.43,0,0
81,5,76.36,418.52,2,0
23,12,75.32,911.28,1,1
41,19,152.21,2641.73,1,1
1,15,89.2,1410.43,1,1
180,3,72.97,206.69,0,0
16,13,149.62,2117.62,1,1
34,5,61.48,299.34,3,0
23,20,113.12,2095.51,0,1
15,20,99.71,1874.72,1,1
5,20,174.03,3449.39,0,1
42,6,59.52,328.88,2,0
15,19,102.87,1762.89,0,1
2,15,114.63,1593.14,2,1
28,3,45.36,123.34,1,0
19,20,123.44,2625.38,1,1
20,11,148.5,1550.92,0,1
4,19,171.83,3087.4,3,1
2,17,133.09,2365.32,1,1
40,2,64.49,127.39,4,0
60,6,80.94,506.61,2,0
3,21,136.31,2831.16,1,1
3,14,108.88,1471.05,1,1
10,14,122.3,1656.45,1,1
63,3,34.34,93.47,5,0
4,12,121.45,1584.68,0,1
47,4,46.25,171.99,2,0
16,22,56.97,1295.22,0,1
36,5,118.76,614.27,2,0
28,24,192.1,4950.62,1,1
18,19,118.27,2318.57,1,1
68,2,58.72,126.14,4,0
69,6,66.58,403.01,0,0
40,4,47.22,178.58,0,0
17,18,80.31,1410.78,2,1
38,4,87.69,372.7,2,0
20,5,71.28,387.36,1,0
5,15,125.4,1809.97,2,1
2,13,161.76,1968.9,2,1
5,26,126.72,2993.79,2,1
33,14,160.92,2302.95,1,1
7,14,144.09,1986.45,1,1
10,18,103.19,1945.35,1,1
21,4,89.19,356.53,1,0
8,16,69.44,1153.81,1,1
77,3,48.37,137.17,1,0
2,20,89.56,1805.48,2,1
38,7,71.17,465.82,2,0
46,6,61.52,361.69,3,0
12,18,104.18,1997.45,2,1
33,2,67.23,146.22,2,0
14,21,106.84,2413.3,3,1
43,3,83.33,273.76,2,0
39,17,100.49,1709.17,1,1
23,1,70.59,65.44,4,0
9,12,136.2,1683.54,0,1
88,2,34.35,75.5,0,0
62,14,108.98,1404.02,1,1
86,21,98.8,1994.35,1,1
3,22,104.79,2265.72,3,1
10,20,84.87,1709.36,0,1
32,5,20.8,111.15,0,0
3,15,181.82,2714.17,1,1
24,20,101.83,1936.7,1,1
10,18,174.78,3394.66,2,1
3,20,113.13,2074.72,1,1
20,5,61.8,325.98,1,0
24,4,79.92,327.65,1,0
62,4,44.86,196.27,4,0
26,19,136.7,2454.33,1,1
15,24,113.69,2521.98,0,1
16,15,114.99,1812.77,2,1
17,13,128.48,1832.11,1,1
26,6,106.01,637.11,2,0
16,20,152.26,3021.85,0,1
78,3,48.39,146.77,2,0
88,2,71.77,151.04,0,0
4,25,93.38,2243.62,2,1
20,22,106.88,2300.27,1,1
63,3,48.96,151.07,0,0
13,18,196.75,3666.42,1,1
11,11,153.48,1758.37,2,1
37,2,47.01,88.78,5,0
24,12,108.83,1324.78,1,1
38,1,81.77,73.99,2,0
147,5,56.16,279.83,0,0
78,5,87.81,448.73,1,0
48,10,90.71,861.18,1,1
84,3,42.15,126.14,0,0
126,3,74.74,202.77,4,0
5,14,111.56,1467.54,1,1
15,15,107.2,1527.87,2,1
108,2,49.16,102.41,1,0
10,21,49.11,1062.49,1,1
25,17,89.71,1612.35,0,1
28,4,52.79,209.1,2,0
48,4,70.23,289.72,4,0
6,20,155.64,3048.12,2,1
24,15,136.1,2207.37,0,1
3,14,128.94,1679.55,1,1
116,8,75.22,647.71,1,0
56,4,43.89,188.15,3,0
26,17,137.89,2341.47,1,1
76,3,52.16,154.94,3,0
10,12,92.33,1069.18,1,1
107,4,62.53,240.37,1,0
67,9,98.78,819.84,3,0
180,2,55.56,119.09,4,0
20,15,132.65,1902.81,1,1
12,11,119.42,1261.38,1,1
81,1,53.94,58.28,4,0
32,2,61.4,112.08,2,0
128,7,83.24,575.04,4,0
14,19,91.04,1689.71,1,1
14,20,120.9,2482.95,0,1
40,2,51.41,112.53,2,0
5,14,99.23,1251.79,0,1
21,2,66.38,133.1,2,0
63,2,86.81,173.88,4,0
42,6,50.34,287.39,0,0
18,12,124.4,1479.78,1,1
21,11,135.36,1539.13,1,1
1,18,114.95,2161.8,0,1
2,17,119.0,1940.12,1,1
25,7,55.84,404.38,1,0
9,16,64.93,1059.89,2,1
45,3,83.42,232.98,0,0
16,15,69.5,1079.38,1,1
180,3,43.88,131.27,0,0
50,16,117.35,1749.92,0,1
10,15,108.9,1508.09,1,1
14,16,135.87,2023.53,1,1
27,16,58.83,895.99,0,1
38,5,56.56,289.95,4,0
15,13,86.76,1023.93,1,1
169,5,52.76,279.35,3,0
60,17,128.4,2221.6,1,1
84,5,58.9,313.8,3,0
106,4,65.71,283.0,3,0
49,4,40.57,172.15,1,0
1,21,78.61,1490.48,3,1
22,19,130.54,2276.25,1,1
8,10,152.1,1402.71,2,1
12,15,163.65,2556.43,0,1
43,3,60.06,191.12,3,0
4,18,94.36,1830.5,1,1
15,11,130.05,1356.73,3,1
3,20,65.0,1204.79,1,1
6,9,119.16,1116.81,0,1
1,14,100.26,1364.36,0,1
6,16,110.89,1730.68,1,1
11,16,135.67,2242.91,4,1
88,2,43.67,84.9,3,0
40,2,50.94,108.43,2,0
32,14,163.57,2339.39,0,1
67,5,63.85,305.66,1,0
52,3,57.04,166.97,1,0
44,5,70.76,355.15,3,0
56,12,118.75,1501.99,1,1
20,4,79.77,349.36,1,0
23,20,79.46,1556.72,0,1
31,4,60.42,264.04,0,0
31,2,64.61,132.39,2,0
16,16,95.67,1658.6,0,1
34,19,82.27,1452.91,0,1
9,17,180.71,2811.68,0,1
10,17,120.2,1857.06,0,1
4,21,72.06,1494.11,1,1
60,26,133.87,3812.75,1,1
20,14,91.31,1294.94,2,1
39,4,69.45,267.88,2,0
1,17,109.25,1819.3,2,1
7,16,100.57,1743.84,2,1
5,18,83.66,1413.08,1,1
4,8,141.92,1061.63,1,1
14,16,168.52,2578.97,0,1
44,22,123.13,2860.77,1,1
60,4,60.22,236.53,4,0
3,22,141.29,2973.13,1,1
85,1,73.8,67.23,2,0
31,1,10.0,10.0,3,0
9,15,145.91,2049.25,1,1
63,20,137.39,2797.6,1,1
19,13,137.05,1618.65,0,1
6,19,123.16,2154.0,1,1
141,9,49.28,429.81,5,0
11,16,136.2,2303.95,1,1
102,1,29.64,30.86,3,0
20,21,109.29,2432.78,1,1
110,2,73.87,152.84,2,0
27,22,108.24,2464.15,0,1
6,15,74.33,1166.83,1,1
6,16,153.38,2371.86,0,1
150,5,51.73,247.16,1,0
2,17,127.81,2377.27,0,1
21,19,86.75,1570.58,0,1
5,15,70.16,1151.06,1,1
156,2,93.47,192.49,1,0
5,19,160.21,3111.04,0,1
60,4,55.7,226.71,3,0
5,16,128.3,1924.98,2,1
45,4,51.26,214.22,0,0
15,18,71.8,1347.78,0,1
114,2,44.32,84.59,1,0
20,18,99.28,1637.4,5,1
63,4,73.67,299.64,2,0
17,20,113.72,2333.66,0,1
9,16,103.51,1637.64,0,1
51,2,77.19,167.57,0,0
8,19,111.63,1938.79,0,1
33,12,111.61,1288.34,0,1
12,15,134.46,1939.31,2,1
51,4,70.95,286.81,1,0
17,20,86.91,1798.55,0,1
4,12,130.77,1412.95,2,1
23,1,45.81,42.19,1,0
5,10,82.24,778.73,0,1
15,18,160.25,2997.84,1,1
8,17,50.08,869.35,0,1
26,5,10.0,28.48,1,0
13,18,127.79,2186.67,0,1
12,21,152.89,3179.5,0,1
33,17,101.23,1682.3,2,1
114,4,47.87,186.7,4,0
39,2,64.23,125.1,4,0
68,2,71.98,145.35,0,0
14,20,140.05,2599.51,2,1
29,10,96.19,917.8,1,0
30,4,55.64,203.73,4,0
73,5,71.94,339.49,2,0
23,20,91.55,1680.26,1,1
1,14,110.02,1557.96,0,1
6,15,134.75,2221.76,2,1
2,15,131.06,2161.52,0,1
43,2,66.31,128.93,3,0
20,4,67.74,274.38,6,0
8,14,152.73,2321.32,1,1
4,19,118.02,2320.68,1,1
3,17,100.41,1774.22,1,1
65,4,79.05,295.32,0,0
15,17,134.21,2236.81,0,1
5,23,67.83,1420.26,0,1
2,22,153.39,3179.63,2,1
6,17,114.53,1778.36,4,1
23,2,50.31,99.99,1,0
27,7,39.7,257.33,1,0
1,14,97.16,1264.24,0,1
3,11,137.19,1600.83,0,1
11,13,66.42,824.42,1,1
6,21,84.42,1852.69,2,1
6,17,50.34,939.58,1,1
50,6,25.92,154.1,1,0
156,4,41.51,170.85,1,0
68,3,41.83,117.52,4,0
41,3,45.7,138.65,2,0
4,14,94.84,1195.19,3,1
47,2,42.27,84.3,1,0
30,4,47.86,190.96,4,0
3,15,133.73,2052.15,2,1
21,4,59.09,223.95,0,0
2,18,107.27,1804.82,1,1
82,3,73.71,240.11,1,0
98,4,96.97,351.44,4,0
6,14,149.74,2147.77,1,1
23,3,80.77,258.52,2,0
1,11,87.14,1048.25,1,1
48,8,65.97,475.69,2,0
33,15,95.26,1338.84,0,1
27,12,101.74,1228.59,0,1
6,18,147.34,2569.37,4,1
35,16,123.17,1777.95,2,1
10,14,165.49,2100.23,1,1
28,6,72.04,472.86,2,0
72,4,22.69,96.63,3,0
6,14,150.86,2097.97,2,1
94,4,63.81,256.85,0,0
8,13,133.48,1898.7,2,1
2,19,141.44,2635.31,3,1
25,5,19.0,93.02,1,0
1,16,124.59,1886.39,1,1
4,23,150.54,3552.43,1,1
17,16,111.04,1894.98,2,1
130,5,65.48,332.19,1,0
20,8,86.93,662.91,1,0
17,19,105.77,2185.88,0,1
4,15,85.15,1193.14,1,1
2,16,111.51,1611.6,2,1
21,4,48.12,174.76,2,0
1,20,116.81,2121.45,1,1
12,14,134.2,1831.78,1,1
27,20,111.97,2116.73,2,1
7,22,140.32,2810.02,1,1
42,3,44.5,141.65,1,0
34,4,58.07,241.43,1,0
117,4,51.68,196.0,4,0
80,4,72.1,292.91,2,0
8,16,153.46,2486.95,1,1
18,21,91.43,2021.94,0,1
2,15,99.69,1523.54,2,1
5,20,88.5,1814.28,1,1
26,3,75.15,236.01,3,0
1,11,122.28,1325.24,1,1
69,2,54.55,117.61,3,0
61,4,40.05,161.0,6,0
34,5,80.73,422.13,2,0
26,4,55.69,232.95,1,0
76,3,42.54,128.65,4,0
8,18,110.1,1908.38,0,1
180,7,55.77,375.2,3,0
65,4,70.64,282.56,2,0
35,4,67.23,248.79,1,0
14,17,155.41,2501.36,2,1
18,14,188.35,2696.86,3,1
66,4,74.12,268.08,1,0
19,15,112.72,1655.6,1,1
41,14,132.85,1814.45,0,1
51,4,61.54,239.02,1,0
9,16,179.78,2624.25,4,1
14,18,96.62,1682.86,0,1
27,3,103.3,332.95,3,0
57,4,83.81,311.87,2,0
22,18,118.62,2190.79,2,1
2,13,95.06,1122.18,1,1
42,19,99.75,1872.49,1,1
61,4,51.94,188.99,4,0
27,18,74.35,1460.91,1,1
64,3,94.93,290.75,2,0
2,16,104.48,1633.87,0,1
52,4,49.04,196.37,0,0
58,5,63.51,326.77,0,0
28,15,79.9,1119.35,0,1
52,6,79.56,436.93,0,0
16,16,56.83,893.91,0,1
28,4,41.51,157.3,0,0
91,5,28.05,134.09,3,0
27,14,129.69,1699.77,1,1
9,18,118.17,2256.45,1,1
3,16,135.08,2375.95,0,1
8,12,45.2,591.16,3,1
69,4,36.39,144.75,2,0
1,15,127.91,1943.11,0,1
13,20,112.14,2078.18,0,1
14,17,193.25,2960.9,1,1
1,13,126.98,1667.47,1,1
4,18,97.3,1726.71,3,1
29,3,28.88,88.64,0,0
28,3,97.25,285.95,1,0
17,22,177.1,4035.71,3,1
1,14,142.62,1852.2,2,1
83,4,60.68,263.82,3,0
8,12,123.34,1547.97,1,1
6,16,94.97,1490.75,0,1
88,6,75.28,492.9,1,0
49,2,79.8,171.6,4,0
44,19,102.39,1945.65,1,1
36,5,84.06,446.53,3,0
21,19,143.26,2925.08,0,1
76,4,63.57,238.49,3,0
27,19,156.88,3182.65,2,1
20,12,122.18,1504.71,0,1
148,4,63.75,230.03,3,0
53,5,64.3,327.61,3,0
16,16,103.15,1570.02,2,1
82,16,106.26,1599.66,1,1
130,4,56.81,207.6,3,0
7,16,102.42,1486.54,1,1
29,1,66.58,65.14,2,0
11,20,126.77,2716.76,0,1
7,14,120.53,1632.5,1,1
32,2,64.71,124.02,3,0
7,10,80.23,769.86,0,1
88,3,69.7,210.97,0,0
5,21,105.97,2382.8,0,1
23,13,94.43,1201.45,1,1
3,15,76.12,1209.45,2,1
2,16,108.52,1624.81,2,1
2,20,116.29,2385.15,0,1
145,5,35.01,179.81,1,0
26,16,86.76,1303.96,0,1
66,5,88.2,412.81,0,0
7,19,115.65,2280.82,0,1
62,3,50.96,140.34,1,0
2,15,96.32,1347.04,1,1
12,22,78.29,1607.47,1,1
84,6,63.16,360.52,1,0
38,16,118.08,1885.1,0,1
13,15,136.09,2183.6,0,1
43,18,132.88,2341.64,0,1
17,16,131.39,2042.1,1,1
12,14,116.5,1538.43,3,1
35,17,169.94,2745.85,1,1
20,1,79.21,80.01,1,0
20,18,133.87,2481.29,0,1
2,15,70.63,1053.85,1,1
2,13,165.17,2003.52,2,1
30,1,72.6,77.8,5,0
22,3,22.47,67.83,2,0
63,7,87.25,609.51,2,0
93,2,92.81,183.26,2,0
7,23,58.05,1398.41,0,1
7,23,120.85,2809.0,1,1
180,4,44.79,165.05,2,0
22,12,116.2,1269.65,1,1
45,4,103.4,419.46,1,0
40,6,31.53,196.76,2,0
22,15,146.21,2241.54,1,1
105,3,59.39,160.93,3,0
41,18,163.87,2894.38,3,1
36,5,68.97,323.07,2,0
1,15,108.35,1528.88,1,1
1,11,110.83,1319.9,1,1
143,6,84.7,535.14,3,0
42,5,39.36,215.56,2,0
3,24,154.38,3626.41,1,1
4,10,96.68,961.82,0,1
42,2,93.69,184.35,3,0
17,17,150.0,2660.82,3,1
8,17,54.04,988.07,0,1
13,17,159.59,2696.41,1,1
26,4,50.32,218.97,3,0
10,9,91.01,855.23,0,1
21,1,50.42,50.1,2,0
1,16,130.78,2082.92,1,1
7,26,67.75,1923.13,0,1
5,14,108.86,1676.1,0,1
2,13,68.85,862.24,0,1
172,5,61.48,326.49,1,0
165,2,53.22,110.54,3,0
8,21,70.72,1515.86,0,1
18,18,101.67,1787.87,0,1
23,17,135.13,2332.43,0,1
5,14,124.93,1729.95,3,1
31,18,185.89,3260.33,0,1
8,21,97.49,2209.23,2,1
18,14,82.61,1052.86,0,1
39,3,48.03,157.78,2,0
5,19,91.0,1766.16,0,1
1,18,135.26,2205.96,2,1
157,2,51.39,99.66,2,0
32,4,33.85,148.31,3,0
33,7,28.04,179.06,1,0
6,19,148.11,2698.14,1,1
66,14,102.33,1464.01,1,1
13,14,145.82,2200.33,1,1
1,14,65.88,887.36,0,1
6,14,132.13,1704.09,3,1
27,18,141.48,2525.37,1,1
2,16,87.24,1449.28,1,1
27,4,62.71,258.33,3,0
22,2,46.27,100.75,3,0
5,18,77.02,1524.35,0,1
140,1,81.6,87.09,2,0
16,19,148.28,2902.02,3,1
98,3,38.83,126.48,2,0
180,4,10.04,41.46,2,0
67,1,80.03,86.28,2,0
26,14,127.94,1912.51,1,1
4,12,136.56,1490.79,2,1
2,20,140.41,2632.12,0,1
22,3,61.91,197.61,1,0
5,18,102.2,1928.53,1,1
26,5,66.46,340.18,3,0
29,15,158.51,2289.34,1,1
3,19,118.98,2448.22,0,1
84,4,28.1,106.41,1,0
22,15,126.87,1824.04,0,1
57,5,59.11,304.78,3,0
17,15,102.8,1432.17,0,1
24,13,111.71,1493.83,0,1
28,7,32.24,204.89,5,0
17,19,142.92,2877.54,0,1
37,16,68.33,1051.81,3,1
21,14,62.0,827.74,3,1
1,16,128.35,1944.76,1,1
2,14,110.85,1696.4,2,1
180,3,54.3,173.21,1,0
180,3,50.02,164.67,2,0
25,8,87.28,638.3,3,0
9,20,78.64,1694.32,1,1
9,13,98.0,1334.17,0,1
3,21,99.91,2208.11,0,1
20,4,93.1,368.11,3,0
32,5,48.27,249.5,2,0
7,17,172.46,2982.34,1,1
5,23,108.28,2715.66,1,1
3,16,92.69,1565.44,0,1
43,5,102.14,560.21,2,0
171,3,78.63,244.06,2,0
32,5,74.64,353.71,1,0
20,5,79.03,367.2,1,0
1,18,135.81,2380.34,2,1
8,20,134.7,2532.9,2,1
1,13,136.43,1800.47,1,1
1,13,141.68,1903.03,1,1
10,17,123.35,2174.37,2,1
67,4,60.44,221.12,2,0
58,17,136.69,2441.58,0,1
12,11,137.54,1400.66,1,1
7,20,108.89,2238.5,0,1
32,18,84.51,1582.1,1,1
26,24,112.42,2940.98,1,1
11,17,128.37,2140.22,0,1
13,14,128.75,1797.58,0,1
32,3,22.16,60.3,2,0
46,4,52.29,207.38,2,0
44,4,52.9,227.43,2,0
3,13,132.44,1577.82,0,1
57,16,68.76,1144.78,2,1
1,12,129.97,1715.49,2,1
27,4,56.03,243.54,3,0
113,4,42.36,173.69,3,0
29,1,77.41,71.78,1,0
32,3,78.98,232.54,1,0
22,2,60.89,122.44,1,0
37,3,85.14,279.44,0,0
24,15,133.35,2057.43,3,1
103,2,44.02,91.62,3,0
5,15,119.85,1662.27,1,1
25,13,100.28,1270.59,0,1
19,13,128.04,1538.42,2,1
37,17,95.29,1580.7,2,1
34,23,169.91,4108.79,1,1
20,11,129.16,1328.09,0,1
43,5,60.06,329.23,0,0
65,3,84.6,256.31,2,0
103,5,66.54,357.15,3,0
156,5,32.21,168.3,2,0
23,16,75.84,1219.72,1,1
17,14,78.78,1198.6,2,1
63,4,42.45,154.61,0,0
12,17,47.86,853.51,0,1
47,3,80.97,238.91,0,0
180,3,69.76,210.03,0,0
39,19,72.18,1363.16,1,1
28,7,55.79,354.58,6,0
47,5,56.59,297.12,3,0
46,6,43.74,282.86,1,0
43,9,110.84,937.57,1,1
22,17,151.41,2451.55,1,1
22,14,126.03,1899.02,2,1
2,12,123.02,1408.04,0,1
1,18,119.49,1963.09,3,1
126,3,70.1,191.0,1,0
45,14,121.73,1557.82,4,1
19,23,99.84,2120.54,1,1
10,18,118.8,2331.13,1,1
14,15,77.87,1102.14,1,1
21,3,58.99,159.63,0,0
23,19,95.11,1909.41,2,1
103,4,72.64,272.37,0,0
1,21,101.32,2273.04,3,1
32,5,59.22,271.57,2,0
7,17,67.36,1032.5,2,1
83,4,37.02,143.83,3,0
1,11,127.68,1522.5,0,1
57,5,43.96,199.99,2,0
41,4,10.9,41.44,4,0
12,12,141.73,1635.58,2,1
24,4,61.22,255.94,0,0
10,17,133.31,2353.73,2,1
69,6,50.53,300.16,4,0
35,22,107.97,2222.58,0,1
5,15,144.47,2078.75,1,1
81,5,52.74,279.95,1,0
108,4,42.62,175.8,2,0
1,16,96.72,1637.38,0,1
25,18,122.37,2273.94,0,1
6,18,75.12,1341.08,3,1
2,14,92.45,1378.16,1,1
45,4,54.55,222.4,0,0
24,6,84.67,473.6,2,0
145,2,81.68,162.62,2,0
8,15,126.31,1820.48,0,1
46,5,54.06,258.68,5,0
111,3,53.98,155.06,3,0
49,8,49.21,385.67,2,0
6,12,146.85,1606.07,0,1
48,5,81.44,370.72,0,0
10,12,98.46,1283.71,2,1
56,26,104.27,2555.68,1,1
2,22,136.16,2915.72,1,1
37,13,109.35,1406.96,1,1
140,3,34.01,98.49,3,0
127,3,42.85,120.3,3,0
7,21,72.78,1434.54,0,1
5,20,108.53,2362.92,1,1
27,6,20.48,132.62,1,0
44,2,62.14,118.38,0,0
92,5,53.1,250.37,1,0
128,4,66.4,271.74,0,0
16,19,77.79,1425.0,0,1
3,24,152.71,3663.43,0,1
31,19,97.56,1878.17,1,1
116,1,56.6,56.0,0,0
7,17,169.1,2991.24,2,1
16,15,107.67,1666.87,1,1
1,16,150.65,2379.55,3,1
54,6,55.46,361.26,3,0
1,20,115.75,2257.91,1,1
30,4,82.37,312.45,0,0
81,7,60.26,462.69,1,0
6,18,156.72,2688.33,1,1
23,16,114.07,1697.61,1,1
1,14,122.27,1858.91,1,1
93,8,80.98,660.9,0,0
3,13,179.27,2132.17,1,1
16,18,87.49,1523.01,1,1
16,18,126.73,2111.06,0,1
28,9,135.05,1310.23,0,1
163,3,55.72,174.53,2,0
36,20,149.11,3097.05,2,1
32,16,114.95,1774.62,1,1
17,13,110.22,1501.21,2,1
151,3,63.03,198.68,1,0
23,22,128.95,3020.11,1,1
59,6,57.38,327.93,1,0
8,20,153.85,3062.21,2,1
4,16,98.18,1703.54,1,1
14,18,141.77,2554.3,0,1
12,23,91.46,2111.42,0,1
4,14,109.75,1500.53,1,1
33,3,94.22,307.41,3,0
121,5,70.48,317.81,1,0
7,17,131.22,2201.23,2,1
6,21,145.55,3247.47,2,1
6,17,71.29,1136.86,1,1
2,13,108.9,1411.45,0,1
169,2,80.46,154.52,0,0
14,18,114.29,1909.25,1,1
12,15,134.71,1850.04,0,1
3,17,142.65,2492.6,0,1
5,22,149.0,2970.59,2,1
23,2,46.47,95.83,2,0
10,19,102.76,2045.36,0,1
4,17,101.5,1633.74,0,1
67,6,53.41,318.59,3,0
12,13,69.04,984.61,1,1
19,16,117.97,1839.63,1,1
124,3,83.83,256.74,0,0
53,3,35.0,115.24,2,0
180,4,54.7,232.36,2,0
121,3,73.45,216.15,1,0
53,13,173.12,2216.45,1,1
10,17,93.29,1646.2,1,1
7,12,138.83,1720.49,1,1
4,14,115.24,1525.45,0,1
65,2,64.35,132.43,2,0
67,3,73.45,236.7,3,0
49,4,29.99,117.17,3,0
1,22,117.89,2680.5,0,1
9,15,44.33,656.92,1,1
9,20,70.43,1428.2,1,1
105,5,39.2,181.47,3,0
40,18,91.0,1731.99,0,1
51,6,44.08,271.9,1,0
31,6,35.27,193.03,2,0
88,6,51.47,306.62,2,0
12,19,120.08,2461.25,1,1
1,16,174.27,2592.11,1,1
59,6,61.89,384.32,3,0
102,5,39.27,177.19,3,0
36,15,134.04,1944.81,0,1
28,4,36.59,141.12,5,0
11,16,117.74,1922.69,0,1
17,9,169.77,1565.6,0,1
46,3,70.05,210.76,1,0
2,13,93.28,1288.35,3,1
16,20,79.65,1638.49,2,1
13,22,94.17,2079.01,3,1
144,4,75.23,289.6,2,0
5,19,144.78,2855.07,0,1
180,4,61.1,257.21,2,0
32,2,50.47,110.11,2,0
13,23,131.95,2816.24,0,1
41,17,127.36,2009.75,0,1
2,14,125.4,1637.64,1,1
14,13,98.06,1224.47,1,1
3,16,94.61,1629.39,1,1
2,16,146.5,2418.69,1,1
24,5,81.8,441.49,2,0
1,24,102.86,2390.7,1,1
12,14,158.72,2000.15,1,1
33,1,77.3,71.48,2,0
