area,bedrooms,bathrooms,age,distance_to_city,garage_size,price
4136.54,4,1,32,25.85,3,639000.0
3350.32,6,4,5,32.26,2,754000.0
4421.57,5,4,2,49.27,3,840000.0
4116.52,6,1,3,38.63,2,817000.0
1339.57,2,1,22,22.28,1,203000.0
4516.52,4,1,14,22.88,2,678000.0
2927.04,2,1,31,31.32,2,315000.0
4133.48,4,2,50,33.6,2,537000.0
4532.41,5,4,19,25.53,1,784000.0
1931.02,4,4,29,32.6,2,518000.0
995.23,2,3,21,2.15,1,253000.0
1525.71,3,2,42,22.05,1,264000.0
2421.99,3,1,45,14.67,0,297000.0
4181.07,4,1,44,7.33,3,586000.0
4373.29,5,1,49,5.88,1,649000.0
531.28,2,1,1,30.56,0,100000.0
2798.36,3,1,42,26.66,0,413000.0
2378.35,2,2,38,13.43,1,296000.0
1499.49,2,2,11,24.08,0,299000.0
1039.39,1,1,48,25.12,0,100000.0
2019.27,2,1,7,10.56,1,360000.0
4743.09,4,1,34,32.95,3,697000.0
1954.41,2,1,11,39.27,0,283000.0
2834.56,3,2,22,39.78,2,401000.0
3663.59,4,2,36,30.52,2,576000.0
2136.33,2,1,28,26.07,0,202000.0
4873.02,5,2,21,3.99,2,778000.0
4831.01,5,4,16,15.1,1,877000.0
1633.02,4,4,42,5.57,0,434000.0
2737.62,3,2,7,48.23,2,462000.0
1853.95,3,2,22,7.62,0,296000.0
1781.78,4,1,45,8.44,1,362000.0
665.99,2,2,42,44.59,0,100000.0
3243.04,5,2,20,47.25,2,471000.0
2762.06,3,2,38,38.53,0,411000.0
731.65,2,3,41,1.26,1,198000.0
1753.91,4,4,44,1.07,1,486000.0
4587.2,5,4,27,19.53,1,720000.0
1578.03,3,4,10,8.03,2,280000.0
1152.03,1,2,13,1.9,1,232000.0
2702.54,2,3,15,23.74,1,442000.0
4935.43,6,4,30,47.21,1,742000.0
1589.25,2,3,2,16.87,2,320000.0
3524.61,6,2,32,33.4,3,813000.0
3927.29,6,3,18,32.96,3,758000.0
1569.37,3,4,15,13.3,1,441000.0
3776.97,4,3,44,32.87,2,554000.0
2155.02,3,3,23,11.4,1,314000.0
3345.38,4,1,5,6.98,3,600000.0
3350.88,6,4,41,35.37,2,664000.0
2910.99,4,4,2,6.56,0,580000.0
906.3,2,2,36,49.85,1,142000.0
4258.86,4,4,39,9.99,2,712000.0
1943.51,3,2,18,30.11,2,371000.0
1339.33,2,2,41,21.16,1,147000.0
683.49,2,3,26,7.19,1,244000.0
3159.02,5,4,23,2.36,1,560000.0
3549.04,5,4,2,31.51,3,646000.0
574.65,2,2,15,40.53,0,185000.0
2804.42,3,3,47,42.26,2,450000.0
1519.23,4,4,20,24.65,2,445000.0
3403.28,6,1,27,39.1,2,547000.0
1284.65,1,2,27,33.97,0,116000.0
3609.22,6,2,30,36.49,3,672000.0
2240.31,4,4,3,25.14,1,453000.0
4715.28,5,2,18,32.04,3,736000.0
1118.84,2,1,36,40.47,0,162000.0
2034.8,3,3,10,20.5,2,514000.0
1010.63,2,2,10,40.49,0,179000.0
4661.12,6,1,1,30.01,3,863000.0
4448.03,6,4,22,9.13,3,776000.0
1660.74,4,3,44,2.21,1,419000.0
3469.93,4,4,3,18.77,3,663000.0
4177.5,5,1,10,27.79,1,686000.0
2998.4,3,2,16,42.15,1,444000.0
2883.43,4,4,37,7.25,0,594000.0
1588.34,3,3,32,40.21,2,291000.0
918.96,2,2,21,43.29,0,198000.0
4537.47,6,4,38,8.38,3,835000.0
4551.88,4,4,30,42.73,3,724000.0
3348.96,4,1,45,49.58,2,457000.0
2025.63,2,3,41,36.62,1,252000.0
2071.44,4,2,13,39.45,2,442000.0
3766.8,5,3,14,49.73,2,677000.0
4537.0,6,3,6,30.67,1,833000.0
4491.89,6,4,17,16.09,2,864000.0
4009.44,5,3,50,42.04,2,679000.0
3389.14,4,3,20,31.11,1,623000.0
878.63,2,2,11,29.48,1,164000.0
1227.33,1,2,38,13.43,0,186000.0
4543.49,6,4,27,38.06,1,743000.0
3228.93,4,4,7,5.0,3,712000.0
541.39,1,1,19,46.29,0,100000.0
956.62,2,1,21,16.97,1,100000.0
3485.76,6,4,38,7.26,3,751000.0
522.78,2,3,1,22.68,1,214000.0
1223.64,2,1,13,3.08,0,184000.0
2969.3,3,3,26,34.55,1,538000.0
3613.53,5,4,13,45.23,3,687000.0
3433.83,6,2,31,42.03,2,598000.0
1509.21,3,2,24,7.24,0,309000.0
3704.81,4,4,18,7.19,3,741000.0
1567.62,2,2,47,40.86,2,214000.0
1964.3,4,4,32,46.29,0,465000.0
3859.21,6,2,6,23.57,1,756000.0
3423.35,5,3,28,25.45,3,552000.0
4321.51,6,4,39,16.59,1,751000.0
3459.26,6,3,35,44.82,2,632000.0
3057.39,4,3,9,32.6,1,590000.0
921.54,1,2,49,15.12,0,100000.0
2154.72,3,3,22,15.64,2,562000.0
1693.41,4,1,8,44.67,1,385000.0
1597.95,4,4,9,1.67,0,468000.0
4878.55,4,1,5,16.81,2,790000.0
2268.94,4,4,40,28.16,1,576000.0
4514.21,4,4,6,8.26,2,834000.0
3340.12,5,3,6,5.51,3,763000.0
4076.65,4,4,43,40.95,1,628000.0
2761.87,4,4,17,44.83,2,550000.0
3096.07,5,4,2,41.36,1,631000.0
2716.33,2,2,3,45.04,0,340000.0
1378.59,2,2,7,28.1,1,241000.0
3751.03,4,3,11,40.8,3,595000.0
1763.48,3,4,33,19.82,1,376000.0
609.42,2,1,8,33.65,1,100000.0
3404.63,5,4,6,49.45,1,679000.0
1297.0,1,1,38,12.06,0,119000.0
4732.06,6,4,34,20.11,2,853000.0
4792.68,4,1,22,24.52,2,655000.0
4616.89,5,4,27,7.76,1,943000.0
2165.71,2,3,16,4.97,0,438000.0
569.55,2,1,24,41.66,0,100000.0
4677.43,5,4,25,48.86,1,770000.0
2426.83,4,4,19,20.83,1,493000.0
4849.95,5,2,45,5.29,2,688000.0
4836.29,5,4,1,4.22,2,821000.0
4338.54,6,4,39,44.67,2,793000.0
1825.02,3,2,6,23.73,2,362000.0
2232.94,4,2,40,16.68,2,475000.0
4330.12,6,4,31,24.35,1,837000.0
1926.15,3,3,42,16.6,0,400000.0
1262.72,2,3,5,24.96,1,259000.0
3005.61,4,3,28,43.12,1,535000.0
4712.7,6,4,25,30.02,3,903000.0
3632.13,4,1,35,35.04,2,504000.0
3065.28,5,3,27,18.87,1,556000.0
937.29,2,1,27,37.19,1,233000.0
3267.53,4,4,21,33.66,1,602000.0
4955.24,6,1,15,6.86,1,840000.0
1130.38,1,2,24,29.06,0,105000.0
2832.48,4,2,6,13.58,0,457000.0
4448.18,5,2,48,40.4,1,610000.0
3833.46,5,4,36,21.87,2,694000.0
3636.57,6,4,48,49.74,1,605000.0
3661.18,5,4,11,5.53,2,747000.0
2117.71,3,3,44,39.24,2,280000.0
1821.16,3,1,40,34.01,0,191000.0
4142.13,5,4,34,38.61,2,751000.0
4145.51,6,4,31,16.07,3,846000.0
4401.83,4,1,16,25.11,3,654000.0
4609.58,4,4,41,40.03,3,668000.0
2801.04,3,2,25,12.39,1,396000.0
2756.82,2,2,4,12.08,0,398000.0
4092.33,4,3,16,28.0,1,692000.0
3424.84,5,4,47,26.65,2,679000.0
3658.85,5,4,43,14.83,1,631000.0
4081.07,4,1,49,15.61,2,507000.0
4505.02,6,3,31,14.61,1,796000.0
2020.98,3,2,12,38.8,2,347000.0
2190.12,4,4,8,32.94,0,464000.0
922.92,1,2,9,41.79,1,228000.0
3102.26,5,1,1,48.8,2,621000.0
661.74,1,1,20,24.23,1,111000.0
2595.19,3,4,10,4.27,1,463000.0
2941.9,2,2,21,3.36,2,460000.0
1789.44,4,3,47,15.49,1,433000.0
3158.75,4,4,22,46.69,1,547000.0
637.25,1,2,44,26.64,0,127000.0
668.07,2,2,30,14.32,0,217000.0
4201.7,5,2,12,20.56,2,808000.0
2120.86,4,4,18,30.33,2,521000.0
1071.77,1,2,4,32.99,0,205000.0
2850.09,2,2,17,8.54,2,514000.0
3964.97,6,4,34,48.87,2,762000.0
1471.19,1,1,4,27.69,0,167000.0
3303.01,4,4,10,7.65,2,640000.0
884.06,1,1,19,44.79,1,117000.0
732.57,1,2,49,4.66,0,100000.0
2891.1,4,2,39,45.48,0,418000.0
2932.86,4,1,37,49.83,0,455000.0
3368.43,5,3,6,35.32,2,560000.0
3767.41,6,4,39,38.75,3,817000.0
4891.33,5,2,39,17.53,2,799000.0
2823.35,3,2,30,47.14,0,362000.0
1953.3,3,3,50,26.96,0,337000.0
4078.34,4,1,16,36.89,3,629000.0
1718.75,3,3,47,46.28,0,333000.0
2475.37,3,4,46,48.78,0,426000.0
853.05,1,2,1,41.83,0,100000.0
614.08,1,2,23,15.85,0,140000.0
4831.92,4,1,49,48.36,2,597000.0
4261.91,6,4,5,31.78,1,828000.0
3631.88,4,4,27,46.6,3,605000.0
2340.29,2,3,49,34.13,0,379000.0
1279.82,2,2,28,16.05,1,288000.0
1203.97,2,3,9,19.13,0,235000.0
1626.09,2,3,29,27.97,0,200000.0
2971.52,4,3,10,39.71,2,548000.0
3715.68,4,1,26,16.58,1,575000.0
3470.89,6,4,4,29.41,2,782000.0
1759.7,2,1,30,17.94,0,290000.0
4796.89,4,2,26,40.97,3,747000.0
3820.54,4,2,37,23.87,1,613000.0
2994.59,2,3,32,4.76,1,458000.0
3252.74,6,4,27,9.14,1,632000.0
2388.2,4,1,34,3.99,2,426000.0
1614.79,3,4,7,25.47,2,485000.0
2101.88,4,4,30,6.21,1,482000.0
3910.31,4,1,9,6.59,3,682000.0
564.77,2,3,46,47.11,0,100000.0
1022.33,2,3,3,43.76,0,190000.0
707.01,2,3,22,23.15,0,188000.0
683.28,2,3,35,49.3,0,155000.0
4349.57,4,4,23,1.01,1,695000.0
3666.46,6,2,5,31.08,1,695000.0
2633.78,2,1,28,31.2,0,260000.0
940.25,2,3,32,23.41,1,272000.0
2712.27,3,2,35,20.45,2,416000.0
2630.62,2,3,19,23.31,2,505000.0
1279.41,1,1,28,21.33,1,227000.0
2452.33,4,4,23,36.79,2,519000.0
2293.27,4,3,34,7.63,1,414000.0
3271.33,5,1,29,10.68,3,494000.0
3357.92,4,4,26,9.85,2,560000.0
703.87,1,1,12,13.86,1,100000.0
2185.76,4,4,0,26.74,2,621000.0
3316.37,4,4,9,6.45,1,654000.0
2764.11,2,1,6,43.54,0,371000.0
4354.2,4,1,22,15.57,3,554000.0
3464.12,6,3,31,8.96,3,666000.0
1233.2,2,1,11,34.11,1,262000.0
817.56,2,3,47,2.87,0,189000.0
3390.89,5,2,0,31.38,2,650000.0
619.3,2,3,39,35.21,1,188000.0
3135.99,4,1,31,11.53,3,611000.0
4731.04,5,4,19,3.06,1,812000.0
3089.63,6,3,3,18.82,1,699000.0
2246.76,4,3,31,5.83,2,496000.0
3394.8,5,3,19,6.71,2,794000.0
2562.14,3,3,47,13.46,0,284000.0
2955.28,2,2,27,15.48,1,440000.0
4736.59,5,4,47,26.97,3,777000.0
2237.46,2,2,11,34.24,2,396000.0
4825.36,4,4,36,30.05,1,687000.0
4574.08,6,4,31,8.27,3,865000.0
1381.06,1,2,37,9.43,1,220000.0
812.13,2,2,11,44.06,1,351000.0
953.5,1,1,33,28.36,0,121000.0
582.0,1,1,25,43.63,1,100000.0
924.99,2,2,37,19.21,1,158000.0
3573.53,6,4,16,31.11,1,711000.0
820.35,2,2,45,26.66,0,100000.0
1935.39,3,3,4,16.64,1,412000.0
4301.94,6,4,40,24.03,1,802000.0
604.72,2,1,43,25.62,0,100000.0
4165.11,5,1,41,10.84,3,716000.0
1768.35,2,2,26,16.44,1,314000.0
1031.74,2,2,22,39.78,0,143000.0
3635.32,5,4,50,45.87,2,621000.0
3330.24,5,4,11,18.63,2,781000.0
4448.62,6,1,27,16.04,1,761000.0
3807.82,5,3,34,10.56,3,704000.0
4115.66,4,3,35,34.25,2,625000.0
1769.16,2,3,10,16.83,0,334000.0
1298.48,1,2,33,49.4,1,119000.0
3877.77,4,3,41,16.96,3,534000.0
4130.76,5,1,3,20.31,3,830000.0
4957.27,4,4,46,30.56,3,762000.0
2356.78,4,4,1,40.28,0,532000.0
2174.08,3,1,18,24.01,0,335000.0
3993.86,6,4,1,21.71,3,819000.0
2033.62,3,2,4,49.79,0,347000.0
4688.41,4,1,46,1.51,3,586000.0
4362.86,6,3,18,44.86,1,880000.0
2430.47,4,4,21,8.31,2,491000.0
3878.92,5,1,11,39.51,2,595000.0
3895.44,6,4,30,31.28,3,757000.0
964.06,2,3,30,17.75,0,274000.0
4561.49,5,4,19,43.82,1,766000.0
2773.64,3,2,17,1.63,0,391000.0
4219.06,5,4,44,12.11,1,774000.0
1940.22,2,1,19,28.78,0,293000.0
4529.85,5,4,25,18.23,1,802000.0
2251.41,4,4,14,30.91,0,522000.0
548.77,2,1,39,2.18,1,244000.0
4574.22,4,1,20,6.71,3,810000.0
910.79,2,1,26,7.23,0,128000.0
1936.91,4,4,13,10.27,2,599000.0
4775.28,4,1,49,23.51,2,644000.0
4777.73,5,4,15,37.85,3,866000.0
3080.47,4,3,39,45.37,2,431000.0
3343.27,4,4,21,41.93,2,601000.0
2518.0,4,3,10,10.65,1,490000.0
1819.45,4,1,40,22.62,2,391000.0
1978.99,3,3,17,10.77,1,467000.0
3526.33,4,1,43,13.96,3,438000.0
3885.69,4,4,46,25.67,3,650000.0
4062.11,4,3,43,4.34,1,682000.0
4053.28,5,4,2,11.69,1,771000.0
910.43,2,2,39,46.83,1,182000.0
2724.89,3,1,21,23.84,1,425000.0
759.01,2,1,44,22.82,0,113000.0
2972.88,3,2,32,1.71,1,448000.0
2486.89,4,1,42,13.12,1,341000.0
4494.67,4,4,25,43.45,3,680000.0
2079.12,2,2,27,9.07,1,361000.0
1026.8,1,1,7,21.34,1,168000.0
1143.46,1,2,39,1.7,1,157000.0
3926.8,4,4,21,24.44,3,685000.0
3281.98,4,3,25,2.03,3,611000.0
955.05,1,1,39,41.16,0,108000.0
878.48,1,2,30,41.42,0,100000.0
3654.36,6,4,10,39.6,1,679000.0
827.43,1,2,30,14.88,1,176000.0
4198.37,6,4,20,42.02,3,807000.0
3678.09,5,4,23,27.61,3,725000.0
866.07,1,1,1,19.32,0,225000.0
881.77,2,1,11,31.64,1,185000.0
4939.88,5,3,14,1.6,1,839000.0
2184.22,3,4,36,8.01,1,370000.0
2167.89,4,1,1,37.37,1,417000.0
4157.6,5,4,20,12.96,3,822000.0
4762.62,5,4,46,30.3,1,666000.0
4937.0,5,1,6,19.87,2,793000.0
3890.2,4,4,26,42.89,3,680000.0
2193.17,2,1,39,47.67,1,245000.0
875.75,1,2,47,44.29,1,131000.0
3997.16,6,3,37,14.26,3,777000.0
3012.82,4,1,36,10.51,3,583000.0
2409.0,4,2,41,24.25,0,344000.0
4578.59,4,1,22,1.36,2,689000.0
1000.39,2,1,40,2.26,0,151000.0
2716.81,3,3,0,28.11,2,469000.0
551.09,2,3,46,26.5,1,194000.0
2608.97,4,4,22,49.73,0,603000.0
753.36,1,2,28,10.89,0,118000.0
1034.68,1,2,13,13.65,0,200000.0
1028.87,1,2,37,6.56,0,136000.0
3421.45,4,1,4,45.96,3,543000.0
3857.2,5,3,44,39.11,2,548000.0
3125.16,6,2,41,41.29,1,533000.0
4829.78,6,4,11,45.24,2,807000.0
2186.92,2,1,40,26.72,1,346000.0
1785.7,4,4,39,23.11,1,411000.0
4408.7,4,3,32,17.19,3,693000.0
1506.18,2,2,19,29.87,1,308000.0
4834.5,4,4,14,23.26,2,737000.0
554.7,1,1,12,23.13,1,100000.0
4864.45,4,4,16,46.91,3,791000.0
694.22,1,1,45,49.22,1,100000.0
4510.14,5,4,4,40.03,2,838000.0
2874.65,3,3,41,38.08,0,419000.0
4968.34,6,4,17,34.35,3,912000.0
832.08,1,2,26,9.14,1,172000.0
2992.34,3,4,40,3.9,0,496000.0
4861.86,5,4,44,34.85,3,741000.0
2853.94,3,2,17,36.71,2,467000.0
3332.29,5,4,23,3.3,3,660000.0
3630.87,5,4,21,46.47,3,709000.0
2545.43,2,3,1,5.47,2,454000.0
3324.01,6,4,15,15.01,3,895000.0
3129.41,4,4,23,33.95,2,591000.0
4555.21,5,2,21,9.32,2,685000.0
704.51,2,2,36,3.72,1,168000.0
1764.33,3,3,19,17.23,1,407000.0
4776.85,5,1,24,38.53,1,774000.0
4506.19,4,1,21,21.27,2,627000.0
2550.46,2,3,37,33.0,2,299000.0
3290.6,5,4,43,29.4,2,664000.0
1748.22,2,2,27,2.09,1,231000.0
1346.55,2,2,39,49.44,1,164000.0
2586.64,2,1,15,3.03,2,383000.0
2090.09,3,2,27,48.42,1,333000.0
3126.45,4,1,17,27.94,2,555000.0
849.81,1,1,21,48.19,1,100000.0
4884.78,6,4,37,6.62,1,835000.0
4937.95,6,4,44,25.03,2,840000.0
3641.73,6,2,6,9.31,3,770000.0
2912.43,3,3,32,3.5,2,509000.0
1892.87,3,4,29,31.26,1,412000.0
4162.08,5,3,6,11.18,2,815000.0
3581.29,6,4,11,29.8,2,787000.0
1231.78,1,2,16,6.51,0,218000.0
4599.17,4,1,8,17.27,3,637000.0
4201.42,4,1,12,39.3,1,609000.0
4774.1,6,4,13,22.42,1,892000.0
3765.74,6,4,17,31.76,1,788000.0
3260.37,6,1,37,32.73,3,574000.0
2382.09,4,3,29,42.34,0,396000.0
4697.28,4,3,49,16.92,2,655000.0
4397.29,6,4,21,34.68,2,850000.0
703.48,1,2,38,48.12,0,109000.0
618.65,2,1,44,36.78,1,100000.0
2194.09,4,4,34,25.0,0,492000.0
4147.49,6,4,21,31.91,2,808000.0
4942.74,6,4,38,37.24,3,855000.0
1176.88,2,1,10,31.0,0,186000.0
3173.59,4,1,16,1.82,2,590000.0
2214.01,2,2,27,10.54,0,332000.0
4864.61,5,3,29,40.71,3,902000.0
4289.54,6,4,1,14.36,1,810000.0
4272.48,5,4,47,36.85,3,752000.0
2609.12,3,1,35,19.23,0,326000.0
2366.69,2,2,25,26.57,1,297000.0
1730.33,2,3,47,4.33,2,305000.0
753.69,2,1,22,9.88,0,158000.0
4391.25,5,4,49,47.9,3,869000.0
4158.05,6,1,26,44.62,1,661000.0
4998.73,4,2,6,32.96,1,679000.0
4984.87,6,3,38,23.52,2,842000.0
2999.44,4,1,34,34.11,2,364000.0
3960.44,5,1,39,31.31,3,623000.0
4751.45,5,4,48,28.86,1,742000.0
4323.41,5,1,39,3.9,1,691000.0
1613.07,3,1,31,32.01,1,317000.0
2527.45,2,1,43,38.68,1,253000.0
1081.22,1,2,34,49.71,0,100000.0
4793.23,5,4,20,1.54,3,829000.0
3227.79,4,3,44,36.78,2,471000.0
1528.89,3,3,11,29.02,0,357000.0
3522.65,6,4,36,22.27,1,635000.0
3281.58,6,4,44,7.25,3,692000.0
2111.73,4,1,37,21.05,0,297000.0
1011.01,2,3,35,18.36,0,230000.0
3522.08,5,4,38,15.84,2,761000.0
2841.38,4,3,23,36.81,0,426000.0
3975.43,4,3,44,35.34,1,492000.0
2840.74,4,3,10,29.86,1,538000.0
4334.82,6,4,6,46.99,3,855000.0
2983.58,4,4,14,18.14,2,623000.0
3024.22,4,1,27,12.95,2,484000.0
4444.94,5,4,26,33.14,2,760000.0
2315.67,2,3,41,10.74,2,387000.0
1103.07,2,1,20,16.44,0,235000.0
629.52,2,1,24,12.01,0,100000.0
3898.12,5,4,1,4.39,3,796000.0
3291.39,6,4,20,41.55,3,737000.0
3668.36,5,4,32,13.47,2,653000.0
1458.34,1,2,1,24.18,1,337000.0
1113.67,2,1,14,3.12,1,198000.0
565.45,2,1,10,35.27,0,128000.0
2077.64,2,2,2,17.2,2,414000.0
3154.63,5,4,24,37.49,3,630000.0
2265.1,4,2,9,21.21,0,355000.0
2468.64,4,4,37,10.59,0,461000.0
4568.71,4,1,42,26.15,1,647000.0
2067.15,4,3,27,7.39,0,418000.0
2812.95,3,2,49,22.59,0,328000.0
4026.44,5,4,23,16.55,1,777000.0
2284.44,2,1,26,45.69,1,265000.0
3299.39,5,1,49,3.99,1,502000.0
4380.64,4,4,12,35.01,1,727000.0
4772.84,5,2,47,9.95,2,762000.0
1161.83,1,2,2,16.63,1,344000.0
4669.64,6,2,22,21.36,1,822000.0
2714.52,3,4,4,45.49,2,587000.0
1662.1,3,2,36,12.89,2,305000.0
2566.11,2,1,30,5.47,0,269000.0
4910.15,4,4,35,16.62,2,767000.0
2716.78,3,2,19,6.13,2,483000.0
1979.38,2,1,18,7.3,1,250000.0
3350.3,5,3,2,29.12,3,693000.0
1580.66,4,4,17,3.98,0,459000.0
841.38,1,2,46,2.52,1,137000.0
1079.96,2,1,19,36.01,1,209000.0
1076.21,2,1,42,18.72,1,170000.0
1183.56,2,2,42,7.14,1,182000.0
1124.72,1,1,19,13.43,1,136000.0
3383.94,6,4,32,32.46,3,663000.0
1318.46,2,1,5,14.5,1,347000.0
2055.5,2,3,5,25.23,2,401000.0
4535.55,5,2,2,6.96,3,800000.0
2632.83,4,4,29,29.82,0,449000.0
3504.01,5,1,21,16.49,3,778000.0
1275.44,1,2,27,31.72,0,100000.0
1365.3,1,2,26,40.61,1,152000.0
683.91,2,3,18,30.97,1,233000.0
1260.21,1,1,34,15.49,0,153000.0
1753.66,4,4,38,13.53,2,494000.0
1296.55,1,2,1,17.04,1,332000.0
899.16,1,2,10,9.07,1,215000.0
1042.86,2,2,36,9.88,0,130000.0
2573.5,3,3,19,39.74,1,426000.0
1428.5,1,2,33,19.85,1,202000.0
2139.21,4,1,17,22.36,0,490000.0
2765.38,2,1,20,30.11,2,307000.0
3606.78,4,4,8,29.89,3,755000.0
676.9,2,3,13,4.3,0,237000.0
4097.35,4,4,30,41.75,1,689000.0
3325.55,6,4,22,9.69,3,754000.0
867.92,1,1,39,36.43,1,100000.0
4431.1,6,4,43,38.86,1,797000.0
4643.93,6,2,27,36.03,3,827000.0
774.85,2,1,38,29.37,0,151000.0
1745.95,2,2,15,1.72,1,322000.0
4127.91,5,3,21,18.66,2,703000.0
3867.17,4,2,36,30.64,2,507000.0
1330.34,1,1,19,19.99,1,215000.0
1442.07,1,1,29,43.31,1,163000.0
2167.12,3,2,9,16.13,1,364000.0
2680.35,2,3,30,15.38,0,356000.0
3282.15,5,3,43,14.03,3,605000.0
2160.11,4,1,43,17.31,0,268000.0
2581.41,4,4,36,28.31,0,437000.0
3863.62,4,2,37,35.64,1,499000.0
665.07,2,1,28,33.47,0,100000.0
1635.97,4,4,29,40.58,0,348000.0
3710.07,5,4,7,44.41,2,642000.0
4528.43,5,1,22,40.99,2,789000.0
2802.55,2,3,23,1.93,2,526000.0
2894.51,4,1,48,37.06,0,348000.0
982.27,1,1,22,11.21,0,138000.0
2513.36,2,1,27,7.51,1,360000.0
2896.78,4,4,27,32.29,1,604000.0
