tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,churn
38,58.32,2266.28,Month-to-Month,UPI AutoPay,Fiber Optic,0
5,41.63,351.19,Two Year,Debit Card,DSL,0
27,64.26,1669.46,Two Year,Credit Card,DSL,0
66,24.84,1683.35,Month-to-Month,Credit Card,DSL,0
42,102.05,4324.13,Month-to-Month,Credit Card,Fiber Optic,0
39,102.63,4110.16,Month-to-Month,UPI AutoPay,Fiber Optic,0
20,78.8,1571.46,Month-to-Month,Electronic Check,Fiber Optic,1
27,55.31,1463.73,Month-to-Month,Credit Card,Fiber Optic,0
64,99.98,6509.65,One Year,UPI AutoPay,Fiber Optic,0
48,75.47,3734.18,Month-to-Month,Debit Card,DSL,0
56,102.59,5771.18,Month-to-Month,Electronic Check,DSL,0
33,83.15,2759.2,Month-to-Month,Debit Card,Fiber Optic,1
45,98.44,4397.57,Two Year,UPI AutoPay,DSL,0
18,79.86,1238.33,Month-to-Month,Credit Card,DSL,0
51,61.41,3157.55,Month-to-Month,Credit Card,Fiber Optic,0
31,115.79,3692.17,Month-to-Month,UPI AutoPay,Fiber Optic,1
32,74.11,2428.95,Two Year,Credit Card,No,0
47,80.51,3597.17,Month-to-Month,Electronic Check,No,0
67,42.05,2802.19,One Year,UPI AutoPay,Fiber Optic,0
5,82.57,235.94,One Year,Debit Card,Fiber Optic,1
59,77.16,4732.42,Month-to-Month,UPI AutoPay,Fiber Optic,0
21,38.48,728.77,One Year,Electronic Check,Fiber Optic,0
32,25.96,969.67,Month-to-Month,Electronic Check,DSL,0
2,80.44,300.17,One Year,UPI AutoPay,Fiber Optic,1
22,96.37,2066.13,One Year,UPI AutoPay,No,0
36,72.34,2540.65,Month-to-Month,Credit Card,Fiber Optic,0
4,42.68,247.93,Month-to-Month,Electronic Check,Fiber Optic,1
35,86.65,3023.59,Two Year,UPI AutoPay,Fiber Optic,0
66,28.01,1882.05,Month-to-Month,UPI AutoPay,DSL,0
8,64.18,496.18,Month-to-Month,Electronic Check,Fiber Optic,0
55,36.34,1830.4,Month-to-Month,UPI AutoPay,DSL,0
30,38.45,933.66,One Year,Credit Card,DSL,0
47,40.23,1934.26,One Year,Electronic Check,DSL,0
19,58.67,1086.56,Month-to-Month,Credit Card,No,1
12,25.12,254.21,Month-to-Month,Credit Card,DSL,0
12,59.78,810.42,Month-to-Month,Credit Card,Fiber Optic,0
6,71.17,544.72,One Year,Credit Card,DSL,0
14,68.33,941.72,Month-to-Month,Electronic Check,No,0
48,58.28,2772.6,One Year,Credit Card,DSL,0
63,103.91,6658.99,Month-to-Month,Credit Card,Fiber Optic,1
58,34.53,1894.93,Two Year,UPI AutoPay,No,0
49,70.57,3525.71,Month-to-Month,Electronic Check,No,0
8,26.2,286.85,Month-to-Month,Electronic Check,DSL,0
21,27.12,651.88,Month-to-Month,Debit Card,No,1
22,77.39,1585.93,Two Year,Electronic Check,Fiber Optic,0
18,76.6,1359.91,Two Year,Electronic Check,Fiber Optic,0
37,107.8,3961.85,Month-to-Month,Debit Card,DSL,0
39,75.79,2967.54,One Year,Electronic Check,DSL,1
26,115.98,3102.84,Two Year,Electronic Check,Fiber Optic,0
26,24.87,799.24,One Year,Electronic Check,Fiber Optic,0
59,29.8,1733.41,Month-to-Month,Electronic Check,Fiber Optic,0
57,24.41,1342.39,Month-to-Month,Debit Card,Fiber Optic,0
22,38.53,995.46,Month-to-Month,Electronic Check,Fiber Optic,1
65,74.13,4913.07,Two Year,Electronic Check,DSL,0
68,84.56,5931.61,Two Year,Debit Card,Fiber Optic,0
24,24.56,623.16,One Year,UPI AutoPay,DSL,0
26,114.6,2882.63,Month-to-Month,Credit Card,Fiber Optic,1
36,104.22,3712.28,Month-to-Month,UPI AutoPay,Fiber Optic,0
67,49.66,3212.85,One Year,Debit Card,No,0
63,27.72,1818.55,Two Year,Credit Card,DSL,0
8,36.99,425.21,Two Year,Debit Card,DSL,0
28,32.69,1129.28,One Year,Debit Card,DSL,0
40,32.33,1386.8,One Year,Electronic Check,DSL,0
36,71.86,2755.02,Month-to-Month,Credit Card,DSL,0
14,44.58,600.26,Month-to-Month,Electronic Check,No,0
61,55.81,3343.48,Two Year,Credit Card,DSL,0
49,118.95,5921.05,One Year,Debit Card,DSL,0
60,88.43,5391.12,Month-to-Month,Debit Card,Fiber Optic,1
61,114.9,7131.24,Month-to-Month,UPI AutoPay,Fiber Optic,0
54,34.26,1893.11,One Year,Credit Card,Fiber Optic,0
32,58.21,1905.87,Month-to-Month,Electronic Check,DSL,0
44,75.47,3475.53,Month-to-Month,UPI AutoPay,Fiber Optic,0
12,27.68,472.29,Month-to-Month,UPI AutoPay,DSL,0
48,20.42,1051.45,One Year,UPI AutoPay,DSL,0
13,87.04,1279.42,One Year,Electronic Check,No,0
50,84.18,4283.27,Month-to-Month,UPI AutoPay,DSL,0
17,61.08,1010.64,One Year,Electronic Check,Fiber Optic,0
9,68.96,720.21,Month-to-Month,UPI AutoPay,Fiber Optic,1
12,61.54,644.33,Month-to-Month,Electronic Check,DSL,0
1,22.4,130.96,One Year,Debit Card,No,0
52,53.54,2666.11,One Year,Debit Card,DSL,0
53,37.71,2027.13,Two Year,Debit Card,Fiber Optic,0
37,29.84,1036.37,One Year,Debit Card,No,0
12,115.67,1496.24,One Year,Debit Card,Fiber Optic,0
6,79.94,550.75,Month-to-Month,UPI AutoPay,No,1
2,92.87,59.52,Month-to-Month,UPI AutoPay,DSL,0
12,51.54,700.09,Month-to-Month,UPI AutoPay,Fiber Optic,0
64,59.31,3753.22,Month-to-Month,Electronic Check,DSL,0
18,43.69,881.09,Two Year,Electronic Check,Fiber Optic,0
26,29.7,776.79,Month-to-Month,Electronic Check,No,0
8,37.9,360.94,Two Year,Electronic Check,DSL,0
16,99.75,1578.84,One Year,Debit Card,Fiber Optic,1
37,87.75,3263.89,One Year,Debit Card,DSL,0
44,74.69,3251.86,Month-to-Month,Debit Card,Fiber Optic,0
18,67.51,1329.19,One Year,Credit Card,Fiber Optic,0
5,112.24,740.07,Month-to-Month,UPI AutoPay,No,1
28,27.27,703.96,Month-to-Month,Electronic Check,Fiber Optic,0
17,48.06,954.91,One Year,Electronic Check,DSL,0
16,54.99,695.29,Month-to-Month,Debit Card,DSL,0
69,98.24,6674.08,Month-to-Month,Electronic Check,DSL,0
44,119.25,5241.5,One Year,Electronic Check,DSL,1
40,44.07,1651.16,Month-to-Month,UPI AutoPay,DSL,0
30,107.43,3120.43,Two Year,Debit Card,No,0
31,103.06,3283.13,Two Year,UPI AutoPay,Fiber Optic,0
39,42.47,1651.92,Two Year,Credit Card,Fiber Optic,0
50,59.93,3061.36,Month-to-Month,Credit Card,DSL,0
50,60.97,3169.38,Month-to-Month,Credit Card,No,0
13,117.82,1580.67,Two Year,Debit Card,Fiber Optic,0
36,38.09,1456.34,Month-to-Month,Electronic Check,DSL,0
30,99.92,3015.4,Two Year,Debit Card,Fiber Optic,0
62,53.42,3236.43,Two Year,Debit Card,Fiber Optic,0
45,93.09,4372.03,Two Year,Electronic Check,DSL,0
38,62.0,2347.21,Month-to-Month,UPI AutoPay,Fiber Optic,0
9,77.84,621.99,Month-to-Month,Credit Card,Fiber Optic,1
44,103.26,4525.73,Two Year,UPI AutoPay,DSL,0
9,100.42,844.75,Month-to-Month,Credit Card,No,0
24,106.64,2618.09,Month-to-Month,Debit Card,No,0
11,25.96,323.67,One Year,Credit Card,Fiber Optic,0
50,89.21,4507.33,Two Year,Debit Card,Fiber Optic,0
15,34.0,442.09,One Year,UPI AutoPay,Fiber Optic,0
28,61.58,1726.14,One Year,Debit Card,Fiber Optic,0
64,74.86,4942.78,Month-to-Month,UPI AutoPay,Fiber Optic,0
15,60.27,984.28,One Year,Electronic Check,DSL,1
37,71.96,2873.97,Two Year,Electronic Check,Fiber Optic,0
30,119.65,3799.52,Month-to-Month,Electronic Check,No,0
2,33.52,191.09,Month-to-Month,Debit Card,Fiber Optic,0
57,87.55,4876.34,Two Year,Electronic Check,DSL,0
5,59.6,428.16,One Year,Credit Card,Fiber Optic,1
34,33.3,1149.3,One Year,UPI AutoPay,DSL,0
40,35.87,1408.84,One Year,UPI AutoPay,DSL,0
45,114.93,5259.59,Month-to-Month,Credit Card,DSL,0
49,107.96,5480.96,Month-to-Month,Debit Card,DSL,1
18,110.7,2151.51,Two Year,Debit Card,Fiber Optic,0
1,119.15,115.73,Two Year,UPI AutoPay,Fiber Optic,0
52,40.83,2212.37,Two Year,Electronic Check,DSL,0
39,55.54,2104.21,Two Year,Debit Card,No,0
60,86.92,5268.65,Month-to-Month,Debit Card,No,0
59,68.38,4025.88,Month-to-Month,Credit Card,No,1
60,61.84,3742.63,One Year,Credit Card,DSL,0
35,55.78,2053.6,One Year,Electronic Check,Fiber Optic,0
24,79.38,1855.64,One Year,Debit Card,No,0
57,77.56,4630.96,One Year,Debit Card,Fiber Optic,0
33,36.15,1012.22,Two Year,Credit Card,DSL,0
14,67.17,882.31,Month-to-Month,Debit Card,DSL,0
61,75.35,4686.18,Month-to-Month,UPI AutoPay,Fiber Optic,0
63,77.03,4962.21,Month-to-Month,Credit Card,No,0
34,41.01,1388.75,One Year,Electronic Check,Fiber Optic,0
6,94.23,594.93,Month-to-Month,Credit Card,Fiber Optic,1
28,22.52,683.68,Month-to-Month,Debit Card,DSL,1
58,55.48,3197.76,Month-to-Month,Electronic Check,Fiber Optic,1
65,98.02,6513.24,Month-to-Month,Credit Card,No,0
15,76.39,1263.89,One Year,UPI AutoPay,Fiber Optic,0
5,46.12,352.69,Month-to-Month,UPI AutoPay,Fiber Optic,0
63,89.5,5567.71,Month-to-Month,Credit Card,No,1
28,76.74,2190.46,Two Year,UPI AutoPay,DSL,0
39,99.62,3901.63,Month-to-Month,UPI AutoPay,Fiber Optic,0
69,93.5,6419.62,Month-to-Month,UPI AutoPay,DSL,1
5,81.01,499.89,Month-to-Month,Electronic Check,Fiber Optic,1
47,68.82,3182.77,One Year,UPI AutoPay,Fiber Optic,0
6,33.32,274.16,Month-to-Month,UPI AutoPay,Fiber Optic,0
27,46.13,1168.95,One Year,UPI AutoPay,Fiber Optic,0
58,61.91,3767.07,Month-to-Month,Electronic Check,Fiber Optic,0
31,79.93,2450.26,Month-to-Month,Credit Card,No,0
71,71.37,5146.35,Month-to-Month,Debit Card,Fiber Optic,0
40,48.82,2065.77,Month-to-Month,UPI AutoPay,DSL,0
23,20.65,434.37,One Year,Credit Card,Fiber Optic,0
16,69.62,1242.95,One Year,UPI AutoPay,Fiber Optic,0
25,48.56,1134.22,Two Year,Electronic Check,DSL,0
27,93.46,2710.7,Month-to-Month,Credit Card,No,1
5,22.39,133.07,Month-to-Month,Electronic Check,No,0
27,78.48,2078.21,One Year,UPI AutoPay,DSL,0
33,114.15,3846.64,Month-to-Month,UPI AutoPay,No,1
52,37.44,2039.59,Month-to-Month,Electronic Check,DSL,0
47,67.16,3140.47,Month-to-Month,Debit Card,DSL,0
51,29.14,1420.71,Month-to-Month,Electronic Check,DSL,1
1,82.57,109.45,Two Year,UPI AutoPay,No,0
16,75.05,1117.26,Two Year,Electronic Check,Fiber Optic,0
47,60.74,3096.17,One Year,Debit Card,DSL,0
35,72.14,2494.38,Month-to-Month,Electronic Check,Fiber Optic,1
1,109.66,234.19,Month-to-Month,Debit Card,Fiber Optic,0
58,39.63,2324.17,Month-to-Month,Debit Card,DSL,0
55,22.26,1145.0,Month-to-Month,Electronic Check,No,0
39,106.17,4239.46,Month-to-Month,Electronic Check,No,1
5,77.71,522.83,One Year,Credit Card,Fiber Optic,1
55,109.07,6025.88,One Year,UPI AutoPay,No,0
42,79.69,3501.84,Month-to-Month,Debit Card,Fiber Optic,0
56,101.02,5811.5,Two Year,Credit Card,No,0
54,62.97,3515.68,One Year,Electronic Check,Fiber Optic,0
58,94.99,5464.47,One Year,UPI AutoPay,Fiber Optic,0
37,111.3,4096.93,One Year,Credit Card,DSL,1
10,77.21,785.12,Month-to-Month,Debit Card,No,0
48,38.08,1872.23,Month-to-Month,Credit Card,Fiber Optic,1
45,46.88,2166.68,Month-to-Month,Debit Card,DSL,1
53,39.86,1923.56,One Year,Electronic Check,DSL,0
13,44.69,582.85,Month-to-Month,UPI AutoPay,Fiber Optic,0
14,50.64,767.49,Month-to-Month,UPI AutoPay,Fiber Optic,1
64,75.51,4821.64,Month-to-Month,UPI AutoPay,Fiber Optic,0
54,78.8,4403.86,Month-to-Month,Electronic Check,No,0
65,62.65,4144.76,Two Year,Debit Card,DSL,0
54,81.54,4605.13,One Year,Electronic Check,Fiber Optic,1
43,28.16,1200.38,Month-to-Month,UPI AutoPay,DSL,0
47,28.78,1459.11,Month-to-Month,Electronic Check,No,0
64,37.18,2547.98,Month-to-Month,Electronic Check,No,0
42,71.81,3153.94,Month-to-Month,Electronic Check,Fiber Optic,1
45,41.4,1791.01,Month-to-Month,Debit Card,Fiber Optic,0
12,48.33,559.88,Month-to-Month,Credit Card,DSL,0
34,60.03,2045.47,Month-to-Month,Credit Card,Fiber Optic,0
51,101.19,5296.89,One Year,Electronic Check,No,1
20,21.39,501.43,One Year,Credit Card,Fiber Optic,0
15,84.94,1220.76,Month-to-Month,Credit Card,Fiber Optic,0
23,86.89,2029.68,Month-to-Month,Electronic Check,Fiber Optic,1
18,99.87,1610.22,One Year,Electronic Check,No,0
16,113.28,1985.91,Month-to-Month,UPI AutoPay,DSL,1
31,22.01,634.81,Two Year,Credit Card,DSL,0
65,35.38,2321.33,One Year,Debit Card,Fiber Optic,0
37,108.62,3988.0,Month-to-Month,Electronic Check,No,0
14,65.85,1059.07,Month-to-Month,UPI AutoPay,DSL,0
6,76.46,210.56,One Year,Debit Card,DSL,1
50,86.3,4350.33,Month-to-Month,Credit Card,DSL,1
28,87.91,2466.51,One Year,UPI AutoPay,DSL,0
59,113.17,6671.52,Two Year,Electronic Check,Fiber Optic,0
47,119.69,5897.06,One Year,Debit Card,Fiber Optic,0
57,92.02,5205.22,Month-to-Month,Electronic Check,Fiber Optic,1
20,48.72,1066.64,One Year,Credit Card,Fiber Optic,0
50,107.98,5451.39,Month-to-Month,Debit Card,Fiber Optic,0
19,24.92,618.32,Month-to-Month,Credit Card,No,0
67,43.11,2850.57,Two Year,Credit Card,Fiber Optic,0
46,109.74,4994.71,Month-to-Month,UPI AutoPay,No,0
24,45.62,1206.31,Two Year,Electronic Check,Fiber Optic,0
20,42.07,889.53,Two Year,Debit Card,DSL,0
14,33.81,337.67,Month-to-Month,Credit Card,Fiber Optic,1
50,105.91,5275.47,Month-to-Month,Credit Card,DSL,0
16,70.01,1195.75,Month-to-Month,Debit Card,Fiber Optic,0
43,87.49,3869.14,Month-to-Month,Credit Card,DSL,1
19,43.91,800.95,Month-to-Month,UPI AutoPay,DSL,0
47,95.8,4307.15,One Year,UPI AutoPay,No,1
58,96.0,5702.98,Month-to-Month,UPI AutoPay,DSL,0
56,51.26,2760.81,Month-to-Month,UPI AutoPay,No,0
55,61.07,3158.27,Two Year,Credit Card,DSL,0
14,40.97,303.78,Month-to-Month,Debit Card,Fiber Optic,0
7,117.66,937.39,Two Year,Debit Card,Fiber Optic,1
50,84.56,4293.76,Month-to-Month,Debit Card,Fiber Optic,0
27,113.45,3058.02,Month-to-Month,Debit Card,DSL,1
31,50.34,1734.46,One Year,Electronic Check,DSL,0
3,98.19,379.08,One Year,Debit Card,DSL,0
19,96.59,2038.29,Two Year,Electronic Check,DSL,0
3,89.17,163.09,One Year,Electronic Check,Fiber Optic,1
63,116.56,7389.28,Two Year,UPI AutoPay,No,0
18,59.36,923.42,Month-to-Month,Electronic Check,No,1
40,33.07,1318.81,Month-to-Month,Credit Card,Fiber Optic,0
3,87.17,303.56,One Year,Electronic Check,Fiber Optic,1
48,92.93,4555.52,Two Year,UPI AutoPay,Fiber Optic,0
23,77.51,1859.66,Two Year,Electronic Check,DSL,0
64,40.68,2696.58,Month-to-Month,Credit Card,No,0
64,70.45,4582.83,Month-to-Month,Credit Card,Fiber Optic,0
24,51.22,1449.65,One Year,Credit Card,Fiber Optic,0
64,62.75,4045.01,Month-to-Month,UPI AutoPay,DSL,0
71,84.52,5968.41,Two Year,UPI AutoPay,Fiber Optic,0
59,94.52,5658.51,Two Year,Debit Card,Fiber Optic,0
60,43.22,2555.73,Month-to-Month,UPI AutoPay,No,0
18,60.53,1278.92,One Year,Credit Card,Fiber Optic,0
41,46.92,1939.62,One Year,Credit Card,Fiber Optic,0
5,39.86,173.66,Month-to-Month,UPI AutoPay,No,1
7,98.34,713.93,Two Year,Electronic Check,DSL,0
71,110.93,8049.74,Month-to-Month,UPI AutoPay,Fiber Optic,0
24,57.02,1363.7,Two Year,UPI AutoPay,DSL,0
54,95.13,5084.26,Month-to-Month,Credit Card,Fiber Optic,0
58,109.7,6559.08,Two Year,Debit Card,No,0
61,104.61,6391.95,Month-to-Month,Credit Card,DSL,0
71,38.28,2753.37,Month-to-Month,Debit Card,No,0
18,115.63,2163.47,Two Year,Credit Card,DSL,0
3,57.67,59.75,Month-to-Month,UPI AutoPay,No,1
30,53.92,1676.24,Month-to-Month,Credit Card,Fiber Optic,0
10,26.24,163.11,Two Year,Credit Card,No,0
2,68.62,260.15,Two Year,Credit Card,DSL,0
26,30.9,725.41,One Year,UPI AutoPay,No,0
56,44.85,2610.05,One Year,UPI AutoPay,Fiber Optic,0
41,51.69,2240.33,Month-to-Month,UPI AutoPay,DSL,1
23,100.88,2427.35,Month-to-Month,UPI AutoPay,No,0
47,107.55,5129.22,Month-to-Month,Debit Card,DSL,0
17,50.25,854.84,One Year,Debit Card,No,0
2,105.87,156.33,One Year,Electronic Check,DSL,0
55,105.72,5990.32,One Year,UPI AutoPay,Fiber Optic,0
45,96.47,4298.55,One Year,Debit Card,Fiber Optic,0
55,34.67,1807.4,Month-to-Month,Credit Card,DSL,0
3,89.03,401.71,Month-to-Month,UPI AutoPay,DSL,0
60,114.5,6840.4,Month-to-Month,Electronic Check,DSL,0
44,88.25,3875.22,Month-to-Month,Electronic Check,Fiber Optic,1
41,53.16,2035.33,Month-to-Month,Electronic Check,DSL,0
45,70.06,3128.67,Two Year,Credit Card,Fiber Optic,0
62,84.57,5266.92,Month-to-Month,Debit Card,DSL,0
42,71.06,3056.49,Month-to-Month,Credit Card,DSL,0
42,32.0,1446.85,Month-to-Month,UPI AutoPay,Fiber Optic,0
71,51.21,3705.66,One Year,Electronic Check,DSL,0
54,100.24,5466.81,One Year,Credit Card,No,0
32,106.14,3419.48,Month-to-Month,Credit Card,No,0
51,33.73,1778.84,Month-to-Month,Debit Card,Fiber Optic,0
28,115.24,3427.16,One Year,Debit Card,Fiber Optic,0
17,52.88,924.86,Month-to-Month,Electronic Check,No,1
43,86.23,3693.5,Two Year,Credit Card,DSL,0
66,95.18,6268.51,One Year,Credit Card,DSL,0
66,101.19,6632.37,Month-to-Month,Debit Card,DSL,1
25,114.57,2962.54,Month-to-Month,Credit Card,Fiber Optic,0
