age,income,txn_count,avg_txn_value,risk_level
24,44000,7,150.73,Low
60,88000,24,526.96,High
62,67000,28,288.7,High
29,89000,19,255.85,Medium
75,84000,26,522.15,High
71,119000,28,593.4,High
50,79000,15,499.6,High
44,84000,19,208.66,Medium
53,81000,17,276.02,High
35,51000,12,79.46,Low
45,84000,25,592.57,High
47,67000,19,284.63,Medium
49,53000,15,295.87,Medium
46,82000,10,331.62,Medium
25,49000,3,156.08,Low
29,43000,7,155.08,Low
32,44000,21,217.87,Medium
41,71000,7,370.77,Medium
33,53000,16,345.36,Medium
40,75000,13,265.86,Medium
50,108000,26,446.05,High
26,47000,9,238.49,Low
32,59000,15,305.9,Medium
24,44000,7,131.98,Low
59,101000,29,496.17,High
27,38000,11,168.13,Low
65,119000,23,564.41,High
45,97000,28,600.06,High
51,90000,20,558.01,High
57,110000,19,411.7,High
41,73000,17,319.3,Medium
22,42000,5,109.73,Low
59,100000,26,536.5,High
52,56000,30,489.06,High
18,40000,6,199.63,Low
67,89000,27,619.8,High
51,103000,27,497.1,High
31,88000,17,322.66,Medium
52,107000,21,443.01,High
40,99000,13,341.11,Medium
41,75000,19,339.13,Medium
30,43000,9,123.23,Low
54,102000,22,522.86,High
59,90000,28,435.68,High
32,49000,2,241.91,Low
39,89000,26,626.01,High
23,49000,6,194.96,Low
55,118000,26,617.02,High
59,99000,25,620.13,High
35,43000,18,289.0,Medium
32,61000,10,215.75,Low
39,46000,4,128.53,Low
35,49000,16,293.35,Medium
28,30000,1,134.54,Low
24,48000,7,217.02,Low
33,45000,10,196.06,Low
50,98000,28,426.23,High
34,37000,13,421.71,Medium
36,78000,17,286.54,Medium
64,60000,33,545.78,High
31,46000,3,112.76,Low
41,40000,7,242.01,Low
24,36000,14,95.27,Low
22,43000,6,142.47,Low
24,56000,8,90.83,Low
43,70000,14,292.93,Medium
26,42000,12,229.93,Low
30,25000,8,141.59,Low
51,55000,26,589.75,High
71,77000,25,632.12,High
37,33000,8,174.83,Low
52,101000,30,485.05,High
31,70000,20,331.24,Medium
20,37000,13,208.29,Low
38,68000,15,380.29,Medium
37,43000,8,197.66,Low
59,110000,29,561.94,High
61,110000,27,542.17,High
33,45000,4,105.91,Low
55,92000,36,503.62,High
44,63000,15,282.44,Medium
27,46000,7,136.08,Low
44,47000,16,289.4,Medium
23,48000,11,92.22,Low
28,38000,6,194.5,Low
40,70000,6,273.77,Medium
41,82000,13,230.63,Medium
21,37000,11,221.14,Low
46,84000,12,398.89,Medium
44,88000,6,300.04,Medium
44,48000,11,116.31,Medium
50,92000,29,539.21,High
42,79000,15,208.89,Medium
31,34000,9,133.57,Low
44,62000,9,286.98,Medium
31,40000,3,138.57,Low
33,32000,15,284.72,Medium
27,42000,9,183.64,Low
30,41000,5,121.32,Low
41,71000,20,313.87,Medium
56,91000,23,678.78,High
27,29000,10,116.89,Low
25,48000,10,100.29,Low
62,93000,28,399.78,High
54,46000,15,314.78,Medium
27,41000,6,172.39,Low
57,96000,21,539.82,High
34,72000,11,302.13,Medium
44,69000,18,200.53,Medium
34,57000,5,180.92,Low
38,79000,11,198.45,Medium
58,109000,17,497.63,High
51,79000,22,540.68,High
30,46000,24,395.36,Medium
35,76000,13,173.63,Medium
35,61000,22,177.9,Medium
28,47000,14,140.53,Low
43,95000,26,606.43,High
51,43000,22,523.87,High
31,57000,5,167.38,Low
25,38000,5,151.71,Low
44,53000,14,395.53,Medium
33,63000,13,336.96,Medium
35,91000,16,306.83,Medium
23,37000,9,176.13,Low
70,157000,23,564.14,High
46,65000,22,443.62,Medium
31,49000,12,172.71,Low
36,59000,12,415.55,Medium
41,90000,26,445.54,Medium
40,66000,19,321.52,Medium
33,66000,20,210.63,Medium
32,76000,19,364.79,Medium
47,99000,7,219.8,Medium
22,57000,8,74.25,Low
53,84000,35,634.09,High
50,65000,18,193.92,Medium
23,35000,6,225.68,Low
24,39000,6,235.08,Low
41,71000,16,256.27,Medium
52,128000,27,660.86,High
32,34000,8,139.25,Low
57,128000,28,586.97,High
40,66000,12,291.22,Medium
30,41000,4,171.02,Low
29,41000,5,237.48,Low
49,51000,18,355.18,Medium
29,43000,4,235.25,Low
37,94000,19,379.77,Medium
20,47000,10,165.19,Low
45,67000,16,416.26,Medium
50,129000,24,434.05,High
61,87000,22,494.55,High
54,81000,34,440.83,High
50,51000,10,365.06,Medium
45,75000,19,273.5,Medium
24,34000,13,108.73,Low
38,57000,16,329.4,Medium
26,54000,9,174.13,Low
32,54000,3,114.52,Low
21,43000,6,134.58,Low
55,104000,26,661.0,High
36,117000,19,626.63,High
47,66000,16,320.15,Medium
23,42000,7,110.53,Low
39,59000,16,212.29,Medium
61,120000,25,515.84,High
26,59000,8,192.42,Low
37,83000,23,525.35,High
39,107000,20,425.08,High
27,39000,6,39.72,Low
57,125000,26,590.14,High
59,72000,28,506.87,High
24,50000,13,118.48,Low
22,37000,9,115.63,Low
46,54000,17,234.61,Medium
24,35000,9,185.06,Low
51,94000,21,460.08,High
43,62000,17,305.35,Medium
44,66000,20,243.42,Medium
40,87000,10,235.1,Medium
48,61000,16,203.9,Medium
60,122000,27,575.57,High
62,102000,26,712.25,High
36,50000,22,255.74,Medium
29,72000,17,355.34,Medium
35,44000,10,117.35,Low
34,62000,6,176.15,Low
34,53000,11,174.99,Low
23,44000,12,162.66,Low
61,94000,31,554.57,High
50,91000,17,478.79,High
42,85000,19,465.81,High
54,105000,21,355.62,High
32,63000,12,271.85,Medium
51,99000,20,450.44,High
23,45000,8,107.58,Low
23,45000,9,129.29,Low
32,57000,12,156.84,Low
50,66000,10,452.33,Medium
51,103000,12,287.28,Medium
66,72000,19,429.34,High
34,61000,19,256.87,Medium
22,47000,9,170.43,Low
52,78000,30,393.6,High
35,77000,14,297.52,Medium
23,36000,11,116.61,Low
26,49000,6,117.46,Low
40,71000,14,259.03,Medium
42,89000,18,402.25,High
36,88000,14,261.03,Medium
29,41000,6,154.9,Low
49,59000,13,359.6,Medium
28,48000,12,199.56,Low
47,54000,8,197.65,Medium
23,32000,6,166.2,Low
22,46000,10,10.0,Low
60,73000,24,467.58,High
30,34000,7,196.2,Low
27,26000,7,192.61,Low
65,133000,33,597.19,High
43,78000,9,217.75,Medium
27,46000,5,116.03,Low
19,51000,8,129.32,Low
70,106000,21,339.74,High
63,86000,30,345.54,High
43,83000,20,624.61,High
29,28000,19,396.02,Medium
36,64000,14,392.31,Medium
56,104000,25,201.4,High
24,50000,9,100.89,Low
31,25000,8,207.87,Low
65,92000,20,418.47,High
31,66000,20,301.14,Medium
28,75000,22,279.53,Medium
49,91000,14,459.19,Medium
42,94000,19,259.79,Medium
56,120000,31,587.87,High
26,52000,6,126.34,Low
54,103000,28,625.01,High
59,92000,30,569.58,High
68,116000,28,344.82,High
59,104000,24,275.62,High
37,52000,8,383.9,Medium
51,63000,28,251.03,Medium
58,88000,34,270.88,High
49,71000,13,267.08,Medium
27,92000,12,337.88,Medium
38,83000,11,129.82,Medium
27,36000,5,10.0,Low
37,54000,15,169.5,Medium
49,75000,18,263.27,Medium
35,53000,17,159.85,Medium
27,41000,9,198.77,Low
30,55000,6,176.11,Low
59,117000,26,466.37,High
40,69000,24,712.0,High
33,47000,8,102.38,Low
24,37000,11,191.51,Low
41,85000,29,373.98,High
45,91000,11,355.62,Medium
29,35000,8,140.72,Low
37,71000,14,278.18,Medium
50,78000,26,407.23,High
55,99000,23,404.26,High
46,89000,28,728.19,High
29,46000,4,157.62,Low
33,59000,17,280.95,Medium
40,56000,17,393.82,Medium
33,64000,9,318.52,Medium
60,91000,18,395.24,High
23,59000,7,42.38,Low
32,29000,4,225.17,Low
54,100000,25,432.57,High
63,79000,28,304.09,High
24,41000,11,127.02,Low
41,116000,20,541.97,High
40,39000,3,209.02,Low
55,80000,19,198.37,Medium
70,95000,21,600.36,High
41,75000,18,402.92,Medium
36,102000,11,137.97,Medium
45,64000,18,287.55,Medium
64,72000,23,229.25,High
22,47000,8,101.06,Low
31,45000,14,243.28,Medium
37,40000,10,158.89,Low
32,65000,18,306.46,Medium
24,55000,9,162.75,Low
38,53000,16,396.2,Medium
29,45000,10,108.44,Low
30,20000,8,120.5,Low
61,92000,27,371.61,High
40,61000,21,276.53,Medium
29,75000,13,396.67,Medium
65,99000,27,317.41,High
36,46000,6,178.84,Low
40,94000,11,291.08,Medium
34,64000,11,266.91,Medium
39,62000,15,387.1,Medium
37,70000,7,206.27,Medium
36,64000,5,158.76,Low
44,87000,22,515.83,High
27,44000,8,110.53,Low
28,34000,4,238.51,Low
35,52000,6,79.8,Low
41,36000,11,84.39,Low
36,94000,16,327.18,Medium
57,98000,19,456.05,High
24,87000,10,219.92,Medium
52,122000,25,359.75,High
47,44000,16,505.59,Medium
44,67000,29,540.64,High
34,39000,10,167.34,Low
40,27000,6,148.39,Low
45,102000,14,296.95,Medium
55,114000,26,522.18,High
50,63000,21,254.22,Medium
34,61000,13,240.06,Medium
29,98000,16,180.87,Medium
28,38000,6,71.85,Low
56,48000,17,222.13,Medium
33,48000,8,138.63,Low
34,45000,13,360.81,Medium
47,69000,10,333.35,Medium
30,61000,8,179.82,Low
49,90000,31,589.3,High
27,50000,4,199.51,Low
35,64000,18,357.38,Medium
29,46000,9,143.56,Low
29,57000,11,188.77,Low
38,97000,20,327.11,Medium
26,32000,14,160.58,Low
62,91000,28,390.04,High
34,68000,18,324.61,Medium
58,96000,23,533.72,High
25,85000,15,287.35,Medium
53,93000,27,303.44,High
19,39000,12,179.14,Low
20,41000,1,114.27,Low
43,75000,14,313.44,Medium
37,99000,23,429.69,High
57,120000,23,446.21,High
28,65000,9,161.29,Low
28,35000,4,215.18,Low
32,58000,12,318.83,Medium
44,82000,23,300.26,High
54,113000,22,373.24,High
46,77000,30,440.9,High
47,101000,20,403.43,High
55,91000,31,526.44,High
67,96000,20,397.74,High
43,114000,19,232.01,High
25,36000,8,130.86,Low
54,87000,36,357.92,High
26,48000,12,87.53,Low
46,67000,19,658.42,High
25,57000,7,125.63,Low
59,123000,20,482.59,High
26,53000,4,80.21,Low
30,38000,4,140.23,Low
32,69000,13,353.02,Medium
23,55000,8,156.09,Low
62,100000,14,316.08,High
53,101000,24,521.06,High
39,78000,15,311.44,Medium
45,80000,13,346.61,Medium
51,115000,27,551.52,High
29,39000,9,143.5,Low
33,37000,12,187.63,Low
45,99000,19,645.8,High
50,80000,16,254.29,Medium
41,85000,16,256.03,Medium
33,44000,7,165.72,Low
37,33000,8,176.03,Low
55,110000,21,427.01,High
42,75000,16,148.83,Medium
37,53000,18,345.45,Medium
46,122000,25,696.87,High
56,53000,20,730.81,High
48,61000,26,443.45,High
18,45000,5,232.17,Low
57,78000,27,496.26,High
33,82000,16,441.41,High
44,70000,18,187.55,Medium
47,99000,12,490.51,High
50,85000,24,583.54,High
72,67000,26,418.56,High
26,37000,14,137.01,Low
61,94000,27,407.55,High
21,47000,4,207.24,Low
49,99000,26,675.46,High
58,114000,27,471.56,High
47,101000,22,522.72,High
29,33000,6,202.7,Low
22,44000,7,147.06,Low
50,97000,17,507.84,High
26,53000,13,182.47,Low
45,68000,12,250.01,Medium
48,63000,14,245.9,Medium
22,39000,7,220.91,Low
22,28000,8,137.85,Low
28,56000,11,213.59,Low
42,69000,17,295.17,Medium
64,97000,24,410.37,High
30,40000,8,130.35,Low
49,92000,21,680.99,High
58,92000,25,488.13,High
32,35000,2,199.12,Low
51,102000,24,450.0,High
27,49000,14,163.18,Low
28,79000,12,236.5,Medium
28,43000,8,91.34,Low
40,78000,14,325.96,Medium
40,47000,31,601.37,High
44,105000,26,533.19,High
55,64000,29,662.67,High
20,33000,10,10.0,Low
44,71000,20,337.72,Medium
47,73000,16,239.43,Medium
26,22000,12,104.89,Low
53,85000,23,257.38,High
54,83000,24,384.01,High
64,114000,27,445.08,High
41,93000,14,348.45,Medium
34,30000,6,120.74,Low
21,48000,9,146.64,Low
66,74000,22,293.46,High
47,116000,22,591.23,High
51,59000,28,630.07,High
51,76000,12,424.55,Medium
46,43000,21,325.94,Medium
55,41000,11,293.37,Medium
22,37000,9,201.76,Low
30,64000,5,199.11,Low
58,59000,18,439.95,High
30,46000,7,202.7,Low
51,83000,23,634.66,High
29,39000,8,166.92,Low
47,84000,28,338.98,Medium
47,57000,21,327.89,Medium
39,64000,19,246.53,Medium
27,34000,9,25.1,Low
34,54000,4,200.07,Low
29,44000,9,198.37,Low
38,88000,13,316.04,Medium
26,32000,5,166.75,Low
40,61000,19,387.57,Medium
41,110000,26,667.83,High
22,51000,8,166.16,Low
48,89000,17,343.54,Medium
51,110000,27,356.66,High
57,78000,21,566.41,High
58,83000,25,547.45,High
23,39000,10,127.07,Low
57,91000,17,494.1,High
58,98000,22,545.64,High
50,89000,19,663.03,High
52,72000,17,565.0,High
49,51000,15,382.71,Medium
66,114000,26,486.74,High
47,88000,17,285.45,Medium
40,72000,14,306.96,Medium
41,56000,22,515.86,High
39,57000,8,368.12,Medium
41,81000,18,415.99,Medium
20,48000,5,134.75,Low
26,49000,12,120.18,Low
52,111000,23,429.87,High
45,131000,30,525.14,High
33,70000,20,362.72,Medium
33,54000,7,136.12,Low
65,103000,32,657.22,High
51,90000,14,272.39,Medium
43,80000,13,232.89,Medium
66,85000,19,506.7,High
37,87000,18,73.0,Medium
23,53000,11,176.16,Low
45,55000,26,160.12,High
38,91000,18,188.58,Medium
39,46000,21,281.65,Medium
40,79000,16,274.78,Medium
23,47000,9,109.89,Low
60,62000,19,598.73,High
47,109000,16,632.7,High
50,60000,17,236.31,Medium
33,48000,26,261.37,Medium
46,78000,10,340.81,Medium
65,98000,22,443.7,High
60,107000,24,614.63,High
54,83000,22,571.1,High
74,119000,27,586.74,High
55,115000,24,562.16,High
56,85000,25,357.32,High
54,74000,32,556.81,High
48,96000,27,562.26,High
58,95000,24,549.77,High
56,73000,26,632.47,High
26,43000,8,129.66,Low
31,35000,8,150.76,Low
23,51000,12,150.97,Low
39,92000,13,229.24,Medium
25,26000,7,130.72,Low
48,79000,24,579.47,High
23,44000,7,133.18,Low
52,112000,28,496.54,High
44,109000,26,476.14,High
63,121000,28,506.06,High
66,79000,22,444.24,High
29,61000,2,184.28,Low
53,118000,24,563.72,High
25,50000,7,193.54,Low
62,98000,19,483.02,High
35,50000,12,315.27,Medium
54,98000,25,437.34,High
45,100000,20,339.19,High
30,38000,8,198.39,Low
37,77000,8,359.97,Medium
38,60000,23,320.35,Medium
46,61000,14,469.5,High
23,57000,7,116.93,Low
23,42000,11,194.53,Low
57,97000,29,392.12,High
45,102000,30,491.0,High
48,85000,26,379.13,High
62,104000,20,477.94,High
28,49000,6,150.04,Low
68,116000,21,453.72,High
43,74000,18,400.25,Medium
42,49000,20,295.88,Medium
30,42000,10,98.51,Low
25,58000,9,157.25,Low
29,64000,5,198.54,Low
23,21000,5,114.65,Low
30,43000,7,82.0,Low
55,101000,28,433.35,High
28,53000,9,156.48,Low
27,86000,10,339.29,Medium
46,78000,21,284.9,Medium
41,84000,15,279.42,Medium
28,84000,18,464.58,Medium
48,98000,24,498.24,High
27,60000,20,147.5,Medium
52,110000,22,612.8,High
37,51000,14,264.89,Medium
28,47000,6,180.48,Low
20,47000,8,155.04,Low
40,64000,15,396.37,Medium
56,108000,20,466.75,High
25,44000,8,201.44,Low
59,100000,25,509.37,High
32,71000,16,296.81,Medium
20,44000,8,175.97,Low
24,51000,3,179.43,Low
31,42000,10,156.9,Low
25,50000,6,189.9,Low
31,68000,16,379.2,Medium
39,44000,8,206.59,Medium
28,26000,6,116.29,Low
24,34000,8,173.0,Low
29,37000,8,80.28,Low
43,61000,14,382.36,Medium
37,57000,9,374.05,Medium
56,110000,25,639.18,High
25,35000,7,153.12,Low
42,62000,11,442.78,Medium
40,67000,15,225.7,Medium
51,103000,30,716.91,High
43,54000,17,279.44,Medium
21,57000,12,129.95,Low
32,40000,7,116.25,Low
58,101000,29,420.99,High
43,65000,19,230.5,Medium
57,114000,21,753.73,High
42,78000,13,269.85,Medium
31,24000,10,228.69,Low
58,65000,24,389.81,High
40,81000,9,368.63,Medium
30,42000,5,204.11,Low
52,120000,26,421.2,High
52,65000,34,473.54,High
29,33000,4,158.76,Low
23,44000,8,206.58,Low
29,57000,9,132.64,Low
45,54000,14,334.23,Medium
37,95000,13,140.09,Medium
40,79000,20,330.04,Medium
36,83000,14,155.44,Medium
26,45000,3,155.71,Low
38,48000,14,260.89,Medium
67,70000,29,364.93,High
32,69000,12,334.53,Medium
31,71000,9,37.53,Low
32,45000,8,132.24,Low
30,103000,8,210.03,Medium
63,65000,27,507.47,High
34,57000,11,174.09,Medium
40,79000,8,372.7,Medium
25,32000,9,135.81,Low
47,87000,25,479.51,High
35,66000,20,449.41,High
30,82000,7,333.49,Medium
57,43000,20,436.94,High
37,53000,21,354.43,Medium
27,65000,6,207.0,Low
46,91000,36,630.82,High
49,56000,28,497.45,High
67,103000,19,479.62,High
36,43000,12,149.01,Low
66,71000,24,424.85,High
41,88000,14,120.35,Medium
59,107000,12,588.24,High
40,74000,13,323.12,Medium
21,44000,4,156.78,Low
45,80000,13,320.7,Medium
59,108000,23,410.49,High
49,110000,21,426.26,High
33,45000,10,148.57,Low
28,49000,11,104.05,Low
50,59000,15,361.66,Medium
40,42000,10,50.36,Medium
29,42000,8,132.8,Low
37,55000,16,143.41,Medium
21,45000,9,209.31,Low
50,62000,17,279.68,Medium
47,44000,19,332.76,Medium
38,72000,12,336.72,Medium
38,85000,14,371.89,Medium
55,108000,33,711.98,High
47,71000,14,286.53,Medium
52,103000,22,481.53,High
23,50000,11,110.87,Low
60,137000,29,379.05,High
31,39000,9,143.45,Low
47,57000,15,235.54,Medium
34,38000,8,113.63,Low
45,72000,14,359.64,Medium
48,101000,15,336.09,Medium
25,34000,9,156.14,Low
27,49000,19,257.16,Medium
24,33000,12,151.53,Low
54,107000,22,616.85,High
29,37000,8,244.94,Low
57,101000,33,465.8,High
31,39000,6,153.65,Low
25,33000,7,121.3,Low
38,79000,16,412.96,Medium
42,55000,11,158.48,Medium
29,41000,6,160.11,Low
